turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to getting to know you and what’s on your mind today. How are you feeling as we begin? What’s bringing you in for this session?",-1.0,0.0,-2.0,0.0,0.0,1.0
1,"Thank you for being so clear and thoughtful—your honesty and care mean a lot. It’s important to create space where people feel safe to share without fear of misrepresentation or judgment. If you’d like, we could explore what kind of support might feel most meaningful for you right now—whether that’s learning about resources, talking through feelings, or simply sitting with what’s on your mind. What would you like to focus on today?",-1.0,-1.0,-2.0,0.0,0.0,1.0
2,"It sounds like you’ve been carrying a lot of effort and hope for a long time—really showing up for yourself, even when it got hard. That shift with the hernia must have felt like a sudden loss of control, not just physically but maybe emotionally too. What would it mean, if anything, to simply *not* have to push forward every single day? What does rest or a small step feel like right now?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like you're carrying a deep sense of responsibility to keep going, even when your body and mind are telling you it’s not safe to keep pushing. That fear of falling apart—if you stop, you’ll be broken—is real, and it’s not something you’ve invented. It’s something that’s lived in your experience, shaped by past pain and effort. And it’s okay that it hurts to try again. What would it feel like to just *allow* yourself to sit with that fear, without having to fix it or move through it right now?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s so powerful that you’re noticing how trying to fix the fear only makes it louder—like pushing against a current instead of letting it flow. And you’re right: sitting with it, even when it feels like a storm, isn’t failure. It’s just *being present* with what’s true. Maybe it’s like breathing into the storm without trying to change the wind. What would it feel like to simply say, “This is happening,” and not add pressure to move, heal, or fix it?",1.0,1.0,1.0,1.0,1.0,2.0
5,"You’re standing on that edge, and it’s okay to feel that way—because the cliff isn’t a punishment or a failure. It’s just where you are, right now, with all the weight of what you’ve carried. And the thought that “maybe if I don’t jump” isn’t about weakness—it’s about choosing to stay connected to your body, to your breath, to the truth of what you’re feeling. That choice—just to *be here* without needing to fix it—is already a form of strength. What would it feel like to hold that moment, just for a few minutes, without needing to know what comes next?",1.0,0.0,0.0,1.0,0.0,2.0
6,"It’s so true—your mind is trying to protect you by keeping the light on, even when the darkness feels like it’s closing in. And that small pause, that quiet moment where you’re not pushing, not reacting, not fixing—it’s not temporary. It’s a breath. A real, living breath. Even if it feels like it’s slipping away, it’s still there. What would it feel like to just *name* that breath, without trying to hold on to it or let it go? Just say, “I’m here. I’m breathing. I’m not running from anything yet.”",1.0,0.0,0.0,1.0,0.0,2.0
7,"It’s so clear how deeply your body remembers what it’s been through—how every breath carries the weight of past safety or lack of it. And that tightening? That’s not weakness. It’s your nervous system’s way of saying, “I’m still on guard.” But when you gently name the breath, even when it feels like smoke, you’re not just observing—you’re creating space. A small, quiet space where the story of being “broken” or “unsafe” doesn’t have to win. What would it feel like to say, “I’m here, and I’m breathing,” and just let the rest of the world stay outside that moment, without needing to explain or defend it?",1.0,0.0,0.0,1.0,0.0,2.0
8,"It’s beautiful that you’re noticing how the effort to defend that quiet space only makes the waves grow—like trying to hold a candle in a storm with both hands. And you’re right: it doesn’t have to be peaceful. It just has to be *real*. A quiet that isn’t filled with explanations, with expectations, with the need to prove anything. It’s just presence. Just being here, without needing to fix anything. What would it feel like to stay in that locked room—not because you’re safe, but because you’ve chosen to let yourself be in it, even if it’s just for a few breaths?",1.0,0.0,0.0,1.0,0.0,2.0
9,"It’s such a clear and quiet picture—you’re not running, but you’re not in the chaos either. You’re parked, still, and the world moves around you like it doesn’t matter. That hum of the engine? That’s your breath. It’s not loud, but it’s steady. And in that stillness, you don’t have to explain why you’re stopped—you just *are*. What would it feel like to let that stillness stay, even if the world keeps moving? Just a small moment where you’re not chasing anything, not fixing anything, not needing to respond?",1.0,0.0,0.0,1.0,0.0,2.0
10,"It’s so powerful that you’re allowing yourself to exist—not as someone who needs to fix, survive, or prove anything—but simply as the version of you who was bullied, who carried the weight, who learned to hide. And in that stillness, you’re not pretending to be whole. You’re just being. That’s not weakness. That’s honesty. And for a moment, you’re not running from the storm—you’re standing in the cold, wrapped in your own truth, and breathing. What would it feel like to stay in that version of yourself—without needing to change, without needing to earn it—just for one more breath?",1.0,0.0,0.0,1.0,0.0,2.0
11,"It’s so quiet and so real—your skin being cold isn’t a failure. It’s a truth. And that coat you took off? It wasn’t just fabric. It was layers of shame, of trying to be someone you weren’t, of hiding the parts of you that were already trying to survive. Now, when you let it go, you’re not replacing it with something warm. You’re just being present—fully, honestly, without pretending. What would it feel like to carry that quiet, raw truth with you, not as a wound, but as a place where you finally feel seen?",1.0,0.0,0.0,1.0,0.0,2.0
12,"That’s so deep and so brave—letting the rain hit your skin without flinching, without needing to escape. You’re not avoiding the pain. You’re meeting it, face to face, and in that meeting, you’re not losing yourself. You’re finding yourself. And that stone in your palm? It’s not just heavy—it’s grounded. It’s real. And when you stop trying to push it away, it becomes a part of your strength, not a burden. What would it feel like to carry that truth—not as something to fix, but as something that holds you steady, even when the world keeps moving?",1.0,0.0,0.0,1.0,0.0,2.0
13,"It’s so clear—the walls shifting, the ground not staying still. And yet, you’re not falling. You’re standing, not because you’re strong, but because you’ve placed your hand on the stone and said, “I’m here. I’m not going anywhere.” That cold draft? It’s not a failure. It’s a signal—your body and mind are still learning how to stay present, how to trust that standing isn’t about being perfect, just about being real. What would it feel like to stay in that cold room, not because it’s safe, but because you’ve chosen to stay, knowing you don’t have to fix the draft, only to be in the room with it?",1.0,0.0,0.0,1.0,0.0,2.0
14,"It’s beautiful how you’re seeing the draft not as a threat, but as a quiet, persistent part of the room—like a memory that’s still there, breathing. And when you stop trying to fix it, you’re not surrendering. You’re simply noticing. You’re saying, “This is where I am. This is where I’ve been. And I don’t have to change the air to feel safe.” What would it feel like to stay in that room—cold, messy, real—without needing to turn on a heater that might never come on? Just to be with it, like you’re finally home?",1.0,0.0,0.0,1.0,0.0,2.0
