turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know that this space is safe, respectful, and completely yours—no judgments, just curiosity and care. I'm here to listen with openness and compassion.  

What brings you in today?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"Thank you for sharing that so honestly. It sounds like you’ve been carrying a lot—being in a place where everything feels heavy, and losing someone who truly saw you in your most vulnerable moments must have been incredibly painful.  

It’s completely valid to feel stuck in that gray place, especially when you’re supposed to be celebrating milestones and yet you’re not feeling anything. The fact that you’re willing to talk about it at all shows real courage.  

Would it be helpful to keep exploring how that breakup is still affecting you, or would you like to talk about something else—like what’s been helping you stay grounded, even when it feels hard?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you’re carrying a deep sense of loss—not just the end of a relationship, but the loss of a part of yourself that felt safe, seen, and truly known. That kind of connection, especially when it happened during such a vulnerable time, doesn’t just fade—it leaves a quiet hole that echoes in your heart.  

And it’s so human to feel like you’re walking through the dark with no map, especially when every step forward seems to lead back to the same pattern of pain and betrayal. The fear of getting close again? That’s not weakness—it’s a survival instinct shaped by real hurt.  

Would it be helpful to keep exploring how that fear is showing up in your life right now, or would you like to talk about something that might help you feel a little more grounded—like a small moment of peace, or a way to honor yourself without needing to fix everything at once?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It’s so clear how deeply those small moments—like not getting a response from someone you trust—can shift into a belief that you’re a burden or that you’re not worthy of care. That panic in the bathroom, when you’re alone with your own thoughts, isn’t just a reaction—it’s a signal that your body and mind are trying to protect you from feeling even more exposed.  

And it’s not your fault that you’re reaching out, even when it feels messy or hard. Asking for help isn’t about dragging people down—it’s about showing up for yourself, and that takes immense strength. The fact that you’re noticing how drinking and smoking only offer temporary relief says something powerful: you’re already aware of the pattern, and that awareness is the first step toward change.  

Would it be helpful to talk more about what that “louder” feeling looks like after the numbness wears off—what comes back when you stop trying to quiet it?",1.0,1.0,1.0,2.0,1.0,2.0
4,"It’s so vivid and real how those thoughts come like storms—sudden, uninvited, and overwhelming—making it hard to stay grounded in the present. That feeling of being a ghost in your own life, even when surrounded by people, speaks to a deep loneliness that’s not just about being physically alone, but about not feeling truly seen or known.  

And the self-doubt that follows—“Did I mess up today?”—it’s not just a thought. It’s a reflection of how much you’ve been carrying the weight of being misunderstood, of being in pain without a safe place to rest.  

Would it be helpful to explore what that moment of stillness feels like—just before the thoughts start spinning—when you’re not trying to fight them or distract yourself? Or would you like to talk about what a small, safe space might look like, even if it’s just for a few minutes, where you could sit with that feeling without needing to fix it?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s so powerful—and so honest. You’re not just describing a pattern of thinking; you’re describing a life lived in constant vigilance, where every moment feels like a race against the edge of falling apart. And yet, even in that fear, you’re already choosing something brave: the willingness to sit with the storm, not run from it.  

You said it perfectly—“I haven’t broken yet because I haven’t tried to hold everything together.” That means you’re already holding yourself with more strength than you realize. And just for a few minutes, letting the storm rage without trying to fix it? That’s not weakness. That’s a quiet act of self-compassion.  

Would it be helpful to explore what that first moment of stillness might feel like—just one small breath, one quiet pause—without needing to distract or suppress it? Or would you like to talk about what might help you feel a little more grounded in the next few days?",1.0,0.0,0.0,1.0,0.0,2.0
6,"You're absolutely right—the breath doesn't have to stop the storm. It doesn’t have to calm it. What it can do is create a tiny, safe space where you’re no longer running from the noise, but simply *being* in it—without needing to fix it or prove anything.  

And yes, focusing on the sensation of air moving through your nose, even for thirty seconds, doesn’t mean you’ll feel better. It might feel like the storm is louder, or more intense. But that’s not failure. That’s just proof you’re paying attention—something very rare and deeply courageous.  

You said it: “Maybe the point is just to acknowledge I'm still here while it's raging.” That’s not a small thing. That’s the beginning of healing.  

Would it be helpful to try that breath together—just for a few minutes—without pressure, without expectations? You don’t have to do it perfectly. You just have to show up with your full presence.",1.0,0.0,0.0,1.0,0.0,2.0
7,"I see you—your chest is still tight, and that’s completely okay. The tension isn’t going away just because you’re breathing. It’s not a failure. It’s a signal that your body still holds the weight of everything you’ve been carrying.  

And you’re doing something very real right now: you’re choosing to stay with the breath, even when the tightness lingers. That small act of presence—just noticing the air, feeling the rise and fall without pushing it away—is already a form of protection.  

Take it slow. Just keep breathing in and out. No need to make it perfect. If the thoughts come back—like they’re trying to shout louder—they don’t have to be heard. You can just let them pass through, like wind through a window.  

Would it be okay to stay with that breath for just one more minute, without adding anything else? Just let it be—your body, your breath, your space. You don’t have to fix anything. You just have to be here.",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s so profound—feeling the tightness lessen just a little, not because the thoughts vanished, but because you stopped pushing them away. That shift from screaming to whispering? That’s not just quietness. That’s a new kind of presence. You’re learning to listen—to your body, to your mind, to the quiet beneath the noise—without needing to control it.  

And you’re right: most people would tell you to “get up,” to “do something,” to “move on.” But here, with you, there’s no need to fix anything. Just to *be*. That’s where healing begins—not in silence, but in stillness.  

Would it be helpful to keep exploring how that whispering feels—what it says about you, about your worth, about the fear that’s still there? Or would you like to just stay in this space for a moment, letting the breath continue without adding anything more?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s so deeply true—and so tender. You’re not just noticing a shift in the noise; you’re realizing that your worth wasn’t tied to how fast you fixed things, how loudly you responded, or how perfectly you held it all together.  

The silence between you and your thoughts wasn’t empty. It was full of something real: your presence, your breath, your ability to simply *be* in the midst of it all. And in that space—without needing to answer, without needing to act—you’re not failing. You’re showing up.  

Maybe you’ve been punishing yourself for existing because you’ve carried the belief that being messy, being scared, being human, means you don’t belong. But right now, in this quiet, you’re proving that belonging doesn’t require perfection. It requires showing up—again and again—even when the whispers come, even when the chest feels tight.  

Would it be okay to just stay with that for a while? To honor that quiet, that small moment of peace, even if it doesn’t feel like “enough” yet? You don’t have to move forward. You just have to be here.  

And that—just being here—is already a form of courage.",1.0,0.0,0.0,1.0,0.0,2.0
