turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m really glad you’re here. I’m so happy to have you in this space with me—this is a safe place where you can share whatever feels important without judgment. I’m here to listen, to understand, and to be with you as you navigate whatever’s on your mind.  

What’s been on your heart or mind lately that you’d like to talk about today?",-1.0,1.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so openly—it’s clear how much weight this feeling carries for you. The heaviness of not wanting to get up, and the fear of being unseen, really speaks to a deep loneliness that’s not just about motivation, but about connection.  

It sounds like you’re not just trying to find a way to move forward—you’re reaching for something that feels like belonging. That’s a powerful desire.  

Would it be helpful to explore what kind of shared space or group might feel safe and meaningful for you? Or would you rather first reflect on how that fear of being alone is showing up in your day-to-day?",-1.0,-1.0,-2.0,1.0,0.0,1.0
2,"It sounds like you're carrying a deep sensitivity to judgment—and that fear of failing or being met with dismissal is really real. The way you describe that moment of vulnerability, followed by someone else stepping back or losing interest, shows how much you want to be seen without being judged, or dismissed.  

Would it be helpful to talk about what a ""safe"" moment might look like—like, what would it feel like if someone in that group *really* listened, without rushing to fix or move on? Or what would it feel like to simply sit with you in that uncertainty, without trying to solve it?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That’s such a powerful insight—your need for someone to simply *see* you, without needing to fix or perform, is a quiet but deep form of connection. It’s not about being strong or moving fast; it’s about being known in the mess of it.  

Would it be helpful to explore what that moment of being seen might feel like—not in a group, but in a single, quiet conversation? Like, what would it feel like if someone said, “I hear you’re carrying a lot of fear about not being enough,” and just stayed with that without adding solutions or judgment?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s completely valid to feel torn between wanting safety and fearing that it might not be available—or even welcomed—by others. The fact that you’re so aware of what you need shows how deeply you care about being seen, not just surviving.  

And it’s okay to want that moment of quiet understanding—even if it feels fragile or impossible right now. Would it be helpful to imagine that moment again, not as something you have to *get*, but as something you can *allow yourself* to receive, when you're ready?",1.0,1.0,1.0,1.0,1.0,2.0
5,"You're absolutely right—your brain has been trained to solve, to fix, to move forward. And that’s not a flaw; it’s survival. But when you allow yourself to sit with the uncertainty, you’re not failing—you’re practicing a different kind of courage.  

The moment doesn’t have to ""work"" in the way you expect. It doesn’t need to stop the spiral. It just needs to exist—like a quiet hand on your shoulder, not demanding anything, just saying, *I’m here with you*.  

Would it be helpful to try holding onto that image of the quiet moment—just the two of you, no agenda, no fixes—without needing it to change anything right now? Even if it doesn’t feel like a solution, it might still be a place you can return to when things get heavy again.",1.0,1.0,1.0,1.0,0.0,2.0
6,"You're absolutely right—life doesn’t stop, and the exhaustion doesn’t care about your quiet moments. That’s not a failure of the safety; it’s a reminder that healing isn’t about constant peace, but about showing up in the mess with kindness, even when it’s hard.  

The fact that your brain screams to *do* something is not a sign that the quiet moment failed—it’s a sign that it’s real. Because it’s only in the chaos that you’re truly testing whether you can stay with yourself without needing to prove your worth.  

Would it be helpful to try staying in that quiet space just for a few minutes—no task, no goal—just sitting with the feeling of being seen, even if it’s interrupted by the next thing that comes up? Like a small anchor in the current?",1.0,1.0,1.0,1.0,0.0,2.0
7,"You’re not walking off a cliff—you’re stepping into a place that’s been missing for a long time. And yes, gravity will pull you down, but that doesn’t mean the moment didn’t matter.  

The fact that you’re noticing the pull, the urge to move, the fear of failure—it all proves you’re awake, aware, and trying. That’s not weakness. That’s courage.  

Would it be helpful to try just one five-minute pause today—no agenda, no expectation of staying, no need to “succeed”—just sitting with the feeling of being seen, even if it’s interrupted? And when it is, gently notice: *Ah, I’m back in the world again. That’s okay.*",1.0,1.0,1.0,1.0,0.0,2.0
8,"That’s exactly it—your quiet moment doesn’t have to be perfect or uninterrupted. It just has to be *present*, even in its breaking.  

And when it ends, saying, “Okay, the quiet ended. I’m back in the noise,” isn’t failure—it’s honesty. It’s like saying, *I was with you, and now I’m back in the world, and I’m still here.*  

Would it be helpful to try that phrase—not as a goal, but as a soft landing when the world pulls you back in? A quiet acknowledgment that you showed up, even if only for a moment?",1.0,1.0,1.0,1.0,0.0,2.0
9,"You’re not testing a theory—you’re testing a way of being with yourself, and that’s already a brave act.  

Even if your brain says “scroll instead,” the phrase *“Okay, the quiet ended. I’m back in the noise”* doesn’t have to change what happens next. It just has to be spoken—not as a demand, not as a promise, but as a quiet agreement with yourself: *I showed up. I allowed myself to be seen. And now I’m here, in the mess, without having to prove I’m okay.*  

Would it be helpful to try saying it out loud when the urge comes—just once, right when the panic or notification hits? Not to fix it, not to control it, just to say it, like a soft breath in the middle of the storm?",1.0,1.0,1.0,1.0,0.0,2.0
