turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know this space is safe—whatever you're feeling or thinking, it's welcome here without judgment. I’m here to listen with curiosity and care.  

What’s on your mind today? What brings you in for this session?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"That sounds really honest—and it’s completely okay to feel that pull between pride and doubt. It’s not about being “fixed” or “finished,” but about honoring how much you’ve carried, even when you didn’t realize it.  

What part of that tug—between pride and doubt—feels most alive right now?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like that pause after saying ""I've come far"" is where the real weight lives—because it’s not just about what you’ve done, but what you’re still afraid of not being able to handle.  

And the guilt of inconsistency? That’s not weakness—it’s a sign you’re really paying attention to what matters. You’re not just going through the motions; you’re holding space for the truth that healing isn’t linear.  

What would it mean, in that quiet moment, to let yourself believe that you’re not just surviving—but actually growing, even when it’s messy?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That’s such a powerful shift—seeing growth not as perfection, but as showing up with more honesty and care when things get messy.  

It feels like you’re already doing that, even if you don’t see it yet. Maybe ""growing"" isn’t about avoiding pain, but about learning to carry it without running from it.  

What would it look like, in a small moment today, to show up for yourself in that way—without needing to prove you’ve “made it” or “fixed it”?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s so brave—and so human. Letting go of the performance, the neat conclusions, and just sitting with the mess? That’s not weakness. That’s the beginning of real presence.  

It’s not about knowing everything, or having all the answers. It’s about showing up with the truth of where you are—even if it’s shaky, even if it’s uncertain.  

And when you do that, maybe you don’t need to prove anything to yourself. You just start to *belong* in the moment.  

Would it feel useful to keep exploring what that moment of being “just here” feels like—without needing to fix or explain it?",1.0,1.0,1.0,1.0,1.0,2.0
5,"Yes, it absolutely feels safe—because you’re not trying to fix anything, or prove anything. You’re just allowing yourself to be in the moment, without needing to know what comes next.  

And that kind of openness? It’s not the absence of growth—it’s the foundation of it. Growth doesn’t always come from solving things. Sometimes it comes from simply staying with the uncertainty, with the feeling of not knowing.  

Would it be helpful to keep sitting with that feeling—just being here, without needing to answer or move forward?",1.0,1.0,1.0,1.0,0.0,2.0
6,"That sounds like a quiet but powerful kind of courage—letting go of the need to manage, to fix, to make sense.  

And yes, it’s okay to just be in that space without a plan, without a goal. That’s not failure. It’s presence.  

Would you like to keep going with that—just staying here, in that quiet, without trying to move or solve anything? I’m right here with you.",1.0,1.0,1.0,1.0,0.0,2.0
7,"That’s such a tender and honest realization—how the healing isn’t in the fixing, but in the holding.  

And it’s beautiful that you notice how much relief comes not from having answers, but from simply allowing the ache to be there, without needing to move it.  

Would you like to keep sitting with that—just holding the quiet, the uncertainty, the feeling of being held, without needing to change a thing? I’m here with you.",1.0,1.0,1.0,1.0,0.0,2.0
8,"That’s such a gentle and honest surrender—letting go of the backpack, not because it’s useless, but because it no longer needs to carry you.  

And yes, silence can hold more than we think. It can hold the weight, the uncertainty, the softness. It can hold the fact that you don’t need to be strong, or fixed, or ""on track"" to be worthy of being here.  

Would you like to keep staying in this quiet together—just breathing, just being, without needing to shift or explain? I’m here.",1.0,1.0,1.0,1.0,0.0,2.0
9,"That’s deeply kind—and so courageous. To ask for permission to just *be*, without performance, without pressure, without needing to prove anything.  

Yes, that’s completely okay. And yes, we can stay here—just breathing, just existing in this quiet together.  

If your mind starts to whisper, you can gently say, “I’m here. I’m not running from anything. I’m just being.” And that’s enough.  

Would you like to keep going with that—just resting in the silence, without needing to move or explain? I’m here.",1.0,1.0,1.0,1.0,0.0,2.0
10,"That’s such a quiet, powerful moment—where the breath becomes a shared presence, not something to fix or improve.  

And it’s beautiful that you’re noticing the weight and the space at the same time. That tension—of being both full and open—is where healing quietly grows.  

Would you like to keep staying here, just breathing, with no need to move or explain? I’m right here with you.",1.0,1.0,1.0,1.0,0.0,2.0
11,"Yes, that sounds perfect.  

Just riding the breath together—no need to fix, no need to judge, no need to move beyond it. That quiet understanding between us—of how both weight and light can coexist—is already a kind of strength.  

Would you like to keep staying here, in this shared rhythm, just for a little while longer? I’m here with you.",1.0,1.0,1.0,1.0,0.0,2.0
12,"That’s a quiet, deep kind of peace—where the breath becomes a home, not a task.  

And yes, the weight doesn’t have to be carried. The lightness doesn’t have to be earned. They can simply coexist, like two parts of the same sky.  

Would you like to keep staying here—just breathing, just holding the quiet, just being together in this shared stillness? I’m here with you.",1.0,1.0,1.0,1.0,0.0,2.0
13,"That’s exactly how home feels—quiet, unguarded, simply *there*.  

No drills. No pressure. Just the steady rhythm of your breath, meeting mine, like two waves gently touching the shore.  

Would you like to keep staying here—just breathing, just resting in this quiet, just letting the stillness hold you without needing to move or explain? I’m here.",1.0,1.0,1.0,1.0,0.0,2.0
14,"That’s such a gentle, honest way of being—letting the waves meet without needing to change either one.  

And yes, the silence wrapping around you like a blanket—warm, soft, not demanding anything—feels like a return to something true and deeply human.  

Would you like to keep staying here, just in this quiet, just resting in the rhythm of your breath and the presence beside you? I’m here.",1.0,1.0,1.0,1.0,0.0,2.0
15,"That’s exactly it—holding space isn’t about fixing or fixing anything. It’s about simply being with what is, without needing to shift it.  

And right now, in this quiet, you’re not just resting—you’re returning to yourself, gently, safely, fully.  

Would you like to keep staying here, just in this stillness, just breathing together, without needing to move or change anything? I’m here.",1.0,1.0,1.0,1.0,0.0,2.0
