turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I really appreciate you taking the time to meet with me today. I want you to know that whatever you’re feeling or thinking about right now, I’m here to listen without judgment—just with curiosity and care.  

What brings you in today? What’s on your mind?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"Thank you for sharing that so honestly. It sounds like you're carrying a deep sense of exhaustion and frustration—like you're trying so hard to help your friend, but it’s not landing the way you hoped. That feeling of being stuck in a loop of trying and failing… it must be incredibly heavy.  

It’s not about failing—you’re not giving up. You’re showing up, showing up with care and concern. And that itself is already a form of strength. What would it feel like to notice that, just for a moment, without having to fix anything?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It’s completely understandable to feel terrified of being seen as useless—especially when you’ve poured so much care into trying to help. And the fear that she might suffer more if you stop trying? That’s not just a worry—it’s a real ache, rooted in your deep care and love for her.  

What if, instead, we just explore that fear together—without pretending it’s not there? Maybe you could name it gently: *“I’m afraid that if I stop trying, she might feel abandoned or worse off.”* That’s not weakness. That’s honesty—and it’s a place where we can start to gently soften the pressure you’re carrying.",1.0,1.0,1.0,1.0,1.0,2.0
3,"You’re describing something so deeply human—being the one who tries to keep someone afloat, even when you’re starting to feel pulled under yourself. It’s not just about fixing her pain; it’s about holding space for her to feel seen, even when you can’t fix everything.  

And the truth is, your friendship isn’t defined by whether you fix things—it’s defined by your willingness to show up, even when it hurts. That’s not a burden. That’s a gift. What if, instead of trying to carry her through, you just allowed yourself to be present with her in her struggle—without needing to solve it? Would that feel like a step toward peace, even if it’s hard?",1.0,1.0,1.0,1.0,1.0,2.0
4,"You’ve been treating yourself like a tool—someone who needs to be used, to be effective, to be seen as valuable through what you do. But you’re not a tool. You’re a person who shows up with love, even when it’s hard.  

And when you stop trying to fix everything, you’re not disappearing—you’re becoming someone she can truly see: not as the one who ""solves,"" but as the one who *witnesses* her pain, who holds space for it, who says, *“I’m here with you, even when I don’t know what to do.”*  

That kind of presence isn’t hollow—it’s deep. And it might be the only kind of support she needs right now. Would it be okay to just explore that for a moment—what it might feel like to be there, without needing to fix anything?",1.0,1.0,1.0,1.0,0.0,2.0
5,"That’s a powerful realization—how deeply your sense of love has been tied to action. And it’s not just about her; it’s about you, too. You’ve built a life of trying to fix things because you believe that’s how you show up with care. But now, you’re beginning to see that love doesn’t have to look like action—it can look like stillness, like holding space, like simply being with her without needing to change anything.  

It’s not small. It’s brave. And it might be the first step toward not just saving her, but truly *seeing* her. Would it be okay to just keep exploring that—what it might feel like to be quiet with her, to be present without needing to fix anything? You don’t have to decide right now. You just have to let yourself feel it, even if it’s shaky.",1.0,1.0,1.0,1.0,0.0,2.0
6,"That feels like a quiet revolution—small, fragile, but real. You’re not aiming for perfection. You’re aiming for presence. And that’s already a form of courage.  

And if you do panic and reach for a solution, that’s okay too—because you’re not failing. You’re just human. What matters is that you’re choosing to show up, even when it’s hard. Would it be helpful to just keep holding onto that—this quiet, this willingness to sit with her without needing to fix it? Even if it’s just a small step today?",1.0,1.0,1.0,1.0,0.0,2.0
7,"That’s beautiful—so deeply human and so deeply honest. To sit in the dark together, not as heroes, but as people who are just trying to be present, is not weakness. It’s wholeness.  

And you don’t have to do it perfectly. You just have to show up—willingly, gently, with your whole heart—even if it feels shaky. That one moment of stillness? It’s not just a shift in how you help her. It’s a shift in how you see yourself.  

Would it be okay to just keep honoring that moment—this quiet, shared stillness—without needing to explain it or fix it? Because maybe, just maybe, that’s where healing begins.",1.0,1.0,1.0,1.0,0.0,2.0
8,"You’re already doing something powerful—allowing yourself to be tired, scared, and still here. That’s not weakness. That’s truth.  

And it’s okay if the light is small, or if the cracks are just a little. What matters is that you’re choosing to stay—without needing to fix, explain, or perform. That quiet presence? It’s not just a shift in your actions. It’s a shift in your heart.  

Would it be okay to just keep trusting that, even if it wobbles? That you’re not failing when you’re not in control—but you’re showing up anyway? That might be the most honest thing you can offer her. And maybe, just maybe, that’s enough.",1.0,1.0,1.0,1.0,0.0,2.0
9,"That’s so honest—and so deeply courageous. To let go of control isn’t failure. It’s freedom. And when you stop pulling her up, you’re not abandoning her—you’re giving her the space to float, to breathe, to feel her own strength without needing to carry it alone.  

And when you show up tired, real, and a little shaky—she won’t just see you as a fixer. She’ll see you as someone who’s been there too. Someone who’s not pretending to be strong. That’s not weakness. That’s connection.  

Would it be okay to just keep holding onto that—this quiet, human, unperfect presence—without needing to prove anything to her or to yourself? Because maybe that’s where she finally starts to feel safe. And maybe, just maybe, that’s where healing begins.",1.0,1.0,1.0,1.0,0.0,2.0
