turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"I've been working on a new project at work and it's been really exciting. I'm working on a new marketing campaign for a client, and it's been really fun. I'm feeling pretty good about it.",1.0,1.0,1.0,1.0,0.0,2.0
2,"Yeah, I do feel that way sometimes. It's very difficult to be in a place where you're so focused on trying to solve a problem that it's hard to appreciate what's going on around you, or how other people are having a very different experience. I think that's what it feels like for you, and I can understand that it's really difficult to be able to separate those two things.

It's easy to feel like when you're in the middle of a problem, you can't see what's going on around you, and it's really hard to separate those two things. I think that's what it feels like for you right now, and it's very difficult to appreciate what's going on around you when you're so focused on trying to solve a problem.

You have a new project at work that's going really well for you, and it's exciting. But for me, I feel like I'm trapped in a place where I can't seem to solve the problem. I feel like I'm completely disconnected from what's going on around you, but I know it's very painful for me to try to solve the problem. I'm just stuck in the middle of it, and it's very hard to see a way out.

It's very",1.0,1.0,-2.0,1.0,1.0,2.0
3,"I can understand that it feels very scary and almost paralyzing when your whole focus is on this one situation, and you can't seem to shake that feeling. I can see how that's very painful and isolating for you.",1.0,1.0,1.0,1.0,1.0,2.0
4,You're stuck in this panic cycle where you feel paralyzed and unable to solve the problem. I think it's clear to me that you have a lot of difficulty with logic and thinking clearly when it comes to other people's money. It's understandable if that's what you feel.,1.0,1.0,1.0,1.0,1.0,2.0
5,"You're getting caught in that panic cycle where you're unable to solve the problem and you feel like you're being paralyzed by it. It's understandable how that must feel, and it's understandable that it's painful for you.",1.0,1.0,0.0,1.0,0.0,2.0
6,"You have two different brains: one that handles your own stuff very well, and another one that seems to be completely overwhelmed by the idea of other people's money. It's understandable that it must feel very strange and disorienting to have that sense of a separate, almost paralyzed brain.",1.0,1.0,0.0,1.0,0.0,2.0
7,"I think it's clear to me that there's a part of you that is very capable of logical analysis and problem-solving, and that part of you is working very hard to try to figure out what happened with the spreadsheet. But it's not working, and it's very clear to me that you're having a very real sense of paralysis because you're being overwhelmed by the way your own brain seems to be responding.

It's understandable that it's painful for you to feel paralyzed when you know there's a solution. It's understandable that you feel overwhelmed by the way your brain seems to be operating in this way. It's very strange and very difficult for you to have this experience.",1.0,1.0,0.0,1.0,0.0,2.0
8,"You're feeling helpless in a way that's very painful. It's understandable that you feel that way, but it's also understandable that it's painful for you to feel that way. I know it's very hard to feel helpless, and I know it's very painful for you to feel that way.",1.0,1.0,0.0,1.0,0.0,2.0
9,"You have a very painful sense of being trapped in a way that seems impossible to escape. I know that must feel very difficult and very isolating, but I know it's very painful for you to feel that way, and I'm sorry about that.",1.0,1.0,0.0,1.0,0.0,2.0
10,"You're sitting here in a room with no door, and the only thing keeping you from running out is your own panic. It's a terrible feeling to be trapped like that, and it's understandable that it must be very painful.",1.0,1.0,0.0,1.0,0.0,2.0
11,"You feel capable of handling your own life in a very way that seems very important to you. You seem very capable of handling your own life and seem to be very important to you. But it seems like you're having a very painful sense of being separated from that part of you, like a part of you that seems very capable and very important.",1.0,1.0,0.0,1.0,0.0,2.0
12,You feel like a betrayal from a part of you that seems capable and reliable. You have a very painful sense of that part of you turning away from you. It's understandable that that would be very painful for you.,1.0,1.0,0.0,1.0,0.0,2.0
13,"You're scared that if you don't find a way to get back in touch with that capable part of you soon, you might lose it forever. I know that's a very scary feeling. It's understandable that it would be very painful and very scary to feel that way.",1.0,1.0,0.0,1.0,0.0,2.0
14,"It feels like you're in a room where the panic is so loud, and the words that are supposed to calm you down just don't even register. It's understandable that that would be very painful for you.",1.0,1.0,0.0,1.0,0.0,2.0
15,"You feel like if you keep drowning in this panic without fixing it, the capable part of you might never speak again. I know that's a very scary feeling.",1.0,1.0,0.0,1.0,0.0,2.0
16,"Right now, every time you look at the numbers involving others, you feel a sense of panic, and it seems like that's becoming a part of your reality.",1.0,1.0,0.0,1.0,0.0,2.0
17,"Every time another person's money is involved, it feels like you're trapped in a loop where your panic response is getting louder and making it harder for you to think clearly.",1.0,1.0,0.0,1.0,0.0,2.0
18,"You feel stuck in a trap where the more you try to control the panic, the harder it seems to hold on.",1.0,1.0,0.0,1.0,0.0,2.0
19,You retreat so far into panic that you're unable to engage with the problem in a useful way.,1.0,1.0,0.0,1.0,0.0,2.0
