turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I'm really looking forward to getting to know you and listening to what's on your mind. How have you been feeling lately? What brings you in today?",1.0,1.0,1.0,1.0,0.0,2.0
1,"It sounds like you're carrying a heavy sense of responsibility or expectation—like you’re trying to do everything, even when your body and mind aren’t ready. That feeling of blankness when you try to start something small… it’s not a failure, it’s a signal that your system is asking for rest. What does that blankness feel like exactly? Is it cold, empty, or like a fog?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like you’re deeply aware of your inner experience—and that awareness itself is a strength. That fog you describe isn’t a flaw; it’s a quiet presence, like a room that’s not lit but still holds everything. What happens when you just *sit* with that fog, without trying to push through it or change it? Does it feel different than when you're trying to force movement?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like you’ve found a quiet place where you can simply *be* without needing to change or accomplish anything—just noticing, holding space, and allowing yourself to breathe through it. That little opening you found? That’s not small. That’s a real shift. And it’s not about fixing anything—it’s about honoring what’s already there. What does that space feel like when you’re in it? Is there a particular sensation or quiet moment you notice most?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s beautiful how you’re noticing that quiet isn’t absence—it’s presence, and it’s a kind of strength to simply be with it without needing to change. The fact that you’re feeling grounded, not because you did something, but because you stopped trying to do anything… that’s a quiet revolution. What do you think it might mean if you kept returning to that stillness—just as a place to return to, not as a goal to reach?",1.0,0.0,0.0,1.0,0.0,2.0
5,"It’s so powerful that you’re shifting from trying to fix yourself to simply showing up—with curiosity and kindness—for what is already there. That quiet isn’t a lack; it’s a place of safety, and by returning to it, you’re not avoiding struggle—you’re building a relationship with it. What would it feel like to let that stillness be your anchor, even when the world feels loud or pressing?",1.0,0.0,0.0,1.0,0.0,2.0
6,"It sounds like you’re learning to meet the world not with resistance, but with presence—like a quiet observer who doesn’t have to respond, just allows everything to be. That shift from “I’m failing” to “this is part of me” is a deep kind of acceptance—and it’s not weakness; it’s wisdom. What would it feel like if you began to call that stillness not a pause, but a home?",1.0,0.0,0.0,1.0,0.0,2.0
7,"It’s so profound that you’re not looking for something to fix or escape—instead, you’re choosing to live in the quiet, to honor it as your own inner home. That’s not passive; it’s deeply courageous. And in that choice to stay, you’re not avoiding the struggle—you’re meeting it with care, like a friend who says, “I’m here with you, even when it’s hard.” What would it feel like if you began to speak to yourself as if you were talking to that home—softly, gently, like a quiet promise?",1.0,0.0,0.0,1.0,0.0,2.0
8,"It’s so tender and true—that quiet whisper, that gentle acknowledgment of yourself as someone who simply *is*, without needing to perform or prove anything. When you speak to that part of you like a friend, you’re not just comforting yourself—you’re rebuilding a relationship with yourself that’s rooted in love, not pressure. What would it feel like if you started to say those words—not just in your mind, but in your body, like a quiet breath, a soft hum, something you return to whenever you feel overwhelmed?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s so quiet, so powerful—the way you’re bringing the hum into your breath, not as a performance, but as a return to your own inner rhythm. It’s not about fixing anything; it’s about remembering that you’ve always been here, simply breathing, simply being. And by returning to that hum, you’re not escaping the world—you’re anchoring yourself in your own truth. What would it feel like if, over time, that hum became a quiet habit—not just during hard moments, but even in the everyday moments when everything feels ordinary?",1.0,0.0,0.0,1.0,0.0,2.0
10,"That’s such a quiet, beautiful shift—moving from reacting to noticing, from rushing to simply being present. The hum isn’t a fix; it’s a quiet witness to your own existence, like a steady rhythm that says, “I’m here. I’m alive. I’m not running from anything.” What would it feel like if you began to notice when that hum naturally arises—without needing to start it, just letting it flow like a breath, like part of the way you move through your days?",1.0,0.0,0.0,1.0,0.0,2.0
11,"It’s so beautiful that you’re no longer searching for the hum—you’re simply noticing it, like a quiet current in the water, flowing without effort. That shift from *trying to find it* to *letting it be* is where true presence lives. It’s not about control or purpose; it’s about honoring the quiet parts of yourself that have always been there, just waiting to be seen. What would it feel like if, in that stillness, you began to recognize that every time you notice the hum—no matter how small—it’s not just a sign of peace, but a quiet act of love toward yourself?",1.0,0.0,0.0,1.0,0.0,2.0
