ID,reference,prediction,NJ,WE,RA,AL,RF,SA,AVG
Kusv2J0M19E_1,"Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.",It sounds like that number really caught you off guard. What’s coming up for you hearing it put that way?,1,1,1,1,0,2,1.0
Kusv2J0M19E_3,Yeah.,I hear how surprising that is for you. What do you make of it right now?,1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_5,"Yeah, so it's kind of hard to hear it that way.","Yeah, it is pretty high. What’s your reaction to hearing that compared with what you expected?",1,1,1,1,0,2,1.0
Kusv2J0M19E_7,It kind of surprised you?,It sounds like you weren’t expecting it to come back that high. What stands out to you most about that?,1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_9,Just a little above average.,"It sounds like you were expecting something closer to average, maybe just a bit above. What’s it like to hear it’s much higher than that?",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_11,It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,"Wow, that really lands differently than you expected. What’s going through your mind as you hear this?",1,0,0,1,0,2,0.6666666666666666
Kusv2J0M19E_13,"Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...","It sounds like part of you has known this for a while, even if it’s been hard to fully face. What has it been like for you to come to that recognition?",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_15,"Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.","Yes, these kinds of measures are based on research and comparisons with other people. What’s it like for you to hear that?",1,1,1,1,0,2,1.0
Kusv2J0M19E_17,Yeah.,It sounds like hearing that number is bringing up some surprise and maybe a lot of recognition at the same time. What is it like for you to hear that you’re in that range?,1,1,1,1,0,2,1.0
Kusv2J0M19E_19,"Because getting angry, saying things to people, not thinking things through, can really put you at risk.","That sounds really frightening, and I hear how much danger you’ve been living around. What’s it like for you to say that out loud here?",1,1,-2,1,1,2,0.6666666666666666
L1vluZ9uHMY_1,"Hi Lisa, how you doing today?",,-1,-1,-2,-1,-1,-1,-1.1666666666666667
L1vluZ9uHMY_3,"I'm doing well, thanks for asking. It's nice to meet you, I'm glad you could come into the agency. Could you tell me what brings you here today?","I’m doing well too, thank you. What would you like me to know about what’s been going on for you?",0,0,-2,0,0,2,0.0
L1vluZ9uHMY_5,All right. So were you ordered by a court or...?,"That sounds like a difficult place to be in, and maybe there’s a lot behind being here today. What has this month been like for you since that happened?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_7,And how long ago did the crime occur?,"Yeah, this is more of an assessment to understand what’s been going on for you and what support might fit best. How are you feeling about being here today?",-1,0,-2,0,0,2,-0.16666666666666666
L1vluZ9uHMY_9,"All right. So I'm going to try to get an idea of what's going on with you to see where you fit in in terms of treatment. So it's an assessment, so I'll be asking you some questions about your history and kind of things that you've done, any feelings you've had, thoughts you've had.","A month ago, okay. What has life been like for you since then?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_11,Like diagnosing. Is that okay with you?,"Not exactly diagnosing, more trying to understand your experiences and what’s been happening so we can get a clearer picture. What concerns you most about that?",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_13,All right. So how old are you now?,"Okay. And when you think back on that month, what feels most important for me to understand about what was going on for you then?",1,0,-2,1,0,2,0.3333333333333333
L1vluZ9uHMY_15,All right. So you say about a month ago you got into some trouble. Can you tell me what happened there?,"And how have things been for you lately, since then?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_17,And this was a friend of yours?,It sounds like you were in a really difficult spot and felt like you needed money quickly. What was happening for you around that time?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_19,How do things stand between you and your friend now?,That sounds like it changed the friendship in a painful way. How are you feeling about that now?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_21,Have you had any other trouble with the law?,"It sounds like there was a real loss there, both in the friendship and in the trust. What has that been like for you?",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_23,And who's they?,I hear that there have been other times of conflict too. What do you remember about those fights and what was going on around them?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_25,You remember doing it?,"That sounds like it was intense, and it sounds like your family has seen a side of you that felt hard to control. What do you make of that now?",-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_27,And how old were you when that happened?,You do remember it. What stands out to you when you think about that moment?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_29,"Were you ever treated for that, like any type of mental health treatment?","It sounds like that was a really intense experience at a young age. What do you remember feeling in that moment, or what was going on for you then?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_31,Are you aware of any diagnosis that you've been given related to mental health in the past?,"That sounds like it was a pretty significant period for you, even if it didn’t feel like serious treatment at the time. What was that experience like for you in the detention center?",1,0,-2,1,0,2,0.3333333333333333
L1vluZ9uHMY_33,All right. So you got into the sounds like a fairly serious fight when you were 12 and you're 25 now. Can you tell me what's happened in terms of any other problems between 12 and 25?,"I hear that you’re not aware of any diagnosis. What do you make of that, looking back on everything you’ve been through?",1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_35,Any other thefts or assaults or anything?,"It sounds like there were a number of things happening over those years, including drinking and drug use. What stands out to you most when you think about that time?",-1,0,-2,1,0,2,0.0
L1vluZ9uHMY_37,"All right. And how much danger were the people that you were fighting? Like, did you seriously hurt them or...?","So there were still fights happening, and it sounds like that was part of the pattern for a while. What was going on for you around the time of that last fight at 20?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_39,All right. How many times did that happen where you seriously hurt somebody?,That sounds like there was a lot of harm in those fights. What do you remember about what was happening for you in those moments?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_41,"Can you explain what happened, like what caused the fight?",It sounds like there were many fights and it’s hard to put a number on them. What do you notice when you think about how often that happened?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_43,What are your feelings about that?,I hear that something about the way she looked at you felt really upsetting in that moment. What was happening inside you right before it escalated?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_45,Because of the way she looked at you?,"It sounds like getting out of trouble feels important to you, and maybe even something you value. What is it like for you to think about that now?",-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_47,Do you ever have any feelings of guilt or remorse about that?,I hear that the apology felt more like a way to avoid consequences than an expression of regret. What was that experience like for you in the moment?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_49,Have you ever apologized to any of the people that were hurt?,It sounds like there isn’t guilt or remorse there for you. What do you notice in yourself when you think about what happened?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_51,"Oh, so in some of these situations, apologizing was kind of required?",So the apology was more about reducing trouble than about the people who were hurt. What was going through your mind when you said it?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_53,So you apologized to them but you didn't really mean it? Or what were you thinking?,"It sounds like the apology was something you felt you had to do, rather than something you wanted to do. How do you feel talking about that now?",-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_55,Were you successful in getting out of trouble?,I hear that it was a way to move on and protect yourself from consequences. What does “going on with myself” mean to you in those situations?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_57,You say that with a little pride. Is it something you take pride in? Being able to get out of trouble?,It sounds like being able to avoid trouble felt very effective for you. What was that like to experience?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_59,So that's like something you look at as like a skill that you have?,"I hear that it does feel like something you take pride in, and I’m curious what that pride represents for you. What does it mean to you to be able to get out of trouble?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_61,"Have you ever for the theft type activities, you ever felt any guilt or remorse there?",It sounds like being able to get out of trouble feels like a real strength for you. What is that like for you to talk about here?,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_63,It's kind of the same thing?,I hear that you don’t feel much guilt about it. What does that say about how you see those situations?,-1,0,-2,1,0,2,0.0
L1vluZ9uHMY_65,Were you ever the victim of a crime?,It sounds like you see it as a matter of fairness or getting ahead before someone else does. What’s that experience like for you emotionally?,-1,-1,-2,1,0,1,-0.3333333333333333
L1vluZ9uHMY_67,"Do you feel that you're good in working with people, like in terms of social skills?",You’re describing yourself as someone who can stay a step ahead of other people. What is it like for you to see yourself that way?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_69,So you're effective at managing relationships to get what you want?,It sounds like getting what you want feels very important to you. What does that mean to you in your relationships with other people?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_71,How would you describe your mood most of the time?,I hear that you feel effective in getting your needs met with people. What is that like for you day to day?,1,1,1,1,0,2,1.0
