turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"It's been four years since you were supposed to start high school. That's a long time to feel stuck and overwhelmed. It's understandable to feel that way, especially if you're having trouble focusing and finding joy in activities.",1.0,1.0,1.0,1.0,0.0,2.0
2,It's tough to believe in yourself when your brain won't let you focus on anything for more than five minutes. It's frustrating to be told you're not a good worker and to be without income.,1.0,0.0,-2.0,1.0,0.0,2.0
3,It's been a difficult experience to lose your job after just four months and feel trapped without income or options for therapy.,-1.0,0.0,-2.0,1.0,0.0,2.0
4,"You've lost your job, you're without income, and you can't afford therapy. It's a very difficult and discouraging situation.",1.0,1.0,1.0,1.0,0.0,2.0
5,"You're worried that without income or therapy, you'll stay stuck in bed forever, losing your dreams and potential for happiness.",1.0,1.0,1.0,1.0,1.0,2.0
6,You've had thoughts about what it would be like if you were born without all of this.,1.0,1.0,1.0,1.0,1.0,2.0
7,"You've been having thoughts about not being born and being gone, and you feel guilty about it, but you know it would stop the pain.",1.0,0.0,0.0,1.0,0.0,2.0
8,It's very difficult to hear that you're having thoughts about wanting to end your life and that you've been feeling very hopeless.,1.0,0.0,0.0,1.0,0.0,2.0
9,"You feel like you're being judged for failing to meet the standard of a ""successful"" life.",1.0,0.0,0.0,1.0,0.0,2.0
10,"You feel guilty for being different because you're having a hard time with ADHD and depression, but you know it's different for others.",1.0,0.0,0.0,1.0,0.0,2.0
11,"You feel guilty for being different, but you know that a ""normal"" brain doesn't have the struggle you have with ADHD and depression.",1.0,0.0,0.0,1.0,0.0,2.0
12,You feel guilty because you know you could have succeeded if you weren't born with ADHD and depression.,1.0,0.0,0.0,1.0,0.0,2.0
13,"You feel guilty for being different, but you know that the struggle with ADHD and depression is real and debilitating.",1.0,0.0,0.0,1.0,0.0,2.0
14,You feel guilty for being different because you know your brain works differently and it's hard for you to focus or find happiness.,1.0,0.0,0.0,1.0,0.0,2.0
15,"You feel guilty for not being able to do what other people do, even though it's hard for you to focus or find joy.",1.0,0.0,0.0,1.0,0.0,2.0
16,"You feel guilty for not being able to do what others seem to do, but you also know it's hard for you to focus or find joy.",1.0,0.0,0.0,1.0,0.0,2.0
17,"You feel guilty for not being able to do what others seem to do, but you also know it's hard for you to focus or find joy.",1.0,0.0,0.0,1.0,0.0,2.0
18,"You feel guilty for not being able to do what others seem to do, but you also know it's hard for you to focus or find joy.",1.0,0.0,0.0,1.0,0.0,2.0
19,"You feel guilty for not being able to do what others seem to do, but you also know it's hard for you to focus or find joy.",1.0,0.0,0.0,1.0,0.0,2.0
