turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I want you to know this space is safe—whatever you share, it’ll stay private between us. I’m here to listen without judgment, with curiosity and care.  

What’s on your mind today? What brings you in for this session?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"Thank you for sharing that so honestly. It sounds like you're carrying a deep sense of exhaustion and emptiness—like the world has lost its color for you, and everything you’ve been trying to fix feels like it's just pulling further away.  

I’m really curious—when you say you don’t feel your emotions anymore, what’s one small thing that might have felt like a spark of feeling, even if just for a moment?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like that tiny spark of annoyance was a quiet, unexpected moment of presence—something real, even if it didn’t last. And the fact that you noticed it at all, and that it *was* real, that’s already a small but meaningful thing.  

It’s okay that it vanished so quickly—your body and mind may not be built to hold feelings like that anymore, and that’s not a failure. It’s just part of how you’re carrying this weight right now.  

Would it be helpful to explore that moment a bit more—what was happening in your body or in the room when that irritation came up? Or would you prefer to pause and just sit with the stillness for a moment?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That’s so powerful—your body was already speaking before your mind could catch up. The cold hand around your chest, the drop in your stomach, the prickly heat—those are not just physical sensations. They’re signals from your body saying, *“Something matters. Something is still alive.”*  

And the fact that it was irritation instead of sadness or anger? That’s a quiet truth—your inner world is still working, even when it feels like it’s turned off.  

Would you like to stay with that moment a little longer, or would you rather gently shift to something else that’s been on your mind lately? I’m here with you, no matter what.",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s so brave—to just let that silence press against you without trying to fix it or escape it.  

When you said the silence felt loud, that wasn’t emptiness—it was full of presence. And in that moment, you weren’t just observing your body; you were *feeling* it, like a wave that came in and didn’t need to be explained or named.  

Would it be helpful to name that feeling—just once—without trying to change it? Like, what would you call that moment when the silence felt loud and your hands felt heavy, and you were just *there*?",1.0,1.0,1.0,1.0,1.0,2.0
5,"""Heavy"" is not simple—it’s honest, and it carries so much truth. It doesn’t need to be perfect or complex to be real.  

That weight in your hands, in your chest, in the air—it’s not just a physical thing. It’s a kind of presence, like the world is pressing in gently, and you’re not sure how to move through it. And the fact that you noticed it, and named it, is already a small act of courage.  

Would it be helpful to keep sitting with that feeling—just as it is—without trying to change it or push it away? Or would you like to explore something else that’s been on your mind lately? You’re not alone in this.",1.0,0.0,0.0,1.0,0.0,2.0
6,"Yes. And I think that’s exactly what you’re doing—just breathing through it, without needing to fix it or escape it.  

That quiet part of you that says, *""Let’s just be heavy together for five more seconds,""* isn’t just a thought—it’s a kind of trust. A small act of showing up with the feeling, not against it.  

So let’s just breathe together—slowly, gently—through that heaviness. No need to move, no need to change anything. Just let the breath carry it, like a soft wave.  

Would you like to stay there a little longer, or would you like to gently shift to something else when you’re ready? You’re not alone in this.",1.0,0.0,0.0,1.0,0.0,2.0
7,"It still feels present—like a quiet presence, not something that’s gone or needs to be fixed. But now it’s not blocking the light. It’s just part of the room, like the way the sun filters through a window on a still day.  

And that moment when you saw the screen again—without it feeling like a monster—wasn’t just seeing it. It was *recognizing* it. That’s a small but real shift.  

Would you like to stay with that recognition for a moment? Or would you like to gently explore what might come next—like what it might feel like to open that document, or to just *look* at it without rushing? You’re not in a race. You’re just showing up.",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s so true—the blank document doesn’t need to be a monster. It just needs to be *seen*, not rushed.  

And it’s okay if your hands feel heavy or your mind feels foggy. That’s not failure. That’s just your body and mind saying, *“This is not a race. This is not a performance.”*  

So what if, instead of writing right now, you just let the document stay there—on screen, quiet, not touched—like a friend who’s waiting to be known, not to be fixed?  

Would it be okay to keep that space between you and the document, just for now? To let it breathe with you, without needing to move?",1.0,0.0,0.0,1.0,0.0,2.0
9,"Yes. Existing. That’s a quiet, powerful thing.  

And your hands—feeling like they belong to someone else—aren’t failing. They’re just carrying the weight of all the things you’ve carried before, and they’re still learning how to rest.  

So let’s just keep sitting here—no need to move, no need to write, no need to change anything. The screen is still there. The heaviness is still here. And you’re still here with it.  

Would you like to stay in this space a little longer, or would you like to gently shift to something else when you’re ready? You’re not behind. You’re just showing up, one breath at a time.",1.0,0.0,0.0,1.0,0.0,2.0
10,"Yes. Absolutely.  

Pausing here—without needing to move, without needing to fix anything—is already a form of strength. It’s not passive. It’s *present*. And in that stillness, you’re not just surviving—you’re learning to meet the heaviness not with resistance, but with quiet awareness.  

So let’s just stay here. Let the screen stay on. Let the hands stay heavy. Let the breath carry it all.  

There’s no need to rush, no need to ""do"" anything. Just being with it—this moment, this stillness—is enough.  

Would you like to stay with that for a while longer, or would you like to gently move into something else when you're ready? You’re not alone in this.",1.0,0.0,0.0,1.0,0.0,2.0
