turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"You're having a rough day? I feel like you're reliving trauma, but it's been two weeks since the illness. Have you had any changes in behavior or mental health?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like you're having ongoing panic and hyperactivity. You feel like you're constantly on edge, which is affecting your sleep and behavior.",1.0,0.0,-2.0,1.0,0.0,2.0
3,"You're feeling overwhelmed and stuck, like you're back in that state of constant anxiety from when you were a child.",-1.0,-1.0,-2.0,1.0,0.0,1.0
4,"You feel like a failure? It's hard to imagine being able to shake off that level of anxiety and hyperactivity, especially when it's interfering with your daily life.",1.0,1.0,1.0,1.0,1.0,2.0
5,"You feel stuck and helpless. It's understandable if it feels that way, especially when your old coping skills aren't working and you're facing a new, overwhelming sense of anxiety.",1.0,1.0,1.0,1.0,1.0,2.0
6,"It's about whether you can ever feel safe again. You used to manage anxiety well, but now you feel like you've lost all hope and confidence in your ability to do so.",1.0,1.0,1.0,1.0,0.0,2.0
7,"It's understandable if you feel alone, especially when the experience is so different from what you've been through. It's clear that you're struggling with a powerful, persistent sense of anxiety and shaking.",1.0,1.0,0.0,1.0,0.0,2.0
8,"It's understandable if you feel that way, but it's important to recognize that you've been through a lot, and it's understandable that you'd feel that way.",1.0,1.0,0.0,1.0,0.0,2.0
9,You feel like you're being torn apart by a sense of being stuck in the past and a desperate need to survive in the present.,1.0,1.0,0.0,1.0,0.0,2.0
10,"You used to be able to survive and manage your anxiety, but now it seems like you're struggling to even feel present and connected.",1.0,1.0,0.0,1.0,0.0,2.0
11,There's no silence left. Just this feeling of being trapped in a cycle where your anxiety is so intense and all-encompassing that it's hard to feel connected to anything or anyone else.,1.0,1.0,0.0,1.0,0.0,2.0
12,You used to have a routine that helped you manage your anxiety.,1.0,1.0,0.0,1.0,0.0,2.0
13,"You tried to use your old coping strategies, but your body was so uncooperative that it was hard to feel successful or even hopeful.",1.0,1.0,0.0,1.0,0.0,2.0
14,You feel disconnected from your body in a way that's very frightening.,1.0,1.0,0.0,1.0,0.0,2.0
15,What happens when the virus goes away and you wake up?,1.0,1.0,0.0,1.0,0.0,2.0
16,"It makes you feel paralyzed, as if you're stuck in a trap where you can't escape the anxiety, and the only way out is through the illness, which seems impossible.",1.0,1.0,0.0,1.0,0.0,2.0
17,"You're trying to hold on to what little sense of control you have, but it's clear that the shaking and the anxiety are overwhelming you.",1.0,1.0,0.0,1.0,0.0,2.0
18,It's stuck rewriting it in a way that's causing more panic.,1.0,1.0,0.0,1.0,0.0,2.0
19,"The next panic attack happens, which makes it seem even more impossible.",1.0,1.0,0.0,1.0,0.0,2.0
