turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I'm really looking forward to spending some time with you today. How are you feeling as we begin? What's on your mind right now?",1.0,0.0,-2.0,0.0,0.0,2.0
1,"That sounds like a lot to carry—pride and responsibility at the same time, with that quiet doubt underneath. It’s so human to wonder if you’ve really made it through, especially when you’ve carried so much. And it’s not just about the past—it’s about the future, too, and how you’re holding yourself together.  

What happens when you read those other posts online—do you feel seen, or does it make you feel like you’re falling short in comparison?",-1.0,0.0,-2.0,0.0,0.0,2.0
2,"It sounds like those posts create a kind of emotional push-and-pull—like a mirror that reflects both your strength and your vulnerability. The validation you feel when you see others who’ve gone through similar pain is powerful, and it makes sense that it helps you feel less isolated.  

But when you compare your journey to others who seem to have “figured things out” faster, it can feel like a quiet weight—like you’re being measured against a timeline that doesn’t match your own. That kind of comparison can make the sense of progress feel fragile, even when you’ve built something real and lasting.  

Would it be helpful to explore how that comparison shows up in your body or in your thoughts—like, when you notice it, what do you feel physically or emotionally?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
3,"That physical tension—behind your sternum, that cold knot in your stomach—it’s not just a reaction, it’s a signal that your body is holding space for something important: the fear that you’re not measuring up. And the internal monologue with the clipboard? That’s not a flaw—it’s your mind trying to protect you, to keep you safe from falling through.  

It’s like your body and mind are saying, *“I’ve been carrying this for a long time. I’m still here. I’m still showing up. But I don’t want to lose that.”*  

Would it be helpful to name one moment when that feeling came up recently—like a specific post or a specific thought—that made it feel especially heavy for you?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s such a powerful moment—you didn’t just react to the post; you reached into your own story and found your truth again. The fact that you remembered your own days of doubt, of feeling like you weren’t “there yet,” shows how deeply you’ve been listening to your own journey.  

And that shift—when you moved from feeling like you were falling behind to recognizing that your path is valid, even if it’s different—feels like a quiet victory. It’s not about matching someone else’s timeline. It’s about honoring your own rhythm.  

Would it be helpful to explore what that moment of recognition felt like in your body? Like, what did it feel like when you realized your story mattered, even if it wasn’t “excited” or “found” in the way the post described?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s such a beautiful and honest way to describe it—like a slow, quiet release after years of holding your breath. The fact that you noticed the shift in your body, the way your shoulders dropped and the tightness softened, shows how deeply your body has been carrying that tension. And that softness—like carrying rocks instead of crushing them—is a real kind of strength.  

It’s not about having a dramatic breakthrough. It’s about showing up, day after day, even when you don’t feel like it, and still being able to say, *“I’m here. I’m still here.”* That kind of presence is quiet but powerful.  

Would it be helpful to explore what you’d like to carry forward from this moment—like, what part of that quiet exhale do you want to keep with you in the days ahead?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s such a powerful realization—your consistency isn’t a sign of weakness, it’s a quiet act of courage. It’s not about having big moments of hope or excitement; it’s about showing up, again and again, even when it feels like you’re just holding on by your fingertips.  

And that? That’s resilience. That’s real strength.  

Would it be helpful to say that out loud—maybe even to yourself—so it becomes part of your inner voice? Like, ""I am here. I am consistent. I am healing, even if it’s slow."" That kind of language can be a safe place to return when the doubt comes back.",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s exactly what it feels like—a leap of faith, not because it’s easy, but because it’s honest. And the fact that you’re willing to try it, even when it feels awkward or uncertain, is already a form of courage.  

Your body may not react instantly, and that’s okay. Sometimes the shift happens in small moments—like a breath, a pause, a quiet moment where you just let the words sit without needing to prove anything.  

And if you say it and nothing changes? That doesn’t mean it failed. It means you’re still in the process of building a new inner dialogue—one that doesn’t demand perfection, but simply says, *“I’m here. I’m showing up. I’m allowed to be slow.”*  

Would you like to try saying it together—just once, right now—without pressure? You can say it as softly as you need to. I’m here with you.",1.0,0.0,0.0,1.0,0.0,2.0
8,"Yes—it felt different. Not because the words changed, but because they landed in a space that wasn’t performance, wasn’t comparison, and wasn’t trying to prove anything.  

That small shift in your chest? It wasn’t a sudden fix. It was a quiet acknowledgment that you were already doing the work—just by being present, by showing up, by saying it, even when it felt strange.  

And that matters. That matters more than you might realize.  

Would it be helpful to keep returning to that phrase—“I am here. I am consistent. I am healing, even if it's slow”—as a quiet anchor when the doubt comes back? Maybe not every day, but when you notice the tightness returning, you can say it softly, like a breath.  

You’re not trying to fix anything. You’re just trying to be seen. And that, in itself, is already a form of healing.",1.0,0.0,0.0,1.0,0.0,2.0
9,"You’re welcome. And thank you for sharing that—because it’s not small at all. It’s brave.  

That quiet whisper, that simple anchor—like a thread you can pull when the storm gets loud—it’s not about fixing anything. It’s about staying with yourself, even when it’s hard. And that? That is enough.  

If you ever want to return to it, or explore another part of your story, I’m here. No pressure. Just presence.  

You’ve already shown up—again and again. That’s all anyone really needs to know.",1.0,0.0,0.0,1.0,0.0,2.0
