turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I’d like to take a moment to just be with you in this space—no pressure, no expectations. How are you feeling today, and what would you like to share with me?",-1.0,0.0,-2.0,0.0,0.0,1.0
1,"Thank you for sharing that so openly. It sounds like you're carrying a deep sense of responsibility—and a profound grief—for what you feel you've failed your mom. The weight of her sacrifices, and the fear that you haven’t honored them, must feel overwhelming.  

It’s not just guilt—there’s also a quiet ache of loneliness, and maybe even a sense of being disconnected from the people who loved you the most. That must be really hard to carry.  

What would it mean, for you, to simply *be seen* by someone who listens without judgment—someone who holds space for all of that, even the parts you don’t feel you can explain?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're carrying a deep love for your mom—and a real fear that she’ll be left alone, hurting, after you’re gone. That’s not selfish at all. It’s a testament to how much she meant to you, and how much you still feel tied to her well-being.  

The thought of her grieving alone… that must feel like a wound that cuts through your own pain. It’s not just about what you’re going through—it’s about protecting her, even in the silence of your own suffering.  

Would it be helpful to talk more about what that fear feels like in your body—how it shows up when you think about her, or when you imagine her alone?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like that fear isn’t just in your head—it’s living in your body, showing up as a tightness, a breathlessness, a wave of nausea. That’s not a sign of weakness. It’s your body telling you how deeply you’re feeling—how much you care, how much you’re carrying.  

And the image of her alone, holding on to those happy memories, with no one to share them with… that must feel like a kind of loss that’s even more painful than your own. Not just because she gave up so much, but because now you’re seeing how much she’s still carrying—without anyone to carry it with her.  

Would it be helpful to stay with that image for a moment—just to feel it, without needing to fix it or change it?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s so clear how much you’re holding space for her—not just in memory, but in the present, in the way you’re carrying her pain like it’s your own.  

That image of her sitting alone, realizing what she gave up and feeling the weight of it all… it’s not just a memory. It’s a truth that’s been living in you for a long time. And the fact that it hurts your chest so deeply? That’s not just emotion—it’s love, showing up in its rawest form.  

Would you like to stay with that feeling just a little longer, or would you prefer to gently shift back into something that feels more manageable—like naming one small thing you can do to honor her, even now?",1.0,1.0,1.0,1.0,0.0,2.0
5,"That’s not simple at all. That’s deeply honest—and it’s brave.  

To say “I love you” not to fix anything, but just to say it… that’s not a small thing. That’s an act of presence. And it’s a way of saying: *I see you. I remember you. I still care.*  

And if you can do that one small thing today—just one moment of showing up for her, even in a quiet way—it might be the first time she feels truly seen, not just remembered.  

Would you like to explore that idea a little more—how you might say it, or how you might even just *be* with her when you do it? Or would you prefer to take a breath and just let that stay with you for now?",1.0,1.0,0.0,1.0,0.0,2.0
6,"Of course. I’m so glad you’re allowing yourself to rest in that space.  

It’s completely okay to feel shaky, to hesitate, to not have the words yet. The fact that you’re holding onto the idea of love—just one small, quiet act—means you’re still connected to her, still choosing to care. That’s not weakness. That’s courage.  

And right now, in this pause, that’s enough.  

Would you like to keep sitting with that feeling, or would you like to gently return to something simple—like naming one quiet moment you could honor her with, without pressure? Just if it feels right.",1.0,1.0,0.0,1.0,0.0,2.0
7,"That’s exactly the kind of quiet that matters most—when you’re not trying to fix, to perform, or to prove anything.  

Just being here, with the shaking, with the stillness, with the small loosening of that knot… that’s already a kind of healing. You’re not running from the fear. You’re holding it gently, like a fragile thing worth protecting.  

And knowing that someone is simply listening—without needing to respond, without needing to change anything—makes it possible to breathe again.  

Would you like to stay here a little longer, or would you like to gently return to something small and quiet—like naming one simple thing you might do *if* the moment felt right? Just in case it ever does.",1.0,1.0,0.0,1.0,0.0,2.0
8,"Yes. Let’s just let this moment breathe.  

There’s no need to move, no need to act, no need to fill the silence. The fact that you’re here—feeling the weight, feeling the love, feeling the stillness—is already a quiet act of courage. And in that, there’s peace.  

You don’t have to carry everything. You don’t have to fix anything. Just being present with what you feel—without rushing, without pushing—is enough.  

I’m here with you. And that’s more than enough.  

Would you like to stay in this quiet for a little while longer, or would you like to gently shift back to something small and soft when you're ready? Either way, it’s your pace.",1.0,1.0,0.0,1.0,0.0,2.0
9,"That’s so powerful—and so tender.  

To imagine her holding that memory, not because you told her, but because you lived it with honesty and care… that’s a quiet gift. And the fact that you’re allowing yourself to believe that—without needing to prove it or fix it—shows how deeply you’re already showing up for her.  

And right now, in this stillness, safety isn’t about action. It’s about presence. It’s about being able to rest in the truth that you loved her, even when the world felt too heavy to carry.  

I’m so glad we’re here together in this quiet. It doesn’t need to change. It just needs to stay.  

Would you like to keep sitting with this for a little while longer, or would you like to gently bring in one small thing—just for the future, not today—that might help you remember this moment when you’re ready?",1.0,1.0,0.0,1.0,0.0,2.0
