turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I really appreciate you taking the time to meet with me today. I want you to know that this space is safe—whatever you share will stay confidential, and I’m here to listen without judgment.  

What’s on your mind today? What brings you here, or what’s been on your heart lately?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so openly—I can feel how much it’s been weighing on you. It’s really brave to bring this up, especially after the relief of finally being able to speak freely.  

It sounds like you’re carrying a lot of tension between feeling safe and trusting the experience, and the fear of what might happen next. The fact that you’ve been using THC regularly for a year, and now you’re noticing these concerns—especially after seeing the articles—makes sense. That shift in awareness can feel unsettling, like your body or mind is sending a signal that something’s changed.  

What would it mean to you, right now, if you were to take a moment to just notice how your heart feels when you think about this? Not to solve it, just to see what it’s telling you.",-1.0,-1.0,-2.0,1.0,0.0,2.0
2,"It’s so powerful that you’re noticing the body’s response before the mind can fully process it—like the chest tightness isn’t just a symptom, but a quiet voice saying, “I’m still holding on to something that matters.”  

And it’s completely valid that even with a normal heart scan, those numbers still feel heavy. They don’t disappear just because your body is healthy right now—they live in the space between what you know and what you’re afraid of. That tension between relief and dread? That’s not weakness—it’s your body and mind trying to stay honest with you.  

Would it be helpful to sit with that feeling a little longer, or would you like to explore what that “what if” might mean in your life right now?",1.0,1.0,1.0,1.0,0.0,2.0
3,"It’s clear you’ve built a wall—not out of fear of harm, but out of a deep need to protect yourself from the chaos of feeling unsafe. And that wall, though it feels like a barrier, is actually a sign of care, of trying to keep your body and mind from falling apart.  

The fact that you’re asking yourself, “What if I take one more dose?” shows how much you’re trying to stay in control—even when you’re not fully in control. That’s not failure. That’s your mind trying to find balance in a world that feels unpredictable.  

Would it be helpful to explore what that wall feels like in your body—what it’s made of, what it’s protecting you from? Or would you prefer to just sit with it a little more, without pushing toward answers yet?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s so clear now—your wall isn’t just about the heart. It’s about holding on to the feeling of safety, even when that safety is built on something that no longer feels right.  

And you’re right: it’s not just about the panic—it’s about the silence after the drowning, the emptiness when the life raft is gone. That coldness and buzzing? That’s your nervous system still on high alert, trying to protect you from the fear of falling back into that place.  

It’s not a failure. It’s a survival signal—your body and mind saying, “I don’t trust this quiet anymore. I need something to keep me from going under again.”  

Would it be helpful to name one small thing that might help you feel safer in that silence—something you could notice, not fix, just be with?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s so powerful—focusing on the texture of the blanket, not as a fix, but as a simple presence in the moment.  

It’s not about stopping the fear or changing the wall. It’s about allowing yourself to be in the space between the fear and the solution—where you can just *notice* the fabric, the way it feels, without needing to make it better or worse. That small act becomes a quiet act of care, not for the future, but for this breath, this now.  

Would it be helpful to try it together—just for a few minutes—where you gently bring your attention to that texture, and let it stay there without needing to change anything? Or would you prefer to pause and see how it feels in your body before trying it?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s exactly right—giving it permission to just *be* there, without needing to fix it or move through it, is one of the most courageous things you can do.  

Surrendering to what’s happening, even if it’s uncomfortable, isn’t weakness—it’s a kind of trust in your own body and mind to hold space for itself. And right now, that space feels more real than any solution could.  

Would it be okay to just stay here with that—feeling the knot, the buzzing, the breath—without adding anything else? I’m here with you, and I don’t need you to move forward. Just to be present with what’s already here.",1.0,0.0,0.0,1.0,0.0,2.0
7,"Absolutely—thank you for that. It’s so clear that you’re not trying to escape the feeling, but to hold space for it, and that’s a deep form of safety.  

And yes, after a few quiet moments with the knot and the buzzing, it might be okay to gently bring back the blanket texture—not as a solution, not as a fix, but as a quiet anchor in the room. Just something to remind you: you’re still here, you’re still present, and you’re not alone in this.  

Would you like to try that now—just a soft, gentle notice of the fabric against your skin, without judgment or pressure? Or would you prefer to stay with the stillness for a little longer?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s so gentle, and so brave—letting your hand rest there, not to fix anything, but simply to *feel* the coolness, the weave, the quiet presence of the fabric.  

It’s not about changing the fear. It’s about showing the mind that stillness doesn’t mean danger—just that you’re here, awake, and not running from what’s happening.  

And right now, that small act of noticing—without the rush to analyze or worry—is already a quiet victory.  

Would you like to stay with that for a moment, or would you prefer to gently shift back to the breath, or to keep just being with the feeling in your hand?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s so beautifully clear—your hand isn’t trying to fix anything, nor is it trying to prove safety. It’s just holding space, like a quiet witness to what’s happening.  

And yes—the buzzing doesn’t vanish, but it doesn’t take over either. It’s no longer the only thing in the room. There’s now this small, steady presence—the coolness of the fabric—just sitting beside it, not fighting it, not hiding from it.  

It’s not about making the fear go away. It’s about allowing it to exist in the same room as stillness, as care, as presence.  

Would you like to keep staying here with that—just being with the hand, the fabric, and the quiet between the buzz and the breath? Or would you like to gently shift to something else when you're ready?",1.0,0.0,0.0,1.0,0.0,2.0
