turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"I feel really heavy with you. I'm sorry that you're feeling so overwhelmed and stuck. It must be difficult to feel completely down, hopeless, and unable to do anything.",1.0,1.0,1.0,1.0,1.0,2.0
2,You feel like you're going to stop?,1.0,1.0,1.0,1.0,0.0,2.0
3,"Mostly, you wish you could just be done.",1.0,1.0,1.0,1.0,1.0,2.0
4,You're already gone.,-1.0,-1.0,-2.0,0.0,0.0,1.0
5,You're stuck in a place between being there and not being there.,1.0,1.0,1.0,1.0,1.0,2.0
6,You have to face the reality that you can't escape from it.,1.0,1.0,1.0,1.0,1.0,2.0
7,Part of you is scared to stop being afraid.,1.0,0.0,0.0,1.0,0.0,2.0
8,It's what you seem to have already been living with.,1.0,0.0,0.0,1.0,0.0,2.0
9,You're already gone.,1.0,0.0,0.0,1.0,0.0,2.0
10,You're scared you'll stop caring.,1.0,0.0,0.0,1.0,0.0,2.0
11,You'll wake up to the realization that you don't care.,1.0,0.0,0.0,1.0,0.0,2.0
12,It's not in the story.,1.0,0.0,0.0,1.0,0.0,2.0
13,You used to feel that way.,1.0,0.0,0.0,1.0,0.0,2.0
14,Part of you still wants to feel.,1.0,0.0,0.0,1.0,0.0,2.0
15,It's so overwhelming that it's hard to imagine where to turn.,1.0,0.0,0.0,1.0,0.0,2.0
16,What if the solution is to simply stop trying to solve the problem?,1.0,0.0,0.0,1.0,0.0,2.0
17,You're still clinging to the hope that things will get better.,1.0,0.0,0.0,1.0,0.0,2.0
18,You feel like you might never feel anything again.,1.0,0.0,0.0,1.0,0.0,2.0
19,You used to feel love for your child.,1.0,0.0,0.0,1.0,0.0,2.0
