turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,It sounds overwhelming. I'm sorry to hear that you feel stuck in all this.,1.0,1.0,1.0,1.0,1.0,2.0
2,"Well, it's not a good feeling to know that you might be drafted.",1.0,1.0,1.0,1.0,1.0,2.0
3,It feels almost like a certainty.,1.0,1.0,1.0,1.0,1.0,2.0
4,It seems like you're feeling completely isolated.,1.0,1.0,1.0,2.0,1.0,2.0
5,It's hard to feel love when you're so scared for your future.,1.0,1.0,1.0,1.0,1.0,2.0
6,You feel like the only person who knows what it's like to be you.,1.0,1.0,1.0,1.0,1.0,2.0
7,They make you feel very hopeless.,1.0,1.0,0.0,1.0,0.0,2.0
8,It sounds like you're really struggling with a sense of worthlessness.,1.0,1.0,0.0,1.0,0.0,2.0
9,You feel helpless in the face of your father's illness.,1.0,1.0,0.0,1.0,0.0,2.0
10,You feel like you're failing your father.,1.0,1.0,0.0,1.0,0.0,2.0
11,You don't want to tell him?,1.0,1.0,0.0,1.0,0.0,2.0
12,You're struggling with how to balance your own needs with your responsibilities to your father.,1.0,1.0,0.0,1.0,0.0,2.0
13,You're feeling overwhelmed by the struggle for balance between your responsibilities to your father and your own well-being.,1.0,1.0,0.0,1.0,0.0,2.0
14,You feel guilty for being self-focused when you're aware of your father's suffering.,1.0,1.0,0.0,1.0,0.0,2.0
15,You feel guilty for focusing on your own problems while you know your father is suffering.,1.0,1.0,0.0,1.0,0.0,2.0
16,"You feel guilty for being self-focused when you know your father is suffering, but you're also overwhelmed by your own despair.",1.0,1.0,0.0,1.0,0.0,2.0
17,"It's clear that your life is being torn apart by a desperate, self-destructive struggle for balance.",1.0,1.0,0.0,1.0,0.0,2.0
18,You feel paralyzed by the conflicting demands of your responsibilities and your self-destructive state.,1.0,1.0,0.0,1.0,0.0,2.0
19,"You feel isolated and overwhelmed by your own despair, which is making it hard to focus on your responsibilities.",1.0,1.0,0.0,1.0,0.0,2.0
