turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I really appreciate you taking the time to meet with me today. I’m here to listen, to understand, and to support you in whatever way feels most meaningful for you right now.  

What’s been on your mind or bringing you in today?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"I’ve been feeling really overwhelmed lately—like I’m back in that place where my body just starts shaking without warning, even when I’m sitting still. It started after the stomach virus, and suddenly everything feels like it’s coming back. I don’t know if it’s just the illness or if I’m really feeling the anxiety again, but it’s like the panic is waking up and it’s not going away. I keep thinking about how I used to feel like that as a kid, and now I’m 19 and it’s happening again. It’s scary, and I don’t know if I can handle it all on my own.",-1.0,0.0,-2.0,0.0,0.0,1.0
2,"I’ve been feeling really overwhelmed lately—like I’m back in that place where my body just starts shaking without warning, even when I’m sitting still. It started after the stomach virus, and suddenly everything feels like it’s coming back. I don’t know if it’s just the illness or if I’m really feeling the anxiety again, but it’s like the panic is waking up and it’s not going away. I keep thinking about how I used to feel like that as a kid, and now I’m 19 and it’s happening again. It’s scary, and I don’t know if I can handle it all on my own.",1.0,0.0,-2.0,0.0,0.0,2.0
3,"I’ve been feeling really overwhelmed lately—like I’m back in that place where my body just starts shaking without warning, even when I’m sitting still. It started after the stomach virus, and suddenly everything feels like it’s coming back. I don’t know if it’s just the illness or if I’m really feeling the anxiety again, but it’s like the panic is waking up and it’s not going away. I keep thinking about how I used to feel like that as a kid, and now I’m 19 and it’s happening again. It’s scary, and I don’t know if I can handle it all on my own.",1.0,1.0,1.0,1.0,0.0,2.0
4,"I’ve been feeling really overwhelmed lately—like I’m back in that place where my body just starts shaking without warning, even when I’m sitting still. It started after the stomach virus, and suddenly everything feels like it’s coming back. I don’t know if it’s just the illness or if I’m really feeling the anxiety again, but it’s like the panic is waking up and it’s not going away. I keep thinking about how I used to feel like that as a kid, and now I’m 19 and it’s happening again. It’s scary, and I don’t know if I can handle it all on my own.",1.0,1.0,1.0,1.0,0.0,2.0
5,"I’ve been feeling really overwhelmed lately—like I’m back in that place where my body just starts shaking without warning, even when I’m sitting still. It started after the stomach virus, and suddenly everything feels like it’s coming back. I don’t know if it’s just the illness or if I’m really feeling the anxiety again, but it’s like the panic is waking up and it’s not going away. I keep thinking about how I used to feel like that as a kid, and now I’m 19 and it’s happening again. It’s scary, and I don’t know if I can handle it all on my own.",1.0,1.0,1.0,1.0,0.0,2.0
6,"I’ve been feeling really overwhelmed lately—like I’m back in that place where my body just starts shaking without warning, even when I’m sitting still. It started after the stomach virus, and suddenly everything feels like it’s coming back. I don’t know if it’s just the illness or if I’m really feeling the anxiety again, but it’s like the panic is waking up and it’s not going away. I keep thinking about how I used to feel like that as a kid, and now I’m 19 and it’s happening again. It’s scary, and I don’t know if I can handle it all on my own.",1.0,1.0,1.0,1.0,0.0,2.0
7,"It sounds like you're carrying a deep sense of overwhelm—like your body is reacting to something long buried, even after just a simple illness. The shaking, the way it feels like you're back in that childhood place, that’s not just a physical reaction; it’s a signal that your nervous system is remembering something it’s been trying to protect itself from. And the fear that you can’t handle it all on your own? That’s real, and it’s completely valid. You don’t have to carry it alone. Would it be helpful to explore what that childhood memory might have been, or what part of this feeling you want to name first?",1.0,1.0,1.0,1.0,0.0,2.0
8,"I remember when I was six, I had a panic attack in the middle of the playground—my heart was pounding so hard I thought I was going to pass out. I still have that memory, like a shadow. I used to hide in the bathroom, and I’d just keep breathing until it passed. It didn’t feel like I was in control. Now, with the stomach virus, it’s like the panic is coming back, and it’s not just the body—it’s the same fear, the same way my chest tightens and I can’t stop shaking. I used to think it was just me, but now I wonder if it’s something deeper. I’ve been trying meditation and medication, and they help, but when the virus hits, it feels like everything just cracks open again. I don’t know if I’m ready to face it, but I’m not sure I can keep pushing through it alone either.",1.0,1.0,1.0,1.0,0.0,2.0
9,"I remember when I was six, I had a panic attack in the middle of the playground—my heart was pounding so hard I thought I was going to pass out. I still have that memory, like a shadow. I used to hide in the bathroom, and I’d just keep breathing until it passed. It didn’t feel like I was in control. Now, with the stomach virus, it’s like the panic is coming back, and it’s not just the body—it’s the same fear, the same way my chest tightens and I can’t stop shaking. I’ve been trying meditation and medication, and they help, but when the virus hits, it feels like everything just cracks open again. I don’t know if I’m ready to face it, but I’m not sure I can keep pushing through it alone either.",1.0,1.0,1.0,1.0,0.0,2.0
