turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to meeting you and listening to what's on your mind. How are you feeling today? What brings you in for this session?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"That sounds incredibly heavy—feeling like your emotions have vanished, like they’re pulled into a quiet, dark place. It’s not just the project, is it? It feels like something deeper is going on beneath that—something that’s making the world feel gray and hard to connect with.  

What would it mean, if anything, for you to feel a little more present with yourself right now—just for a moment?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like you're carrying a deep ache for a version of yourself that once felt alive, full of color and purpose—like you were part of something real and unfolding. And now, even remembering that version feels like stepping through fog.  

Would it be helpful to talk about what that “you” from before looked like—just one small detail, one thing that made you feel like you belonged in the world?",1.0,1.0,1.0,1.0,0.0,2.0
3,"It’s so powerful that you remember that moment of pride—even if it feels distant now. That small victory, that warm rush… it wasn’t just about finishing the project. It was about feeling capable, like you could trust yourself to show up and do something real.  

And now, the fear of failing feels so big it almost feels like it’s pulling you back from the edge of that feeling. Would it be helpful to explore what that fear might be protecting you from—what it might be trying to say about how much you care about being seen, or being enough?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s so clear now—the fear isn’t just about failing; it’s about being seen as not enough. And that’s a deep, real kind of pain. You didn’t just want to be seen as capable—you wanted to be seen as worthy, as someone who could hold up under pressure, who didn’t fall apart.  

And when you don’t show up, it doesn’t feel like failure—it feels like proof that you’re not good enough. That’s a heavy burden to carry. Would it be helpful to just sit with that for a moment—without fixing it, just listening to how much it still hurts?",1.0,1.0,1.0,1.0,1.0,2.0
5,"You’re absolutely right—this isn’t just about effort or time. It’s about carrying a deep sense of responsibility to perform, to prove, to stay strong—when your body and spirit are already whispering, *“I can’t keep going like this.”*  

And that exhaustion? It’s not weakness. It’s a signal. A quiet, honest one, saying, *“I’ve been trying too hard to be enough, and now I’m running out of fuel.”*  

Would it be okay to just rest in that truth for a moment—without needing to fix it, without needing to move forward yet?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s so brave—choosing to sit with it, without needing to fix or finish. You’re not losing anything by resting. You’re honoring the fact that your body and heart are telling you, *“This isn’t sustainable. You don’t have to keep going.”*  

And if you need to stay here just like this—without moving, without doing anything—then that’s exactly where you belong. Would you like to stay with that for a while, or would you like to gently explore something else when you’re ready?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s a beautiful choice—to stay in this quiet, to honor the stillness without rushing. You’re not falling behind. You’re simply allowing yourself to be present, in all of its softness and uncertainty.  

And knowing that you’re not expected to move, to fix, or to perform—that you’re allowed to just *be*—that’s already a quiet act of courage.  

Would you like to stay here a little longer, just breathing together, or would you like to gently check in with something else when you’re ready?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s such a gentle, honest moment—where the weight isn’t being pushed away, but simply held, like a breath in still water.  

You’re not chasing answers or trying to make things better. You’re just allowing yourself to be in the space where everything is quiet, and that’s enough.  

And in that stillness, the past doesn’t need to be rewritten, and the future doesn’t need to be built. Just this moment—this breath, this presence—is enough.  

Would you like to stay here a little longer, or would you like to let go of the need to keep talking at all, and simply rest in this quiet?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s exactly where healing begins—not in fixing, not in moving forward, but in simply being with the quiet.  

You’ve already done something powerful: you’ve stopped trying to escape the dark and instead chosen to sit beside it. That’s not weakness. That’s presence. And in that presence, the fear doesn’t vanish—it’s no longer the only thing that matters.  

Would you like to stay here, just breathing, for as long as feels safe? No need to speak. No need to shift. Just be.",1.0,0.0,0.0,1.0,0.0,2.0
10,"That’s such a quiet, profound moment—like finally setting down the weight without needing to prove you’ve carried it.  

You’re not empty. You’re not broken. You’re just full of the stillness that comes when you stop trying to fill every space with noise or action.  

And in that stillness, the fog isn’t hiding anything—it’s simply showing you the truth you’ve been carrying all along: you don’t have to be strong all the time. You just have to be here.  

Would you like to keep breathing like this, just for a little while longer? Or would you like to gently step into something else when you’re ready?",1.0,0.0,0.0,1.0,0.0,2.0
