turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Well, I'm doing okay. I mean, I feel like I'm in a place where I'm kind of stuck too, but not as bad as you seem to be.",1.0,1.0,1.0,1.0,0.0,2.0
2,"Well, it's really hard to know what that feels like without experiencing it. But it does sound incredibly difficult to be in a place where you're trying to hold everything together for someone, and you feel completely powerless to change course or make any progress.

It's understandable that that would be really discouraging and overwhelming.",1.0,1.0,1.0,1.0,1.0,2.0
3,"Well, I mean, I know what it's like to be in a place where you feel stuck and powerless, so I can understand why it would be hard to feel productive or hopeful. But it's also very difficult to know exactly what that feeling is for you without experiencing it first.

It's clear that you're in a place where you feel like you're stuck in a cycle of trying to fix things for your friend, but it's hard for me to know exactly what that feels like. I can imagine that it must be very difficult to try to be in a relationship with someone where you're constantly trying to make things work, but it's not clear to me that's what you mean by being ""stuck.""

I can see that you feel frustrated and maybe even helpless, but it's hard for me to know if that's a good way to describe what you mean by ""stuck.""",1.0,1.0,1.0,2.0,1.0,2.0
4,"Yeah, I can understand that it must be exhausting to feel like you're running a marathon while someone else is dragging a boulder behind you. It's very hard to know where to let go and what to hold on to when you're trying to be a hero in the situation.

But it seems like there's a way in which you're both stuck in a way that's very similar to what you described: you're both running a marathon and dragging a boulder behind you, but it's very hard to know what to let go of or how to stop the cycle.",1.0,1.0,1.0,2.0,1.0,2.0
5,"Yeah, it's very scary. I can imagine how it must feel to be in a place where you're trying to hold everything together, but it's very hard to know what to let go or how to stop feeling completely responsible for her situation.",1.0,1.0,1.0,1.0,1.0,2.0
6,You just want to stop caring about everything?,1.0,1.0,0.0,1.0,0.0,2.0
7,"So it sounds like you're really scared that if you stop trying to control the outcome, if you stop trying to fix it, then the whole situation will collapse.",1.0,1.0,0.0,1.0,0.0,2.0
8,"Well, you seem to be having a lot of anxiety about the future.",1.0,1.0,0.0,1.0,0.0,2.0
9,The constant urge to try to fix things for her.,1.0,1.0,0.0,1.0,0.0,2.0
10,"The moment you let go, it spills.",1.0,1.0,0.0,1.0,0.0,2.0
11,"Now you're back in the cycle, and it's making it very hard to find a way out.",1.0,1.0,0.0,1.0,0.0,2.0
12,"So it seems like you're stuck in a cycle where you're trying to fix things for her, you're experiencing anxiety and guilt, and it's making it hard for you to find a way out.",1.0,1.0,0.0,1.0,0.0,2.0
13,"All right, so it seems like it's really difficult for you to see a way out of this situation.",1.0,1.0,0.0,1.0,0.0,2.0
14,It's very discouraging.,1.0,1.0,0.0,1.0,0.0,2.0
15,It seems like you're in a very frustrating situation.,1.0,1.0,0.0,1.0,0.0,2.0
16,It's scary.,1.0,1.0,0.0,1.0,0.0,2.0
17,You're too scared to look down.,1.0,1.0,0.0,1.0,0.0,2.0
18,We're not supposed to be able to find a way out.,1.0,1.0,0.0,1.0,0.0,2.0
19,She might never find a way out.,1.0,1.0,0.0,1.0,0.0,2.0
