turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"So it feels like you're paralyzed, you feel stuck, and it's hard for you to find motivation. It's very normal to feel this way when you're trying to make progress on tasks, especially if it's hard to find a clear beginning point or if you feel like you have to do everything at once.",1.0,1.0,1.0,1.0,1.0,2.0
2,"It's understandable to feel that way, especially if you've felt burned out before. But it's hard to find a way forward when you feel paralyzed and disconnected from your surroundings. I'd like to help you try to find a way to move forward again, if that's okay.",-1.0,0.0,-2.0,1.0,0.0,1.0
3,"You're right that if we can find a way to just stop and sit with the feeling, that might help. I think it's worth trying to take a moment to just notice what it is you're feeling without trying to analyze it or solve a problem right then.",-1.0,0.0,-2.0,0.0,0.0,2.0
4,"Yeah, it's hard to know exactly what to do when you're in the middle of a feeling, but I think it's worth trying to notice the feeling, even if it's difficult. Let's try to spend a few minutes just noticing what it is you're feeling.",1.0,1.0,1.0,1.0,0.0,2.0
5,"Yeah, I think it's worth trying to just let those experiences exist without trying to fix them. We'll just try to notice them and move through them. It's difficult, but I think it might be worth seeing if it makes a difference.",1.0,1.0,1.0,1.0,1.0,2.0
6,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
7,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
8,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
9,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
10,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
11,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
12,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
13,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
14,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
15,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
16,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
17,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
18,"Yeah, I think it's worth trying to just notice what you're feeling, even if it's difficult. I think it might be worth trying to see if it makes a difference.",1.0,0.0,0.0,1.0,0.0,2.0
19,"Okay, so let's just try to take a moment and notice that feeling of being paralyzed. I think it's worth trying to see if it makes a difference if you just sit with it.",1.0,0.0,0.0,1.0,0.0,2.0
