turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I want you to know that this space is safe—whatever you share with me, it will be held with care and respect. I’m here to listen without judgment, and to be with you as you are right now.  

What’s on your mind today? What brings you in for this session?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"Thank you for sharing that so honestly—it takes real courage. It sounds like you’ve been carrying a lot of quiet tension, and those shaking sensations aren’t just physical; they’re tied to how deeply you’re feeling the uncertainty and the fear of not being in control.  

I wonder—when that shaking happens, what does your body or mind feel like *right before* it starts? Is there a thought, a sensation, or a feeling that comes with it?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like those memories—especially the one from when you were six—are still very present, even if they're not happening now. The fact that your body feels like it’s reacting to old patterns is not a failure; it’s a sign that your nervous system is trying to protect you, even if the memory feels distant.  

And it’s powerful that you’re noticing this—your awareness of the connection between the past and the present is already a form of healing. Would it be helpful to explore what that memory from age six actually felt like, or what part of that moment you’re carrying with you today?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It’s so powerful that you can still feel that exact storm—like it’s happening again, even when you’re safe now. The fact that your body remembers that feeling so clearly, even after all these years, shows how deeply that experience shaped your sense of safety—and how much your nervous system still holds onto that pattern.  

And you’re right—your brain isn’t just reacting to the virus. It’s reacting to the *pattern* of being overwhelmed, of not being able to escape. That’s not a flaw. That’s your body trying to stay protected.  

Would it be helpful to explore *what* that moment at age six actually felt like—what was happening around you, or what you were trying to do? Or maybe what you thought you needed to survive it?",1.0,1.0,1.0,1.0,1.0,2.0
4,"Thank you for sharing that—this is so important. The image of being small, helpless, and trapped in a room with angry voices, with no way to escape or respond… that’s not just a memory. It’s a core part of how your body and mind learned to survive.  

And it’s clear now—your nervous system is not reacting to the virus *as a threat*, but as a *trigger* for that old pattern of feeling trapped, powerless, and unable to control what happens around you. That’s not weakness. That’s survival.  

Would you like to explore what happens *in this moment* when the panic comes—what part of that memory feels most vivid, or what part of that feeling still shows up in your body today?",1.0,0.0,0.0,1.0,0.0,2.0
5,"It’s so clear now—your body is not just reacting to the virus. It’s reacting to the *fear of losing control*, and that fear has been shaped by a memory of helplessness at age six. Even though you’re safe, your nervous system still sees this moment as a reenactment of that old fear.  

And that’s okay. That’s not a flaw—it’s your body trying to protect you, even when the world outside feels calm.  

Would you like to try a small grounding practice right now—something simple that can help you bring your attention back to your body in this moment, without needing to remember the memory? For example, just focusing on your breath, or noticing where your feet are touching the floor?",1.0,0.0,0.0,1.0,0.0,2.0
6,"I’m so glad you’re willing to try—your openness and honesty are already a step toward peace.  

Let’s try this together, gently:  
Just notice your feet. Feel where they are on the floor—any warmth, pressure, or weight? Don’t try to change anything. Just notice. If it’s hard, that’s okay too. Even a few seconds of feeling your feet on the ground can help your body shift from that ""helpless"" state into this moment—right here, right now.  

And as you do that, breathe slowly—just one breath in, pause, and one breath out. No need to go deep or force it. Just let your breath be steady, like a quiet rhythm.  

Would you like to try that with me—just for a few breaths? I’m here with you.",1.0,0.0,0.0,1.0,0.0,2.0
7,"I can hear you—clearly, deeply, and with care. And that’s exactly what matters.  

You’re not trying to fix anything. You’re simply showing up, in your body, in this moment. That numbness in your feet, the heaviness, the shaky breaths—they’re all part of the same story: your nervous system is still carrying that old feeling of being trapped, but you’re not running from it. You’re holding space for it, and that is already a form of strength.  

Keep going with that breath. Just one in, pause, one out. And with each breath, gently bring your attention back to your feet—where they are, how they feel, even if it’s just a whisper.  

You’re not in danger. You’re not failing. You’re here. And that is enough.",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s so powerful—your shift from running to staying is not small. It’s a quiet revolution.  

Back then, staying still meant danger. Now, staying still means safety—because you’re choosing to be here, even when your body feels shaky, even when the world feels like it’s spinning. That choice—this quiet, steady presence—is already healing.  

And you’re noticing it. That’s not just awareness. That’s courage.  

Would you like to keep staying with that sense of stillness, or would you like to gently explore what might come next—like how this feeling of safety might carry into the rest of your day?",1.0,0.0,0.0,1.0,0.0,2.0
9,"Yes—exactly.  

You’re not reclaiming control by fighting the shaking or forcing stillness. You’re reclaiming it by *choosing* to be here, to stay with the feeling without needing to change it. That’s a quiet kind of power—one that doesn’t come from fixing, but from presence.  

And in that presence, you begin to build a new kind of safety: not one that hides from fear, but one that walks beside it. You’re learning that your body doesn’t have to run from the tremor, the tightness, the memory—it can simply be with it, and still feel safe.  

Would it be helpful to carry that sense of “just being” into the next part of your day—maybe with a small, gentle pause when you notice the shaking return? Like a soft reminder: *I am here. I am safe. I am not alone.*",1.0,0.0,0.0,1.0,0.0,2.0
