Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi, I appreciate your participation in the intake so far. I want to change to a new section, if that's okay with you. And this section is on substance use. Is that an area you feel comfortable discussing?",T,H8CJxNP0nv8_1,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,,"Hi, Ms. Alexander. How are you doing today?
user
I'm okay.
model
I understand you've been having some symptoms that have been bothersome to you. Can you tell me about those?
user
I've been having a lot of anxiety, just been stressed out lately.
model
Stressed out? What's been going on?
user
Well, I just started a new job and I'm only there a week and I'm already so nervous about it. I'm so worried all the time that"
"Alright. So, are there any substances that you currently use?",T,H8CJxNP0nv8_3,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,"Therapist: Hi, I appreciate your participation in the intake so far. I want to change to a new section, if that's okay with you. And this section is on substance use. Is that an area you feel comfortable discussing?
Patient: Sure.","Okay, great. So we're going to do this exercise. I'm going to read some things aloud and I would like you to sit up straight and follow the prompts. I invite you to sit upright in your chair with your back straight and your feet flat on the floor. Most people find they feel more alert and awake sitting this way. Check it out and see if this is the case for you. Either close your eyes or fix them on a spot and take a few slow, deep breaths, noticing the breath flowing in and out of your lungs.
Now quickly scan your body from head to toe, starting at your"
Can you tell me how often you drink?,T,H8CJxNP0nv8_5,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,"Therapist: Hi, I appreciate your participation in the intake so far. I want to change to a new section, if that's okay with you. And this section is on substance use. Is that an area you feel comfortable discussing?
Patient: Sure.
Therapist: Alright. So, are there any substances that you currently use?
Patient: Um, I drink a bit.","How much do you drink?
user
Like a few glasses of wine on a weekend or a couple during the week. That's it.
model
And how much time do you spend obtaining, using, or recovering from the effects of alcohol?
user
It's really just on the weekends. I'll have a drink if there's a party going on, but I'll just have whatever the cheapest thing is. I pretty much just have whatever's in front of me.
model
How about when you go to a party? Do you ever feel"
And what are you drinking?,T,H8CJxNP0nv8_7,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,"Therapist: Hi, I appreciate your participation in the intake so far. I want to change to a new section, if that's okay with you. And this section is on substance use. Is that an area you feel comfortable discussing?
Patient: Sure.
Therapist: Alright. So, are there any substances that you currently use?
Patient: Um, I drink a bit.
Therapist: Can you tell me how often you drink?
Patient: I guess it's more than a bit. I would say I have probably three drinks a day.","Is that a lot of alcohol?
user
Compared to other people, probably. I think I have an alcohol problem though, so...
model
You think you might. And what does that mean to you?
user
Well, I guess it means that I'm drinking too much.
model
You think it means you're drinking too much. What kind of changes would you need to see in order to say that you're not drinking too much?
user
Um, I guess maybe not have any drinks at all. Mmm, I don'"
Do you know what size?,T,H8CJxNP0nv8_9,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,"Therapist: Alright. So, are there any substances that you currently use?
Patient: Um, I drink a bit.
Therapist: Can you tell me how often you drink?
Patient: I guess it's more than a bit. I would say I have probably three drinks a day.
Therapist: And what are you drinking?
Patient: Um, beer.","How much beer do you drink?
user
About two, maybe three beers an hour.
model
All right, and how about on the weekends?
user
On the weekend I kind of keep to myself, so I'll have a drink in the afternoon.
model
All right, and how much are you drinking on the weekend?
user
On the weekend I'll have a drink in the afternoon and maybe have a glass of wine with dinner.
model
All right, and how much are you drinking on the weekend?"
Three bottles of beer a day?,T,H8CJxNP0nv8_11,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,"Therapist: Can you tell me how often you drink?
Patient: I guess it's more than a bit. I would say I have probably three drinks a day.
Therapist: And what are you drinking?
Patient: Um, beer.
Therapist: Do you know what size?
Patient: Um, the bottles, I think they're 16 ounces.","16 ounces. Okay. So you're drinking about a can's worth of alcohol probably per drink. Okay. And how often would you say you're drinking now?
user
Um, I guess I would say I drink like a bottle of wine a day.
model
Wow. And what about the Xanax?
user
Um, I take that like two hours before.
model
Okay. And is it just beer and the marijuana, or are you using any other drugs?
user
Um, no, that's about it."
And how much time does it take you to consume those?,T,H8CJxNP0nv8_13,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,"Therapist: And what are you drinking?
Patient: Um, beer.
Therapist: Do you know what size?
Patient: Um, the bottles, I think they're 16 ounces.
Therapist: Three bottles of beer a day?
Patient: Yeah.","And how about the pot?
user
That's a lot of weed.
model
Yes, it's a significant amount. So after you used the weed, what happened?
user
Well, I had the anxiety, I had the heart palpitations, I had the shortness of breath, I had all that going on. Um, you know, I don't know if it's because I was scared or what, but I was just unable to do any of those things that I had planned to do.
model
So was there any sadness or anything like that"
"So, every day, three beers in about two hours?",T,H8CJxNP0nv8_15,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,"Therapist: Do you know what size?
Patient: Um, the bottles, I think they're 16 ounces.
Therapist: Three bottles of beer a day?
Patient: Yeah.
Therapist: And how much time does it take you to consume those?
Patient: Probably a couple of hours.","Have you noticed any symptoms when you stop drinking, like a withdrawal?
user
No, not really.
model
No. Have you ever tried to cut down your drinking and were unable to do so?
user
No.
model
No. Is it just beer and vodka, or would you drink wine or liqueurs?
user
No. We used to drink wine together with an evening meal, but since she started complaining, she sort of nailed that on the head so we don't do that anymore.
model
And would you say you"
Is that do anything to you in terms of your mood or feeling?,T,H8CJxNP0nv8_17,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,"Therapist: Three bottles of beer a day?
Patient: Yeah.
Therapist: And how much time does it take you to consume those?
Patient: Probably a couple of hours.
Therapist: So, every day, three beers in about two hours?
Patient: Yeah.","What happens after you finish the third beer?
user
Oh, I usually go home and have a shower and then maybe watch some TV and just relax.
model
Do you ever have any cravings for alcohol?
user
No, not really.
model
Do you ever have days where you don't drink, or periods where you don't drink, and you're okay?
user
Yeah, I have those days here and there. I don't really have any major problems with it or anything.
model
So at the same"
So it's relaxing for you?,T,H8CJxNP0nv8_19,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,"Therapist: And how much time does it take you to consume those?
Patient: Probably a couple of hours.
Therapist: So, every day, three beers in about two hours?
Patient: Yeah.
Therapist: Is that do anything to you in terms of your mood or feeling?
Patient: It just kind of helps me unwind after a long day of work, relaxes me.","Unwinds you. Okay. So it's something you've been doing for a long time.
user
Yeah, I used to drink like maybe two beers a day and that's it.
model
And that's a lot better than what you're doing now.
user
Yeah, I guess so.
model
Well, I think the key here is finding a balance that works for you so that you can enjoy your social time but also wake up the next day feeling rested.
user
Yeah, I'd like to definitely get my"
