turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"You're getting a lot of anxiety right now about whether or not you want to use the edibles again. You're concerned that you could have a heart attack or stroke if you use them, even though you know that's not likely.",-1.0,-1.0,-2.0,1.0,0.0,1.0
2,"You're having a lot of anxiety about the possibility of using the edibles. You know it's not likely, but the fear of ""what if"" is affecting your daily life. It's understandable to be concerned, but it seems like you're also being paralyzed by the fear. It's important to find a balance between managing anxiety and being able to use the edibles when needed.",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like you're having a lot of anxiety about whether or not you want to use the edibles again. It seems like your body is reacting to the fear of a heart attack or stroke, even though you know that's not likely. It's understandable to be concerned, but it seems like you're also being paralyzed by the fear.",2.0,1.0,-1.0,1.0,1.0,2.0
4,It's very understandable that you would feel a lot of anxiety if you were thinking about the potential for a heart attack or stroke. But it seems like your body is reacting to that fear in a way that's making it feel like a much higher risk than it actually is.,1.0,1.0,1.0,1.0,0.0,2.0
5,"You've been using edibles for a year without any issues, and your doctor cleared your heart. It's understandable to be concerned, but it seems like your anxiety is making it feel like a whole lot more risk than it actually is.",1.0,1.0,1.0,2.0,1.0,2.0
6,It's understandable that you would feel a lot of anxiety if you were thinking about the potential for a heart attack or stroke. But it seems like your body is reacting to that fear in a way that's making it feel like a much higher risk than it actually is.,1.0,1.0,0.0,1.0,0.0,2.0
7,"You've been using edibles for a year without any issues, and your doctor cleared your heart. It's understandable to be concerned, but it seems like your anxiety is making it feel like a whole lot more risk than it actually is.",1.0,1.0,0.0,1.0,0.0,2.0
8,It's understandable that you would feel a lot of anxiety if you were thinking about the potential for a heart attack or stroke. But it seems like your body is reacting to that fear in a way that's making it feel like a much higher risk than it actually is.,1.0,1.0,0.0,1.0,0.0,2.0
9,It's understandable that you would feel a lot of anxiety if you were thinking about the potential for a heart attack or stroke. But it seems like your body is reacting to that fear in a way that's making it feel like a whole lot more risk than it actually is.,1.0,1.0,0.0,1.0,0.0,2.0
10,It's understandable that you would feel a lot of anxiety if you were thinking about the potential for a heart attack or stroke. But it seems like your body is reacting to that fear in a way that's making it feel like a whole lot more risk than it actually is.,1.0,1.0,0.0,1.0,0.0,2.0
11,It's understandable that you would feel a lot of anxiety if you were thinking about the potential for a heart attack or stroke. But it seems like your body is reacting to that fear in a way that's making it feel like a whole lot more risk than it actually is.,1.0,1.0,0.0,1.0,0.0,2.0
12,It's understandable that you would feel a lot of anxiety if you were thinking about the potential for a heart attack or stroke. But it seems like your body is reacting to that fear in a way that's making it feel like a whole lot more risk than it actually is.,1.0,1.0,0.0,1.0,0.0,2.0
13,It's understandable that you would feel a lot of anxiety if you were thinking about the potential for a heart attack or stroke. But it seems like your body is reacting to that fear in a way that's making it feel like a whole lot more risk than it actually is.,1.0,1.0,0.0,1.0,0.0,2.0
14,It's understandable that you would feel a lot of anxiety if you were thinking about the potential for a heart attack or stroke. But it seems like your body is reacting to that fear in a way that's making it feel like a whole lot more risk than it actually is.,1.0,1.0,0.0,1.0,0.0,2.0
15,It's really understandable that you would feel a sense of betrayal if the very thing that used to calm you down is now causing you distress. It's so ironic that the thing that used to be a source of relief is now causing you to spiral into a panic.,1.0,1.0,0.0,1.0,0.0,2.0
16,"Right, so it seems like you've tried to do some small dose testing, but your anxiety spiked immediately. It's understandable that that would be frightening and make you want to avoid the drug completely. But it's clear that it's causing you a lot of distress, and it's understandable that you want to find a way to manage your anxiety if it is, in fact, making you feel like you're at risk of a serious heart attack.",1.0,1.0,0.0,1.0,0.0,2.0
17,"Right, so it seems like you've tried to do some small dose testing, but your anxiety spiked immediately. It's understandable that that would be frightening and make you want to avoid the drug completely. But it's clear that it's causing you a lot of distress, and it's understandable that you want to find a way to manage your anxiety if it is, in fact, making you feel like you're at risk of a serious heart attack.",1.0,1.0,0.0,1.0,0.0,2.0
18,"Right, so it seems like you've tried to do some small dose testing, but your anxiety spiked immediately. It's understandable that that would be frightening and make you want to avoid the drug completely. But it's clear that it's causing you a lot of distress, and it's understandable that you want to find a way to manage your anxiety if it is, in fact, making you feel like you're at risk of a serious heart attack.",1.0,1.0,0.0,1.0,0.0,2.0
19,"Right, so it seems like you've tried to do some small dose testing, but your anxiety spiked immediately. It's understandable that that would be frightening and make you want to avoid the drug completely. But it's clear that it's causing you a lot of distress, and it's understandable that you want to find a way to manage your anxiety if it is, in fact, making you feel like you're at risk of a serious heart attack.",1.0,1.0,0.0,1.0,0.0,2.0
