Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hello, Sophia. How are you doing today?",T,9cYeZdKeXsc_2,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,,I'm here to support you. It sounds like you're feeling a bit overwhelmed with the situation at work. You mentioned that you're worried about the impact it's having on your relationships with your colleagues and your overall well-being. Can you tell me more about what's been going on and how you've been feeling?
"I'm doing well, thanks for asking. I saw you last time a week ago, and I know you had some concerns with employment. But first, before we get into that, I wanted to check in to see how you're doing emotionally. I know from last week, on a scale of one to ten, you said your depression was about seven. How is it today?",T,9cYeZdKeXsc_4,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,"Therapist: Hello, Sophia. How are you doing today?
Patient: I'm good, how are you?",It sounds like you're feeling a sense of relief and accomplishment after completing a challenging task. You're taking care of yourself and prioritizing your well-being. That's a great start. How do you think this experience has helped you feel in terms of your sense of control and confidence?
"Alright, so you're having some concerns about full-time work and that level of energy you'd have to exert and that commitment.",T,9cYeZdKeXsc_6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: Hello, Sophia. How are you doing today?
Patient: I'm good, how are you?
Therapist: I'm doing well, thanks for asking. I saw you last time a week ago, and I know you had some concerns with employment. But first, before we get into that, I wanted to check in to see how you're doing emotionally. I know from last week, on a scale of one to ten, you said your depression was about seven. How is it today?
Patient: It's been up and down. I think today it's probably a seven again, but I've been back down to a nine lately. I guess maybe I feel a little better because I'm coming here and I know I'll get to talk about it. But last time we were talking about me trying to get a full-time job, and I think I just realized last week that it's really hard for me to work full-time. Right now I'm doing the part-time thing with the work program and they want us to do volunteer work in the afternoon if we haven't found a full-time job by a certain week. Just thinking about it, I don't think I can do that. I just don't think I can work a full eight hours every day. It's just too much.","It sounds like you're feeling a bit overwhelmed and uncertain about your ability to balance work and personal responsibilities. It's completely understandable that you're feeling frustrated and worried about not being able to commit to a full-time job. It's like you're feeling like you're being pulled in two different directions, and it's hard to know which way to go.

You're also feeling a sense of relief that you're coming to talk about it, which is great. It's a big step to acknowledge those feelings and be honest with yourself. It's okay to feel like you're not doing well, and it's okay to not have all the"
"Alright, so would it be okay today if we kind of structured what we're going to do for the session? If it's okay with you, I'd like to talk about that and get some more details about what's going on this week and your feelings surrounding that. I'd like to talk about your core beliefs that might be contributing to some of these feelings of depression. And then for the last part, we'll work on some interventions to try to help you with what's going on at work and with your depressed mood. We can make changes to this as needed, but I just want to start with an outline.",T,9cYeZdKeXsc_7,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,"Therapist: Hello, Sophia. How are you doing today?
Patient: I'm good, how are you?
Therapist: I'm doing well, thanks for asking. I saw you last time a week ago, and I know you had some concerns with employment. But first, before we get into that, I wanted to check in to see how you're doing emotionally. I know from last week, on a scale of one to ten, you said your depression was about seven. How is it today?
Patient: It's been up and down. I think today it's probably a seven again, but I've been back down to a nine lately. I guess maybe I feel a little better because I'm coming here and I know I'll get to talk about it. But last time we were talking about me trying to get a full-time job, and I think I just realized last week that it's really hard for me to work full-time. Right now I'm doing the part-time thing with the work program and they want us to do volunteer work in the afternoon if we haven't found a full-time job by a certain week. Just thinking about it, I don't think I can do that. I just don't think I can work a full eight hours every day. It's just too much.
Therapist: Alright, so you're having some concerns about full-time work and that level of energy you'd have to exert and that commitment.","It sounds like you're feeling overwhelmed by the idea of taking on that level of responsibility. You're worried that you might not be able to handle it, and that's causing some anxiety. Can you tell me more about what's going through your mind when you think about taking on that level of work? What are some of the thoughts that come up for you?"
Does that make sense?,T,9cYeZdKeXsc_8,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,"Therapist: Hello, Sophia. How are you doing today?
Patient: I'm good, how are you?
Therapist: I'm doing well, thanks for asking. I saw you last time a week ago, and I know you had some concerns with employment. But first, before we get into that, I wanted to check in to see how you're doing emotionally. I know from last week, on a scale of one to ten, you said your depression was about seven. How is it today?
Patient: It's been up and down. I think today it's probably a seven again, but I've been back down to a nine lately. I guess maybe I feel a little better because I'm coming here and I know I'll get to talk about it. But last time we were talking about me trying to get a full-time job, and I think I just realized last week that it's really hard for me to work full-time. Right now I'm doing the part-time thing with the work program and they want us to do volunteer work in the afternoon if we haven't found a full-time job by a certain week. Just thinking about it, I don't think I can do that. I just don't think I can work a full eight hours every day. It's just too much.
Therapist: Alright, so you're having some concerns about full-time work and that level of energy you'd have to exert and that commitment.
Therapist: Alright, so would it be okay today if we kind of structured what we're going to do for the session? If it's okay with you, I'd like to talk about that and get some more details about what's going on this week and your feelings surrounding that. I'd like to talk about your core beliefs that might be contributing to some of these feelings of depression. And then for the last part, we'll work on some interventions to try to help you with what's going on at work and with your depressed mood. We can make changes to this as needed, but I just want to start with an outline.","It sounds like you're feeling a bit overwhelmed by the idea of taking on more responsibilities, and that's understandable. It's like you're feeling like you're shouldering a heavy load, and that's causing some stress and anxiety. Can you tell me more about what it's like to feel like you're shouldering that load? What are some of the specific things that are causing you to feel that way?"
"Okay, great. So tell me a little bit more about what's going on with the work.",T,9cYeZdKeXsc_10,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,"Therapist: I'm doing well, thanks for asking. I saw you last time a week ago, and I know you had some concerns with employment. But first, before we get into that, I wanted to check in to see how you're doing emotionally. I know from last week, on a scale of one to ten, you said your depression was about seven. How is it today?
Patient: It's been up and down. I think today it's probably a seven again, but I've been back down to a nine lately. I guess maybe I feel a little better because I'm coming here and I know I'll get to talk about it. But last time we were talking about me trying to get a full-time job, and I think I just realized last week that it's really hard for me to work full-time. Right now I'm doing the part-time thing with the work program and they want us to do volunteer work in the afternoon if we haven't found a full-time job by a certain week. Just thinking about it, I don't think I can do that. I just don't think I can work a full eight hours every day. It's just too much.
Therapist: Alright, so you're having some concerns about full-time work and that level of energy you'd have to exert and that commitment.
Therapist: Alright, so would it be okay today if we kind of structured what we're going to do for the session? If it's okay with you, I'd like to talk about that and get some more details about what's going on this week and your feelings surrounding that. I'd like to talk about your core beliefs that might be contributing to some of these feelings of depression. And then for the last part, we'll work on some interventions to try to help you with what's going on at work and with your depressed mood. We can make changes to this as needed, but I just want to start with an outline.
Therapist: Does that make sense?
Patient: No, I mean, that makes sense.","It sounds like you're feeling a bit uncertain and unsure about how to approach the conversation about your job search. It's completely understandable, and I'm here to support you in exploring your thoughts and feelings.

You mentioned that you're feeling overwhelmed by the idea of working full-time, and that's a really valid concern. It's like you're feeling like you're carrying a heavy load, and it's affecting your mood. Can you tell me more about what's going through your mind when you think about working full-time? What are some of the specific challenges that are making you feel that way?"
"So the latter part of the day is more of a struggle for you, the latter part of the work day.",T,9cYeZdKeXsc_12,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,"Therapist: Alright, so you're having some concerns about full-time work and that level of energy you'd have to exert and that commitment.
Therapist: Alright, so would it be okay today if we kind of structured what we're going to do for the session? If it's okay with you, I'd like to talk about that and get some more details about what's going on this week and your feelings surrounding that. I'd like to talk about your core beliefs that might be contributing to some of these feelings of depression. And then for the last part, we'll work on some interventions to try to help you with what's going on at work and with your depressed mood. We can make changes to this as needed, but I just want to start with an outline.
Therapist: Does that make sense?
Patient: No, I mean, that makes sense.
Therapist: Okay, great. So tell me a little bit more about what's going on with the work.
Patient: Well, I mean, I don't really know why it is. I know I'm always tired because I just have so much trouble sleeping, as I've told you before. It doesn't matter how tired I am, I can't sleep. But I go in the morning, eight to noon, but then in the afternoon it's just so hard to keep going on. It's just such a long amount of time and I just feel like I don't know if I can really do it. And especially in the winter, if you work eight hours, by the time you get out of work, it's dark out and it just makes my depression so much worse.","It sounds like you're feeling overwhelmed and struggling to find a sense of control in your daily routine. It's like you're carrying a heavy weight, and it's affecting your ability to function. You're feeling like you're just barely holding on, and that's a really tough place to be. It's understandable that you're feeling like you don't know how to make it through the day. Can you tell me more about what it's like to be in that state? How do you usually feel when you're feeling this way?"
"So getting up in the morning, getting to work on time, you do okay with that?",T,9cYeZdKeXsc_14,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,"Therapist: Does that make sense?
Patient: No, I mean, that makes sense.
Therapist: Okay, great. So tell me a little bit more about what's going on with the work.
Patient: Well, I mean, I don't really know why it is. I know I'm always tired because I just have so much trouble sleeping, as I've told you before. It doesn't matter how tired I am, I can't sleep. But I go in the morning, eight to noon, but then in the afternoon it's just so hard to keep going on. It's just such a long amount of time and I just feel like I don't know if I can really do it. And especially in the winter, if you work eight hours, by the time you get out of work, it's dark out and it just makes my depression so much worse.
Therapist: So the latter part of the day is more of a struggle for you, the latter part of the work day.
Patient: Yeah.","It sounds like the evening hours can be particularly challenging for you. It's like the day is just dragging on, and you're not really feeling like you can make it through. Can you tell me more about what you mean by ""it's just so hard to keep going""? What do you think is the most exhausting part of the day for you?"
"So the work program you're in now, you work in the morning?",T,9cYeZdKeXsc_16,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,"Therapist: Okay, great. So tell me a little bit more about what's going on with the work.
Patient: Well, I mean, I don't really know why it is. I know I'm always tired because I just have so much trouble sleeping, as I've told you before. It doesn't matter how tired I am, I can't sleep. But I go in the morning, eight to noon, but then in the afternoon it's just so hard to keep going on. It's just such a long amount of time and I just feel like I don't know if I can really do it. And especially in the winter, if you work eight hours, by the time you get out of work, it's dark out and it just makes my depression so much worse.
Therapist: So the latter part of the day is more of a struggle for you, the latter part of the work day.
Patient: Yeah.
Therapist: So getting up in the morning, getting to work on time, you do okay with that?
Patient: It's hard, but I feel like I'm better at that. I'm already up anyway, so I know I've got to get up and do what I have to do.","It sounds like you're trying to make the best of a tough situation. You're acknowledging that you're already up and getting ready to go to work, which is a good start. It's almost like you're saying, ""Okay, I've got this, I can get through this."""
What hours are you there?,T,9cYeZdKeXsc_18,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,"Therapist: So the latter part of the day is more of a struggle for you, the latter part of the work day.
Patient: Yeah.
Therapist: So getting up in the morning, getting to work on time, you do okay with that?
Patient: It's hard, but I feel like I'm better at that. I'm already up anyway, so I know I've got to get up and do what I have to do.
Therapist: So the work program you're in now, you work in the morning?
Patient: Yeah.","It sounds like you're finding a sense of routine and structure in your day, which can be helpful. How do you like to start your day, do you have a favorite way of getting yourself going?"
