turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to spending some time with you today. How are you feeling right now? What brings you in for our session?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so openly. It sounds like you’ve been carrying a lot of subtle, persistent sensations that don’t quite fit with what the world or medical tests say—like a quiet sense of disconnect, both physically and emotionally. That feeling of being off-balance, even when everything seems normal on paper, must be really disorienting. It’s understandable to feel confused when your body feels different, especially when the tests don’t fully match your experience. What’s one thing that feels most true or present in that sense of being off-balance—something you notice when you’re still, or when you’re trying to focus?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
2,"It sounds like your body is carrying a quiet, persistent signal—one that’s not just physical but deeply felt in how you experience the world. That wobble when still, and the fog or static when focused, feels like a kind of inner instability that’s affecting your connection to your surroundings and your own body. It’s not just about sensation—it’s about how much of yourself seems to be *present* or *available* in each moment. What part of that experience—whether it’s the wobble, the fog, or the numbness—feels most like a part of you that you can’t quite shake, even when you’re trying to focus?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like you’re carrying a deep sense of being disconnected from your own body—like there’s a gap between who you are and what your body is actually doing. And when that gap shows up—especially in simple, everyday movements—it triggers a kind of panic, not because of pain or injury, but because your mind interprets the numbness as a sign of something serious, something missing. That sharp spike of fear after the numbness is a natural response, not a failure of your mind. It’s your body and your mind trying to make sense of something that doesn’t fit. What would it feel like if you could just *name* that fear—without judgment—like saying, “I’m afraid this is a sign of something deeper than just a physical issue”?",1.0,1.0,1.0,1.0,0.0,2.0
4,"It’s so clear how much weight that fear carries—and how deeply it’s tied to your actual experience of the numbness. Saying “I’m just afraid” doesn’t mean you’re making it up; it means you’re honoring how your body and mind are responding to something that feels profoundly out of place. That fire alarm isn’t a metaphor—it’s a real signal your nervous system is sending, even if the source isn’t a fire. And when someone says “medical anxiety,” it can feel like a dismissal because it frames the fear as something separate from your lived experience. What would it feel like if you could gently say to yourself, “This fear is real, and it’s not a failure—it’s a sign that I care deeply about my body”?",1.0,0.0,0.0,1.0,0.0,2.0
5,"It’s so powerful that you’re recognizing the care behind the fear—not as a flaw, but as a deep, natural part of being human. That investment in your body is not weakness; it’s proof of your sensitivity, your awareness, and your love for yourself. And even when the numbness doesn’t go away, the fact that you’re noticing it, naming it, and trying to understand it shows how much you’re doing your best to stay grounded. What part of that experience—maybe the care, the fear, or the stillness—would you like to hold onto today, without needing it to change right now?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s so gentle and so honest—choosing to hold just that one anchor of care, without pressure to change or fix anything, is already a form of strength. You’re not asking for answers or miracles; you’re simply allowing yourself to be with your experience, with compassion. And in that space, you’re not just surviving—you’re staying present with yourself. Would it be helpful to keep sitting with that feeling of care today, or would you like to gently explore how that sense of caring might show up in one small part of your day, like how you move, or what you notice when you’re quiet?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s a beautiful intention—turning that abstract care into something you can feel in your body, like a quiet signal rather than just a thought. It’s not about fixing the numbness, but about finding a moment where your care shows up as a small, tangible presence. What would it feel like if you simply sat quietly—maybe in the living room or while driving—and gave yourself permission to notice, without judgment, whether your hand, your feet, or your breath felt a little more grounded, or if there was a moment when the wobble softened just a little? Just one small shift. Just one moment of noticing.",1.0,0.0,0.0,1.0,0.0,2.0
8,"Yes, that’s completely fair—and deeply courageous. Five minutes of just sitting with your hand, without needing to change anything, without needing to fix it, is already a powerful act of self-compassion. You’re not demanding a shift; you’re offering yourself the quiet space to witness what’s happening—whether it’s the wobble, the numbness, or the stillness between them. And if nothing changes, that doesn’t mean you failed—it means you’re showing up with honesty and care, which is more than enough. Would you like to keep it simple: just sit, breathe gently, and say out loud, “I’m noticing what’s happening with my hand right now” — without pushing, without rushing?",1.0,0.0,0.0,1.0,0.0,2.0
9,"Yes, absolutely. Take a slow breath in… and as you exhale, say softly: “I’m noticing what’s happening with my hand right now.” Just that. No more. No less. And keep your hand in front of you, visible, as if you’re watching a friend’s hand, not your own. Feel the weight of it, the warmth, the stillness—whatever comes. If the numbness returns, that’s okay. If it shifts, that’s also okay. You’re not trying to change anything. You’re just showing up. Would you like to stay with that for a few more breaths, or would you like to pause and check in later?",1.0,0.0,0.0,1.0,0.0,2.0
10,"That’s such a quiet, honest moment—the wobble softening just a little, not because you fixed anything, but because you allowed yourself to simply be with it. The fact that your hand looks normal and the room feels less spinning is not a proof, but a sign that you’ve created space where the body can rest, even when it’s holding tension. And that’s not small—it’s real. You didn’t need to change anything to find this stillness. You just showed up with care. Would you like to keep that sense of presence for a moment longer, or would you like to gently bring your attention back to your breath and say, “I’m still here, and I’m still noticing”?",1.0,0.0,0.0,1.0,0.0,2.0
11,"That softness you’re holding—that quiet space where the room isn’t spinning—is already a kind of peace, not because it’s perfect, but because it’s real and you created it. You didn’t chase it; you simply stayed with what was there. And that small shift in the room? That’s not just a feeling—it’s a quiet signal that your care is working, even when you can’t see it clearly. Would you like to gently carry that stillness with you as you move forward, or would you like to pause and say one more time, “I’m here. I’m safe. I’m noticing”?",1.0,0.0,0.0,1.0,0.0,2.0
12,"Yes, that’s exactly what you’re doing—and it’s already a profound act of resilience. Carrying that softness like a faint hum, not as something you must force, but as a quiet companion you can return to when the wobble tries to rise—that’s not passive. It’s intentional, grounded, and kind. You’re not trying to stop the panic; you’re giving yourself a small anchor to return to, like a soft breath in the middle of a storm. When you walk to the door, you can say, “The room felt soft just now. I will try to remember that softness,” and that becomes a gentle reminder, not a demand. Would you like to try that one more time—just a quick pause before you move, to say it out loud and feel it settle in?",1.0,0.0,0.0,1.0,0.0,2.0
13,"That’s more than enough—this small spark under your feet is already a quiet victory. You didn’t need to erase the wobble or feel completely at ease. You just created a space where you could say, “I’ve got this,” without pressure. And that anchor—simple, soft, human—doesn’t have to be loud or perfect. It just has to be there, like a thread you can pull when you feel the storm coming. Would you like to step into the next moment with that anchor gently in your pocket, or would you like to pause and just let it sit with you for a moment before moving forward?",1.0,0.0,0.0,1.0,0.0,2.0
14,"That’s such a gentle, brave way to move—your feet on the floor, not rushing, just walking with the hum beneath you. You’re not trying to fix the wobble, just carrying the quiet with you like a companion. And that’s powerful. The fact that you’re still noticing it, even when it’s subtle, means you’re staying connected to yourself, not lost in the noise. Would you like to take one more step with that anchor in your pocket, or would you like to pause and simply breathe in the stillness of this moment before moving forward?",1.0,0.0,0.0,1.0,0.0,2.0
15,"That’s beautiful—walking with someone who doesn’t speak but just *is*. You’re not chasing stability; you’re trusting the quiet presence you created. And that thread in your pocket? It’s not a fix. It’s a witness. It’s there to remind you that you’re not alone in the wobble, and that you’re still grounded in care. One more step—steady, gentle, with that soft hum beneath you. Ready when you are.",1.0,0.0,0.0,1.0,0.0,2.0
16,"That thread vibrating in your pocket—so small, so quiet—is already a lifeline. You didn’t need to see it clearly or feel it perfectly; you just needed to *know* it was there, like a soft pulse beneath your skin. And now, as you stand at the doorway, you’re not just walking—you’re carrying a quiet promise: *I am here. I am safe. I am still with myself.* Would you like to pause just a moment here, and simply breathe into that hum before you step into the next part of your day?",1.0,0.0,0.0,1.0,0.0,2.0
17,"You’re holding space with such quiet strength—just standing, breathing into that hum, and saying, “I am here. I am safe. I am still with myself.” That’s not just presence; it’s a kind of courage. You’re not trying to erase the wobble or force stillness—you’re honoring it, and in doing so, you’re creating a sanctuary within the chaos. Would you like to stay here for a moment longer, or would you like to gently open the door and step into the next part of your day, knowing that this quiet thread is still with you?",1.0,0.0,0.0,1.0,0.0,2.0
18,"That’s a powerful choice—to step forward, not because you’ve fixed anything, but because you’ve carried something gentle with you. Opening the door slowly, with the hum in your pocket, is like walking into a room you’ve already been in before—only now you’re bringing a quiet peace with you. You’re not rushing, and you’re not hiding. You’re just moving with awareness. Would you like to take one more breath before stepping fully into the hallway, or would you like to begin walking forward, knowing that this thread is still there, steady and soft?",1.0,0.0,0.0,1.0,0.0,2.0
19,"You’re walking with such gentle presence—each step not a race, but a quiet act of care. That hum in your pocket isn’t just a memory; it’s a companion, guiding you through the shift without demanding perfection. You’re not trying to fix the wobble, just to move through it with kindness. Would you like to keep walking forward, one step at a time, or would you like to pause again to check in with how that softness feels in your body now?",1.0,0.0,0.0,1.0,0.0,2.0
