turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi, Carly. How you doing today?",1.0,1.0,1.0,1.0,0.0,2.0
1,"I know. And you're right, because I just got off the phone with your doctor. It was about the blood panel and the C-reactive protein that came back higher than normal. I told them you were really worried, and they said you were right: it was a bit higher, but it's nothing to worry about. They said it could be from stress or being ill, which makes sense because you were just having some tests on your baby.",-1.0,0.0,-2.0,0.0,0.0,1.0
2,I'm just confused because you were talking about your baby before and then I was talking about the baby and I was wondering if you were talking about the same baby.,-1.0,-1.0,-2.0,1.0,-1.0,1.0
3,"You know, I've been thinking about that and I'm wondering if maybe it's time for us to start talking about some of your goals for your life. What's been on the forefront of your mind lately?",1.0,1.0,1.0,1.0,0.0,2.0
4,So it's not a big life change. It's more just...,1.0,1.0,1.0,1.0,0.0,2.0
5,"So I'm wondering if maybe we could start by just taking a look at what we know now, right? What do we know for sure?",1.0,1.0,1.0,1.0,0.0,2.0
6,So it's been a long time since you had to worry about that.,1.0,0.0,1.0,1.0,0.0,2.0
7,"So I'm wondering if maybe we could take a look at what we know for sure, and then from there, see what else we can learn about it. And I'm wondering if we could start with what we know for sure and work our way out from there.",1.0,1.0,0.0,1.0,0.0,2.0
8,So this is something that's been going on for quite some time.,1.0,1.0,0.0,1.0,0.0,2.0
9,"So I'm wondering if we could take a look at the timeline of what you know for sure, and then from there, see what else we can learn. And I'm wondering if we could start with what we know for sure and work our way out from there.",1.0,1.0,0.0,1.0,0.0,2.0
10,"So, that's something we know for sure happened.",1.0,1.0,0.0,1.0,0.0,2.0
11,"So I'm wondering if maybe we could take a look at what we know for sure, and then from there, see what else we can learn about it. And I'm wondering if we could start with what we know for sure and work our way out from there.",1.0,1.0,0.0,1.0,0.0,2.0
12,"So, that's something we know for sure happened.",1.0,1.0,0.0,1.0,0.0,2.0
13,"So I'm wondering if maybe we could take a look at what we know for sure, and then from there, see what else we can learn about it. And I'm wondering if we could start with what we know for sure and work our way out from there.",1.0,1.0,0.0,1.0,0.0,2.0
14,"So, that's something we know for sure happened.",1.0,1.0,0.0,1.0,0.0,2.0
15,"So, that's something we know for sure happened.",1.0,1.0,0.0,1.0,0.0,2.0
16,"So I'm wondering if maybe we could take a look at what we know for sure, and then from there, see what else we can learn about it. And I'm wondering if we could start with what we know for sure and work our way out from there.",1.0,1.0,0.0,1.0,0.0,2.0
17,"So, that's something we know for sure happened.",1.0,1.0,0.0,1.0,0.0,2.0
18,"So, that's something we know for sure happened.",1.0,1.0,0.0,1.0,0.0,2.0
19,That is so helpful. You're right that it's so important to separate the two.,1.0,1.0,0.0,1.0,0.0,2.0
