Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Vanessa, hi. It's nice to see you again.",T,lrnkEQRUyJM_1,-1.0,-1.0,-2.0,-1.0,-1.0,1.0,-1,0,-2,0,0,1,,"Hi, Ms. Jones. I'm Dr. Sawyer. I'm a psychiatrist."
Yeah. How are you?,T,lrnkEQRUyJM_3,0.0,0.0,-2.0,0.0,0.0,2.0,1,0,0,1,0,2,"Therapist: Vanessa, hi. It's nice to see you again.
Patient: It's good to see you.","It's good to see you. I was hoping that today we could spend some time reviewing the treatment plan that we had put together when you came in after your first visit. I know that there have been a few things that have happened since then, a few things that have come up, and I'd like to go over those with you and make sure that everything is going well."
"Yeah. The last time we saw things were pretty chaotic and hectic when you were being released from the hospital, discharged from the hospital about a week ago. How's your injury? How's your arm?",T,lrnkEQRUyJM_5,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: Vanessa, hi. It's nice to see you again.
Patient: It's good to see you.
Therapist: Yeah. How are you?
Patient: I'm doing okay. I've been, you know, things have been settling down a bit, I think.","Yeah, I know you've been a little stressed out with the whole thing."
So you've been trying to stay busy.,T,lrnkEQRUyJM_7,-1.0,-1.0,-2.0,1.0,0.0,1.0,1,1,1,1,1,2,"Therapist: Vanessa, hi. It's nice to see you again.
Patient: It's good to see you.
Therapist: Yeah. How are you?
Patient: I'm doing okay. I've been, you know, things have been settling down a bit, I think.
Therapist: Yeah. The last time we saw things were pretty chaotic and hectic when you were being released from the hospital, discharged from the hospital about a week ago. How's your injury? How's your arm?
Patient: It's... I've had a lot of pain in it. I've been trying not to take too much pain medication and just kind of trying to keep busy and focus on things that are happening. I've been busy with my church duties and with my kids.","Okay. Well, I'm glad to hear that. It sounds like your family is a very important part of your life."
How are your kids doing?,T,lrnkEQRUyJM_9,-1.0,0.0,-2.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Yeah. How are you?
Patient: I'm doing okay. I've been, you know, things have been settling down a bit, I think.
Therapist: Yeah. The last time we saw things were pretty chaotic and hectic when you were being released from the hospital, discharged from the hospital about a week ago. How's your injury? How's your arm?
Patient: It's... I've had a lot of pain in it. I've been trying not to take too much pain medication and just kind of trying to keep busy and focus on things that are happening. I've been busy with my church duties and with my kids.
Therapist: So you've been trying to stay busy.
Patient: Yeah, yeah. It's been hard to think about myself when I have so many other things that are more... way more important than me to deal with.",And you've been dealing with a lot of things now with the loss of your job.
"Yeah. I imagine that there's some period of readjustment and healing and sadness, or as in... it sounds like also just trying to get things done.",T,lrnkEQRUyJM_11,1.0,1.0,1.0,1.0,0.0,2.0,1,0,-2,1,0,2,"Therapist: Yeah. The last time we saw things were pretty chaotic and hectic when you were being released from the hospital, discharged from the hospital about a week ago. How's your injury? How's your arm?
Patient: It's... I've had a lot of pain in it. I've been trying not to take too much pain medication and just kind of trying to keep busy and focus on things that are happening. I've been busy with my church duties and with my kids.
Therapist: So you've been trying to stay busy.
Patient: Yeah, yeah. It's been hard to think about myself when I have so many other things that are more... way more important than me to deal with.
Therapist: How are your kids doing?
Patient: They're doing okay. You know, the little ones were pretty, kind of, stressed out when I first got home and they were a little unsure of themselves and what was going to happen. But the older kids have helped out quite a bit, so I think they're pulling together.","Good, good. How are your kids doing?"
"So you're taking care of a lot of people while trying to take care of yourself. I really appreciate you showing up today. Last time, you talked about how important it is for you to do what you can to keep your kids and yourself safe. I was wondering if you'd be interested in talking more about that today.",T,lrnkEQRUyJM_13,1.0,0.0,0.0,1.0,0.0,2.0,-1,-1,-2,0,0,1,"Therapist: So you've been trying to stay busy.
Patient: Yeah, yeah. It's been hard to think about myself when I have so many other things that are more... way more important than me to deal with.
Therapist: How are your kids doing?
Patient: They're doing okay. You know, the little ones were pretty, kind of, stressed out when I first got home and they were a little unsure of themselves and what was going to happen. But the older kids have helped out quite a bit, so I think they're pulling together.
Therapist: Yeah. I imagine that there's some period of readjustment and healing and sadness, or as in... it sounds like also just trying to get things done.
Patient: Yeah. I mean, my motto is just to keep moving, moving as fast as I can, trying to keep the house clean, be good with my duties at my church, and trying to keep the kids focused on their activities and not on what's happening between me and Paul.","So keeping a long-term focus, keeping moving forward, keeping things moving."
So you were scared. It sounds like you were scared.,T,lrnkEQRUyJM_15,-1.0,-1.0,-2.0,-1.0,-1.0,1.0,1,1,1,1,1,2,"Therapist: How are your kids doing?
Patient: They're doing okay. You know, the little ones were pretty, kind of, stressed out when I first got home and they were a little unsure of themselves and what was going to happen. But the older kids have helped out quite a bit, so I think they're pulling together.
Therapist: Yeah. I imagine that there's some period of readjustment and healing and sadness, or as in... it sounds like also just trying to get things done.
Patient: Yeah. I mean, my motto is just to keep moving, moving as fast as I can, trying to keep the house clean, be good with my duties at my church, and trying to keep the kids focused on their activities and not on what's happening between me and Paul.
Therapist: So you're taking care of a lot of people while trying to take care of yourself. I really appreciate you showing up today. Last time, you talked about how important it is for you to do what you can to keep your kids and yourself safe. I was wondering if you'd be interested in talking more about that today.
Patient: No, I made time today to talk about this. I think it's really important to try to figure something out. Things got very out of hand there, and so I'm looking forward to thinking about what things I can do.","I really appreciate you coming in today and talking with me. I know this has been a very difficult time for you, and I'm grateful for your willingness to come in and talk."
"So a lot of things were turned upside down. When you say it was scary, I hear you saying it was scary for your safety, but also because all these other disruptive elements were put in motion.",T,lrnkEQRUyJM_17,1.0,1.0,1.0,1.0,1.0,2.0,-1,-1,-2,-1,-1,1,"Therapist: Yeah. I imagine that there's some period of readjustment and healing and sadness, or as in... it sounds like also just trying to get things done.
Patient: Yeah. I mean, my motto is just to keep moving, moving as fast as I can, trying to keep the house clean, be good with my duties at my church, and trying to keep the kids focused on their activities and not on what's happening between me and Paul.
Therapist: So you're taking care of a lot of people while trying to take care of yourself. I really appreciate you showing up today. Last time, you talked about how important it is for you to do what you can to keep your kids and yourself safe. I was wondering if you'd be interested in talking more about that today.
Patient: No, I made time today to talk about this. I think it's really important to try to figure something out. Things got very out of hand there, and so I'm looking forward to thinking about what things I can do.
Therapist: So you were scared. It sounds like you were scared.
Patient: It was terrifying. I mean, we ended up having to call the police and Paul was arrested and spent some time in jail. I had child welfare folks crawling all over my house, my mom was upset, and neighbors were gossiping. It was just very scary.",So it really put a big strain on your relationship with your mom and it's been difficult since.
So a lot of people have some ideas about what you should be doing.,T,lrnkEQRUyJM_19,1.0,1.0,1.0,1.0,0.0,2.0,-1,-1,-2,-1,-1,1,"Therapist: So you're taking care of a lot of people while trying to take care of yourself. I really appreciate you showing up today. Last time, you talked about how important it is for you to do what you can to keep your kids and yourself safe. I was wondering if you'd be interested in talking more about that today.
Patient: No, I made time today to talk about this. I think it's really important to try to figure something out. Things got very out of hand there, and so I'm looking forward to thinking about what things I can do.
Therapist: So you were scared. It sounds like you were scared.
Patient: It was terrifying. I mean, we ended up having to call the police and Paul was arrested and spent some time in jail. I had child welfare folks crawling all over my house, my mom was upset, and neighbors were gossiping. It was just very scary.
Therapist: So a lot of things were turned upside down. When you say it was scary, I hear you saying it was scary for your safety, but also because all these other disruptive elements were put in motion.
Patient: Right. We had people checking in, asking if I'd get a restraining order. My mom was trying to get me to move in with her. It was just too many cooks in the kitchen. Way too many.",I see. And how long did this go on?
