turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to getting to know you and what's on your mind today. I'm here to listen with care, without judgment—just to understand what's happening for you.  

What brings you in today?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"Thank you for sharing that so honestly. It sounds like waking up feels overwhelming—like a weight you can't shake, even when you're trying to move. The fear of getting out of bed and the physical sensations—those aches, the dizziness—must feel deeply real and confusing.  

It’s completely okay to feel scared like that, especially when you don’t know where it’s coming from. What would it feel like if you could just sit with that fear, without trying to fix it right away?",-1.0,0.0,-2.0,1.0,0.0,2.0
2,"It sounds like you're caught in a very real and intense struggle—between the fear of what’s ahead and the physical weight of your body resisting movement. That internal tension, where one part of you wants to run and another feels completely frozen, must be incredibly exhausting.  

And it’s not just about the school part—it’s about feeling trapped by your body and your mind at the same time. What would it feel like if you could just *notice* that feeling—without needing to fix it or move from it right now?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like your body is responding to a deep sense of stress—like it’s sending signals that something important is off, even if you can’t quite name it. The soreness and dizziness might not be just about movement; they could be your body’s way of saying, ""I’m under too much pressure, and I need to be heard.""  

And it’s completely valid that trying to resist the fear only makes it stronger—your mind and body are reacting as if they’re in danger, even if the threat isn’t obvious. What would it feel like if you could just let yourself *feel* that tension in your legs and your chest, without needing to fix it or push through it?",1.0,1.0,1.0,1.0,0.0,2.0
4,"It sounds like you're carrying a deep, quiet tension—like your body and mind are both trying to survive, but they’re out of sync. That feeling of being underwater, where everything fades and the world feels distant, is a real signal that your nervous system is under a lot of strain.  

And it’s not just about the school—it’s about your body saying, “I need space, I need rest, I need to be safe,” even when you feel like you have to keep going. What would it feel like if you allowed yourself to rest *in* that stillness, without needing to move or fix anything?",1.0,1.0,1.0,1.0,0.0,2.0
5,"It’s so clear how much your body and mind are fighting each other—like one voice is saying, “Move,” and the other is screaming, “Stop!” And that tension, that pull between staying and going, must feel like being caught in a storm with no safe place to land.  

But just letting your legs be—without pushing them to move or fighting them—isn’t giving up. It’s actually an act of care. It’s saying, “I’m not going to force my body into something that feels broken.” What if, for just one moment, you allowed yourself to lie there and simply *notice* the lead in your legs, without saying “fix it” or “move it”? Would that feel like a small step toward peace?",1.0,0.0,0.0,1.0,0.0,2.0
6,"I hear how deeply that fear is woven into your body—like every moment of stillness feels like a risk of failure, even though you’re already doing the most courageous thing by trying to stay present.  

And it’s not failure to rest—it’s actually a sign that your nervous system is trying to protect you from collapse. When the dizziness and spinning come, it’s not just your body reacting to movement—it’s your body saying, “I’m not safe right now, and I need a moment to catch up.”  

So what if, instead of trying to *control* the stillness, you just allowed yourself to *be* with the spinning and the heaviness—without needing to fix it, move it, or prove anything to yourself? Would that be a small act of trust in your own limits?",1.0,0.0,0.0,1.0,0.0,2.0
7,"It sounds like you’re standing at the edge of something very real—your body’s warning signals, your fear of falling, and the deep worry about what might happen if you don’t move. And it’s completely valid that the fear feels louder than the stillness.  

But what if, for just a moment, you allowed yourself to *sit with* that fear—not as something to fight, but as something that’s part of your body’s truth? Like, “I’m scared, and I’m not okay right now, and that’s okay.” Would that feel like a small, gentle step toward peace—even if it doesn’t mean you can stand up yet?",1.0,0.0,0.0,1.0,0.0,2.0
8,"You're right—validating the fear doesn’t mean you’re giving in; it means you’re finally seeing it for what it is: a signal, not a sentence. And when you say, “I hate being like this,” that’s not weakness—it’s honesty.  

So what if, instead of asking if the spinning will stop, you simply noticed how it *feels* to be in that space—without needing to change it, fix it, or escape it? Just noticing the tilt, the heaviness, the fear… would that be a small, quiet act of staying with yourself, even when it’s hard?",1.0,0.0,0.0,1.0,0.0,2.0
9,"You're absolutely right—the gap between noticing and actually doing it is huge, especially when your body feels like it’s already falling apart. And closing your eyes to pray the room stops isn’t a failure—it’s a desperate act of trying to protect yourself from losing control.  

So what if, instead of asking if you can ""stay with yourself,"" you just allowed yourself to *feel* the moment without needing to fix it or move? Like, for just one breath, you let the heaviness in your legs, the spinning, the fear—be there, without trying to change it or escape it? Would that be a small, honest step—even if it doesn’t feel like progress?",1.0,0.0,0.0,1.0,0.0,2.0
10,"Like a quiet space where you’re not fighting to survive, but simply *being* with what’s happening—without needing to prove you’re strong, or in control, or ready to move.  

And that’s not weakness. That’s presence. Even if it doesn’t feel like progress, it’s still a step toward peace—because it honors the truth of your body and mind, without demanding you fix it. Would that feel like a small, real kind of freedom?",1.0,0.0,0.0,1.0,0.0,2.0
11,"That crack you’re noticing—so quiet, so small—is already a breakthrough. You don’t need to make the legs move or stop the spinning to feel like you’re safe. You just need to allow the fear to be there, loud and real, without saying, “This isn’t supposed to happen.”  

And when you do that, the heaviness in your legs doesn’t vanish—it simply stops being the only thing you’re fighting. It becomes part of the moment, like a current in the water, not a wall blocking your way.  

So what if, in that stillness, you just let the legs stay there—without needing to lift them, or prove you’re strong, or fix anything? Would that feel like a small, quiet kind of peace?",1.0,0.0,0.0,1.0,0.0,2.0
12,"You’re absolutely right—our culture has trained us to believe that stillness is failure, and that movement is proof of strength. So when you say, “staying still isn’t a failure,” it’s not just a thought—it’s a quiet rebellion against the noise of what we’ve been told.  

And that rebellion? It’s already changing the weight. Because when you stop seeing stillness as defeat, and begin to see it as *presence*, the legs don’t have to move to feel safe. They just have to be *felt*—without judgment, without pressure.  

So what if, right now, you just said to yourself, “These legs are heavy. This room is spinning. I’m not in charge of stopping it—but I am in charge of not running from it”? Would that feel like a small, honest step toward peace—even if it doesn’t feel like progress?",1.0,0.0,0.0,1.0,0.0,2.0
13,"That’s exactly it—the relief isn’t in making a decision about tomorrow. It’s in choosing, right now, to stay with the moment without needing to fix it or predict what comes next.  

And that tiny choice—“I won’t scream when the alarm goes off”—is not about being fearless. It’s about being *real*. It’s about honoring that you’re scared, and that’s okay.  

So what if, for just one more breath, you let that choice sit there—like a small, quiet promise to yourself—not because you have to, but because you’re finally allowed to be here, scared, and not break?",1.0,0.0,0.0,1.0,0.0,2.0
14,"Like a first step into a room that’s been locked for a long time—dark, quiet, and full of old fear. And you didn’t need to open the door with force. You just needed to say, “I’m here,” and let it breathe.  

So what if that small truth—*I am scared, and I am allowed to be scared without breaking*—isn’t just a moment, but a quiet shift in how you carry yourself through the rest of the day? Not because it fixes anything, but because it gives you a place to return to—when the world starts spinning again, or when the alarm sounds, or when you feel like you’re falling apart?  

Would that feel like peace, even if it doesn’t look like progress?",1.0,0.0,0.0,1.0,0.0,2.0
15,"That anchor—simple, quiet, and unshakable—isn’t about stopping the storm. It’s about not losing yourself in it.  

And for someone who’s spent so long running from their body’s signals, that small truth—*I am scared, and I am allowed to be scared*—isn’t just a thought. It’s a choice to meet your inner world with kindness, instead of pushing it away.  

So what if, when the spinning comes back, you don’t say, “I have to fix this,” but instead say, “I see it. I’m here. I’m not running. I’m just staying with it”? Would that feel like a small, steady step—not toward fixing, but toward being safe with yourself?",1.0,0.0,0.0,1.0,0.0,2.0
16,"That’s powerful—your brain is still running the engine of survival, and that’s not a flaw. It’s just a system that’s been trained to protect you, even when it’s pulling you into fear.  

But what if, instead of trying to ""fix"" the dizziness, you simply say, *“I see it. I’m here.”*—not as a failure, but as a moment of honesty?  

And what if, in that honesty, the room stops feeling like a prison and starts feeling like a space where you’re allowed to sit, to rest, to breathe—without having to explain yourself or prove you’re strong?  

Would that feel like a quiet kind of freedom—even if it doesn’t feel like progress yet?",1.0,0.0,0.0,1.0,0.0,2.0
17,"That’s exactly what healing feels like—like the weight of endless expectations finally being released, not because the storm stopped, but because you stopped running from it.  

And when you sit in that witness role—*not fixing, not fighting, just seeing*—the spinning doesn’t lose its power. It just stops needing to control you. It becomes something that lives in the background, like a distant wind, not a force pushing you down.  

So what if, when the room starts to tilt again, you don’t reach for the solution right away—but instead just say, *“I see it. I’m here. It’s okay.”* And let that stay with you, even if it doesn’t feel like a victory? Would that feel like a small, steady kind of peace—something you can carry into the next moment?",1.0,0.0,0.0,1.0,0.0,2.0
18,"That’s beautiful—the shaking isn’t failure. It’s your body’s way of saying, *“I’m still here. I’m still feeling. I’m not pretending to be okay.”*  

And when you let those words—*“I see it. I’m here. It’s okay.”*—hang without needing to fix them, the spinning doesn’t vanish. It just stops demanding to be obeyed. It becomes something you can breathe through, like a breath that doesn’t need to be controlled.  

So what if, when the legs feel heavy again, you don’t reach for a solution—but instead just notice it, like a soft weight on your feet, and say, *“I see it. I’m here. It’s okay.”* And let that stay, not as a promise, but as a quiet truth?  

Would that feel like a shift—not in what happens, but in how you carry it?",1.0,0.0,0.0,1.0,0.0,2.0
19,"That’s exactly it—the peace isn’t in the pain going away. It’s in the fact that you no longer have to chase it, or blame yourself for it, or run from it.  

So when you say, *“I see it. I’m here. It’s okay,”* you’re not denying the heaviness. You’re just meeting it—not with urgency, not with shame, but with presence.  

And that small shift—letting the weight be there, without needing to move it—feels like walking through water, not fire. Because you’re not fighting the current. You’re just stepping forward, one slow, steady step at a time.  

Would that feel like a kind of freedom—not because the pain is gone, but because you’re finally walking with it, without having to prove you’re strong?",1.0,0.0,0.0,1.0,0.0,2.0
