turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I really appreciate you taking the time to meet with me today. I want you to know that whatever you’re feeling or bringing up, it’s safe to share—no judgment, just space and listening. How have you been lately? What’s on your mind today?",1.0,1.0,1.0,1.0,0.0,2.0
1,"That sounds really hard—feeling like you've turned off your life and are just floating through the day without energy, and knowing that you *want* to change but don’t know how to start. It’s brave of you to recognize that you’re not just being lazy, and that you’re scared of what might happen if you try to face it.  

What would it mean to you, if you could begin to show up—just a little—without needing to fix everything right away?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It’s so powerful that you’re noticing how small steps—like opening a window or getting out of bed for five minutes—can feel like the beginning of something real. And it’s completely okay to be afraid of falling apart; that fear doesn’t mean you’re failing, it means you’re human and trying to care for yourself.  

What would it feel like, if you could just begin with one tiny thing—like sitting in that window with your breath, or watching the light change for a few minutes—without needing to do anything else?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That’s so deeply honest—and so important. The way you describe that quiet moment, with your heart racing but also that spark of relief, shows how much you’re already doing the work of healing, even when you don’t feel like it.  

It sounds like you’re not just looking for a group to talk through your feelings, but something where you can simply *be* with others in that shared stillness—without performance, without fixing, just breathing together. That kind of presence... it’s not about solutions. It’s about safety. And it’s exactly what you deserve.  

Would it be helpful to explore that a little more—together—what that moment of shared stillness might look like, or what it would feel like to start with just one person sitting beside you in that window?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s such a beautiful and honest question—what it would feel like to sit beside someone without trying to fix anything. I think it would feel like a quiet kind of trust: not a perfect match, not a solution, just two people sharing the same space, the same breath, the same stillness.  

And if they just matched your breathing, or sighed together when it felt heavy—that wouldn’t be about fixing you. It would be about saying, *“I see you. I’m here. This is hard, and it’s okay to be here with it.”*  

And you’re absolutely right—the fear of being judged or of being an imposter is real. But I wonder: what if that first shared breath wasn’t about being “better,” but about being *seen*—not as someone who needs to fix themselves, but as someone who’s already showing up, just as they are?  

Would it be helpful to keep exploring that image—together—without pushing toward anything that feels like a performance?",1.0,1.0,1.0,1.0,0.0,2.0
5,"That’s so powerful—your willingness to just *look* without needing to name it yet. In that quiet space, with you breathing alongside me, I think you’d feel something like peace, not because everything is solved, but because for the first time, you’re not being asked to perform, to prove, or to fix.  

You’d feel like you’re allowed to just *be*—not as a project, not as a problem to be fixed, but as a person who’s been carrying a lot, and who deserves to rest in that weight without judgment.  

And maybe, just maybe, that’s where the healing starts—not with action, but with presence. Would you like to stay in that space for a moment, just with the image of us sitting together, breathing together, without needing to say anything more?",1.0,1.0,1.0,1.0,0.0,2.0
6,"It feels like a quiet crack—yes, a small one, just barely visible—beginning to open in the wall of isolation. Not a loud breaking, not a sudden shift, but something soft and steady, like the first note of a song that wasn’t playing before.  

And it’s not about fixing anything. It’s about realizing that you don’t have to carry the whole wall alone. That you can sit here, in this breath, in this shared stillness—and just *be* with the weight, without needing to push through it or hide from it.  

Would you like to keep sitting with that feeling a little longer, or would you like to gently shift into something else—like how that moment might feel when you return to your day, or how you might notice it in your body again?",1.0,1.0,1.0,1.0,0.0,2.0
7,"It feels like this stillness isn’t fragile at all—it’s like a quiet anchor, something you can return to when the world starts to rush again. It doesn’t have to be strong or permanent to be meaningful.  

And you’re right: it doesn’t need to be a plan, a goal, or even a solution. It just needs to be a place where you can pause—where you remember you’re allowed to be tired, to feel heavy, to breathe without performance.  

So yes, you can come back to it whenever the noise gets loud. Not as a fix, not as a rescue—but as a return to yourself. A gentle reminder: *I am here. I am allowed to rest.*  

Would you like to keep holding that image, or would you like to gently begin noticing how it shows up in your body when you’re in the day?",1.0,1.0,1.0,1.0,0.0,2.0
8,"It feels like you’re already doing the most important part—slowing down the transition, not rushing it. The tension in your body isn’t just hiding; it’s holding on to the way you’ve been trying to keep everything together, and now, in this quiet space, you’re giving it room to be felt, not fought.  

So yes—there’s no need to force a shift back into the day. You don’t have to *do* anything yet. What matters is that you’re noticing where the tension still lives—maybe in your jaw, your shoulders, your chest—without needing to move or fix it.  

And when you do return to the day, it won’t be with pressure. It’ll be with a quiet awareness: *I’m still here. I’m still breathing. I’m still allowed to feel this.*  

Would you like to keep sitting with that awareness, or would you like to gently name one small part of your day where you might notice that stillness—without needing to act?",1.0,1.0,1.0,1.0,0.0,2.0
9,"It feels like you’re already practicing—quietly, gently, deeply—how to carry the weight differently. Not by removing it, but by learning to hold it without resistance.  

And yes, it’s true—your body might still go rigid when you step back into the day. That’s not failure. That’s just your nervous system remembering how to respond to the world’s pace. But now, you’ve built a small space where you can say: *“I notice. I feel. I’m still here.”*  

And that? That’s the first step. Not toward fixing, not toward doing, but toward showing up—without needing to prove anything.  

Would you like to keep staying with that awareness, or would you like to gently name one small sensation—like a tightness in your jaw or a slow breath in your chest—that you can carry with you, even when you walk back into the day?",1.0,1.0,1.0,1.0,0.0,2.0
