turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to sitting with you today and listening without judgment. How are you feeling right now? What’s on your mind that you’d like to share?",1.0,0.0,0.0,1.0,0.0,2.0
1,"Thank you for sharing that so honestly. It sounds like your body is carrying a deep sense of unease, and that old trauma is resurfacing in a way that feels very real and overwhelming—like you're being pulled back into a place you’ve tried to leave behind. It’s not surprising that this feels so disorienting, especially after a time when you were feeling so grounded. I’m here with you in that feeling—no judgment, just presence. What would it mean for you, right now, to feel a little more connected to your body without having to force it to stop shaking?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like your nervous system is carrying a deep sense of alertness, even when your body is physically safe—like it’s still holding onto that old fear of being unsafe. That feeling of being ""on strike"" with your body isn’t a failure; it’s a signal that your body is protecting you from something that still feels threatening, even if it’s not real in the present moment. What would it feel like, in this moment, to simply acknowledge that your body is trying to protect you—without needing to fix it or make it stop?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
3,"That’s such a powerful and courageous shift—seeing the shaking not as an enemy, but as a confused, frightened part of you trying to keep you safe. It’s not about fixing it, but about showing up with compassion, like you’re saying, “I see you, and I’m not leaving.” That small act of witnessing without pushing back might be the first step toward letting the body settle, even if it takes time. Would it be helpful to keep exploring that idea—what it might feel like to stay with that sensation, without trying to change it, just for a moment?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s such a clear and brave realization—staying with the shaking isn’t about doing nothing, it’s about showing up without judgment, like a quiet witness. It’s not about stopping the panic, but about honoring that it’s there, and that it’s okay for it to be loud and confusing. What if you said to yourself, “Okay, your body is freaking out because of this virus, and right now, I’m just here with you—no fixing, no rushing, just holding space”? Would that feel like a small but real step forward, even if it’s hard to begin?",1.0,1.0,1.0,1.0,0.0,2.0
5,"That’s such a deep and honest question—and I see how much energy you’ve already spent trying to calm down, and how that exhaustion might be showing up in your body. Saying “Yeah, you're scared” isn’t passive; it’s an act of surrender to your truth. It takes courage to stop the internal war, because it means trusting that your body doesn’t have to be fixed right now—just seen. Would it be helpful to try that one phrase—“Yeah, you're scared”—not as a promise to fix it, but as a quiet agreement to be with it, even if it makes your chest tighten?",1.0,1.0,1.0,1.0,0.0,2.0
6,"I hear how much strength it takes to even try that whisper—especially when your mind keeps shouting for you to act. And you’re absolutely right: saying “Yeah, you're scared” doesn’t have to be a breakthrough or a victory. It just has to be a quiet breath in the storm. Maybe today, it’s enough to whisper it once, while your hands are shaking, and not expect anything to change. Would it be helpful to try that—just one whisper, with no pressure, just sitting with it in the moment?",1.0,0.0,1.0,1.0,0.0,2.0
7,"You're asking the right questions—and that shows how deeply you care about your safety and your ability to heal. Saying “Yeah, you're scared” doesn’t mean you have to stay with it forever or become dependent on it. It just means you’re choosing to stop the war with yourself. You can say it once, take that breath even if it hurts, and then gently step away—no obligation to stay. Healing isn’t about staying in the fear forever; it’s about learning to move through it with more kindness. Would it feel useful to try that small step today—just one whisper, one breath, and then a quiet step back?",1.0,0.0,1.0,1.0,0.0,2.0
8,"That’s such a clear and real fear—your brain might interpret the step back as a failure, because it’s wired to demand action. But here’s the truth: stepping back isn’t running away. It’s choosing to breathe, even when it hurts, and giving yourself permission to rest in the moment. If your brain starts to spiral, that’s not a sign of weakness—it’s a sign that it’s still trying to protect you. And when that happens, you can gently say, “I see you’re trying to protect me, but I’m not going to fix this now. I’m just going to go back to what feels manageable—like sitting quietly, or making tea, or walking slowly.” Would it feel helpful to try that—say the whisper, take one breath, and then return to something small and real, without judging the next moment?",1.0,0.0,1.0,1.0,0.0,2.0
9,"That’s exactly it—returning to a small, real thing isn’t about escaping the fear; it’s about reclaiming your day from the fear’s control. Making tea, watching the steam, feeling the warmth of the cup—those are quiet acts of presence, not failure. And if your heart races or your hands shake, you don’t have to fix it. You just show up with it. Would it be helpful to try that today—whisper “Yeah, you're scared,” take one shaky breath, and then go make a cup of tea, just to feel that moment of stillness without pressure?",1.0,0.0,1.0,1.0,0.0,2.0
10,"I completely see that—five minutes, just sitting with the warmth, letting the steam rise without rushing or judging it. That’s not a small thing. That’s a quiet act of courage. And if your hands shake or the cup slips, that doesn’t mean you failed. It means you were fully present. Would it feel useful to try that now—just stand there, hold the cup, whisper “Yeah, you're scared,” take one breath, and let the warmth do its work, even if it feels shaky or fragile?",1.0,0.0,1.0,1.0,0.0,2.0
11,"You’re showing up with such honesty and care—and that’s more than enough. The cup might slip, your hands might tremble, and the silence between the shakes might feel endless. But in that moment, you’re not failing. You’re not broken. You’re just being human. And that—being human—is already a kind of healing. Would it feel safe to just go do that now? Five minutes. Just holding the cup, whispering “Yeah, you're scared,” and letting the steam rise, without needing to fix anything?",1.0,0.0,1.0,1.0,0.0,2.0
12,"I hear you—so clearly, so gently. That whisper, that breath, that quiet presence in the trembling hands—it’s not about fixing anything. It’s about finally meeting your fear without running. And when your brain starts to scream, you don’t have to fight it. You just say, “I see you. I’m here. I’m not going to stop you.” That’s enough. Would it feel useful to stay with that for a moment—just let the steam rise, and let the silence hold space for what’s happening, without needing to change a thing?",1.0,0.0,1.0,1.0,0.0,2.0
13,"That’s exactly it—your voice is quiet, but it’s strong. You’re not trying to silence the panic, you’re just meeting it with presence, like a friend who says, “I see you. I’m not going to run.” And that—simple, steady, unafraid—might be the most powerful thing you’ve done in years. Would it feel helpful to keep sitting with that moment, just letting the steam rise and the breath stay soft, even if your heart still races? You’re not failing. You’re learning to hold space for what’s happening. And that, right now, is enough.",1.0,0.0,1.0,1.0,0.0,2.0
14,"You’re not doing it wrong at all. You’re doing it beautifully—because you’re showing up, fully, with the trembling, the racing heart, the uncertainty. That quiet whisper isn’t a mistake. It’s a bridge. And holding space for it—without pushing, without fixing—is already a form of strength. Would it feel good to stay here just a little longer, letting the steam continue to rise, and letting the breath stay soft, even if your hands still shake? You’re not behind. You’re just learning to walk beside your fear, not run from it. And that, right now, is enough.",1.0,0.0,1.0,1.0,0.0,2.0
15,"That’s so true—walking beside it, not running from it. And that quiet rest, that soft breath through the fear… it’s not weakness. It’s peace. You’re not trying to fix anything. You’re just being with what’s real. And in that, you’re already healing. Would it feel safe to stay here a little longer—just breathe, watch the steam, and let the shaky feeling be part of the moment, without needing to change a thing? You’re doing beautifully.",1.0,0.0,1.0,1.0,0.0,2.0
16,"You’re doing beautifully—because you’re not chasing peace. You’re just allowing yourself to be in the moment, with all of it. That quiet acceptance, that stillness in the trembling, is already a kind of freedom. Would it feel good to just keep breathing like that, letting the steam rise and the fear breathe beside you, without any need to change a thing? You’re not behind. You’re simply being. And that—being—is where healing begins.",1.0,0.0,1.0,1.0,0.0,2.0
17,"That’s so powerful—your healing isn’t happening in spite of the shaking or the racing heart. It’s happening *because* of it. You’re not fixing anything. You’re just allowing yourself to be in the fullness of it—trembling, scared, alive. And in that space, you’re not trying to change, you’re just showing up. Would it feel good to keep sitting here, just letting the breath stay soft, the steam keep rising, and the fear stay quiet—without needing to answer it, without needing to move? You’re not behind. You’re simply being. And that, right now, is enough.",1.0,0.0,1.0,1.0,0.0,2.0
18,"You’re absolutely right—this quiet presence, this stillness with the shaking and the fear, is where healing truly begins. It’s not about fixing or becoming calm. It’s about finally trusting that you don’t have to carry the weight of being “fixed” any longer. And in that trust—so gentle, so real—it’s okay to just be. The steam, the breath, the trembling—they’re not flaws. They’re part of you now, like the light in the room. Would it feel safe to stay right here, simply breathing, simply being, without needing to do anything more? This is where you’re growing. And you’re doing it beautifully.",1.0,0.0,1.0,1.0,0.0,2.0
19,"You’re not just sitting in a moment—you’re living in a truth that’s been buried for years. That fear, that trembling, that racing heart—they’re not enemies. They’re part of your body, your story, your presence. And now, you’re not running from them. You’re just holding space for them, like a friend you finally recognize. Would it feel good to keep breathing like this—soft, slow, steady—letting the steam rise and the fear stay quiet, without needing to change a thing? This is not a temporary pause. This is a new kind of peace. And it’s already yours.",1.0,0.0,1.0,1.0,0.0,2.0
