turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I’m really looking forward to getting to know you a little more today. I want you to know this space is safe—whatever you share, it stays between us, and I’m here to listen without judgment.  

What’s been on your mind lately that you’d like to talk about today?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so openly—it’s clear how much it’s been weighing on you. The way you describe that sudden shift from stability to such a powerful panic attack, especially without any change in medication, feels really intense and unfair. It sounds like your body and mind were carrying a lot, and then something just shifted in a way that left you feeling completely overwhelmed.  

What would you say that moment felt like—what was the first thing you noticed when it started?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like you were in a state of such deep physical and mental overwhelm—your body felt like it was operating on a completely different level, and your mind was trying to keep up with something it couldn’t fully process. That combination of crushing chest pressure, racing heart, and the ringing noise must have been incredibly disorienting and draining.  

I’m really hearing how much that experience felt like being caught in a storm you couldn’t escape—your body and mind both reacting in ways that felt out of control. And it’s so important to recognize that this wasn’t just a passing episode—it’s a shift that disrupted something that had been stable for so long.  

Would it be helpful to talk more about what that panic felt like in your body, or if there’s something specific about that moment that still stands out to you?",1.0,1.0,1.0,1.0,0.0,2.0
3,"That’s such a powerful and honest reflection—feeling like your medications weren’t just ineffective, but actually made things worse in a way that left you disoriented and disconnected from what “normal” even feels like. It’s not just the panic that’s hard to carry—it’s the confusion that comes after, when everything feels foggy and you’re left wondering if you’re still in control.  

That numbness, that fog—when you can’t quite remember what it feels like to be grounded—must have been deeply unsettling. Like you were trying to stay afloat, but the tools you were using were pulling you under instead.  

Would you like to talk more about what it felt like to be in that fog, or if there’s something specific about that moment that still feels important to you?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It sounds like you’re carrying a deep sense of disconnection—not just from your emotions, but from your own inner world. That feeling of being in a conversation with someone who’s asleep… it’s so vivid and painful. It’s not just numbness—it’s a kind of silence where your mind can’t quite engage, and you’re left waiting, unsure if anything real is happening at all.  

And the time distortion—feeling like yesterday and today are overlapping, like you’re stuck in a loop—it must be terrifying, especially when you’re already trying to stabilize yourself. The fear of pushing too hard, or making things worse with the meds, shows how carefully you’re trying to navigate this.  

Would it be helpful to explore what “calm” feels like *right now*, even if it’s just a small piece of it—something that might not be the same as before, but still exists somewhere in this fog?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s so clear and honest—your definition of calm has shifted from stillness to something more like a quiet presence, a kind of grounding that doesn’t demand activity or silence. And it’s completely valid that you can’t reach it yet, because right now, your body and mind are still in a state of reorganization.  

You’re not looking for a perfect calm—you’re looking for stability, for the quiet assurance that tomorrow will still be a day you can face, even if you don’t know exactly how. That’s not weakness. That’s resilience. It’s a deep, quiet trust that life keeps moving, even when it feels like it’s falling apart.  

Would it be helpful to explore what that sense of stability might feel like—not as a destination, but as a small, quiet anchor in the present? Maybe something small, like noticing your breath, or the way the light falls on the floor, or just sitting with the uncertainty without pushing through it?",1.0,0.0,0.0,1.0,0.0,2.0
6,"You’re absolutely right—asking for permission to just *be* without needing to fix anything is not too much. It’s actually one of the bravest things you could ask for.  

Your brain has been trained to solve, to control, to make things stop—so asking to simply *exist* in the fog, without pressure to shift or improve, is not weakness. It’s a quiet act of self-compassion. And it’s okay if tomorrow still feels foggy. It’s okay if the clarity doesn’t arrive right away.  

The fact that you’re even noticing this need—this need to just *be*—means you’re already moving toward stability, even when it’s not visible. Would it be helpful to sit with that idea for a moment: that you don’t have to fix anything right now, and that just *being here* is enough?",1.0,0.0,0.0,1.0,0.0,2.0
7,"You’re absolutely right—feeling like you’re in the fog and wondering if you’ll ever climb out again is deeply scary, and it’s not something you should carry alone.  

It’s not about climbing out today. It’s about not losing yourself in the process. And that’s a huge act of courage—choosing to stay present, even when it feels like you’re sinking. You’re not failing. You’re not falling behind. You’re just moving through something that doesn’t follow the rhythm you’ve known before.  

And yes—some days, some weeks, maybe even months—will feel like they’re just floating in the fog. That’s not a sign of failure. It’s just part of how your body and mind are rebuilding their balance.  

Would it be helpful to keep coming back to that idea—just floating, just being here—without needing to move forward or fix anything? It doesn’t have to be loud or clear. It just has to be real.",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s so beautifully honest—the way you describe it like waking up in a gray dream, where the stillness is both safe and strange, feels like a real moment of clarity.  

You’re not just drifting—you’re learning to trust the water, even when you don’t know where it’s taking you. And it’s okay to feel lonely in that space. Loneliness isn’t a failure. It’s just the quiet hum of being present in a world that’s still adjusting.  

The fact that you’re still noticing it, still holding space for the uncertainty—without needing to fix it or move—means you’re already building a new kind of relationship with yourself. One that doesn’t demand control, but allows for peace in the pause.  

Would it be okay to keep returning to that image of floating—without pushing, without rushing—just letting it stay there for a while, even if it feels lonely?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s such a powerful metaphor—the old driver trying to crash because he lost the road, and now you’re letting the car idle instead of forcing it to move. It’s not a failure. It’s a sign that your body and mind are finally learning to rest, to reconnect with themselves without needing to run.  

And the fact that you’re noticing this shift—without needing to fix it or push forward—means you’re already healing. You’re not just surviving. You’re learning to trust that stillness, even when it feels like a pause in motion.  

Would it be helpful to keep returning to that image of the car idling—just breathing, just being present, even if it feels quiet or unfamiliar? Maybe just for a few minutes, without trying to change anything.",1.0,0.0,0.0,1.0,0.0,2.0
