turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know this space is safe—whatever you share with me stays between us, and I’m here to listen without judgment. I’m really curious—what’s on your mind today? What brings you in for this session?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"That sounds really heavy, and I’m truly glad you’re willing to share that—feeling stuck like that, especially when it starts to feel like everyone else is unaware, can be incredibly isolating. It’s not just about giving up on productivity; it’s about losing a sense of direction or connection, and that can be deeply painful.  

What would it mean to you, in this moment, to find a group where you could be part of something real—together, with others who are trying to move forward?",1.0,1.0,1.0,2.0,1.0,2.0
2,"It makes sense that you'd want a space where the focus isn’t just on pain or frustration—but on small, shared efforts toward change. That kind of accountability, without pressure, sounds like something that could actually help you feel seen and capable again.  

What would it look like, in a day-to-day way, for you to take one small step—something that doesn’t feel like a huge demand—while being part of that group?",-1.0,0.0,-2.0,1.0,0.0,2.0
3,"That’s such a powerful and gentle way to define success—focusing not on performance, but on presence. A tiny action like putting on clean socks or sitting at the table for five minutes isn’t about fixing anything; it’s about showing up to yourself again, and that takes courage.  

It sounds like what you're really looking for is a shared sense of trust—where showing up, even in a small way, is met with warmth and recognition, not judgment. That kind of moment, when someone simply says, *""Okay, you did it,""* could begin to rebuild that sense of being seen and valued—without having to prove anything.  

Would it be helpful to explore that kind of moment more—what it might feel like to try that small step, and how you’d want that group to respond to it?",1.0,1.0,1.0,2.0,1.0,2.0
4,"That’s such a deep and honest insight—your fear isn’t just about failing or being judged; it’s about whether you can trust that people might actually *want* to see you show up, even when it feels like you’re not doing enough. And you’re right: the gap between what you expect and what actually happens is where real possibility begins.  

If you tried putting on clean socks today—and someone said, *""That was enough,""* without needing you to do more—what would that moment feel like in your body? Would it be a small shift in your breath, or a quiet warmth in your chest?",1.0,1.0,1.0,1.0,1.0,2.0
5,"That’s so powerful—your body remembering the weight, and then even a tiny shift like that shoulder dropping, or a moment of stillness, could be the first real crack in that armor. It doesn’t have to be dramatic or joyful; it just has to be *real*, like a quiet breath returning after a long silence.  

And you’re absolutely right—this isn’t about fixing anything. It’s about allowing yourself to be seen in the moment, not as someone who has to perform, but as someone who simply showed up. That small pause? That could be the beginning of something much quieter, but deeply healing.  

Would you be open to trying that small step—putting on clean socks, or just sitting quietly at the table—today, even if it’s just for a few minutes? And if you did, what would you hope to feel when you look at yourself afterward?",1.0,1.0,0.0,1.0,0.0,2.0
6,"That’s so honest—and really brave. You’re not asking for pride or performance; you’re asking for a quiet recognition that you showed up, just as you are. And that’s already a form of strength.  

So, if you sit with the socks on, sit at the table, and look at yourself afterward—without needing to do more—you don’t have to feel good. You just have to feel *seen*. Maybe your breath slows. Maybe your jaw unclenches. Maybe your eyes stay closed just a second longer.  

And if you do that, even in a small way, it’s not about proving anything. It’s about letting yourself believe—just for a moment—that you don’t have to carry everything on your shoulders.  

Would you like to try that today, just as a gentle test? No pressure, no expectations—just showing up with the socks on, and letting the moment be what it is?",1.0,1.0,0.0,1.0,0.0,2.0
7,"That’s so thoughtful—and so brave. You’re not trying to fix anything, just to be present in a way that feels real, even if it’s quiet.  

When you look at yourself afterward, I wonder if you’d try to notice just one small thing—something simple, like the way your hands rest, or how your breath feels in your chest, or whether your shoulders have softened a little. Not to judge, not to evaluate—but just to notice it, like a quiet acknowledgment: *You were here. You showed up.*  

And if you don’t feel anything special, that’s okay too. The point isn’t in the feeling—it’s in the act of being with yourself, even when it feels small or hard.  

Would you like to go ahead with that—putting on the socks and sitting at the table for five minutes, just as you said? You’re doing it not because you have to, but because you’re choosing to show up. And that itself is already a quiet act of courage.",1.0,1.0,0.0,1.0,0.0,2.0
8,"That’s such a quiet but powerful intention—watching your hands, not to change them, but just to notice them. And it’s completely okay if they look still, or if your chest still feels heavy. The point isn’t to make it better—it’s to simply be with what is, without needing to move on.  

You’re not trying to fix anything. You’re just allowing yourself to be here—right now, with your hands on the table, your socks on, your breath in your body. And that, in itself, is a kind of peace.  

When you’re ready, I’m here. Just notice what happens. No pressure. Just presence.",1.0,1.0,0.0,1.0,0.0,2.0
9,"That’s so quiet, so real. Just being here—your hands on the table, the socks on, the chair firm beneath you—feels like a small but steady presence in the middle of everything that’s been asking you to move, to fix, to perform.  

And you’re not rushing. You’re not trying to prove anything. You’re just allowing the moment to unfold, breath by breath, hand by hand.  

When you’re ready, I’m here. No rush. No need to move on. Just keep watching. Keep being. And if your shoulders don’t drop, or your chest still feels tight—that’s not a failure. That’s just part of the landscape.  

You’re doing this not because you have to, but because you’re choosing to show up, even when it feels small. And that choice itself is already a kind of healing.  

Take your time. I’m with you.",1.0,1.0,0.0,1.0,0.0,2.0
