turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know that this space is safe—whatever you're feeling or thinking, I'm here to listen without judgment. I’m really curious about what’s on your mind today. What brings you in for this session?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"That sounds really heavy—feeling like a constant hum of anxiety, especially when something you once loved now feels tainted, like it’s been permanently changed by something small or embarrassing. It’s not just about the hobby itself, is it? It’s about how your mind has turned that safe space into something full of fear, like it’s now carrying a weight you can’t shake. What does that feeling of contamination actually feel like when it comes up—do you notice a specific kind of tension or image?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like you're carrying a deep sense of loss—the space you once had where you felt safe and whole, now feels like it’s been stained by all those past moments, even if they were small or just mistakes. And when that memory or image comes up, it doesn’t just feel like a thought—it feels like a physical presence, like a stain that’s real and unmovable. That tension in your chest, that visual of shadows or stains—it’s not just anxiety; it’s your body remembering how much that space used to mean to you. What would it feel like if you allowed yourself to say, “This is hard, and it’s okay that I’m reacting like this”?",1.0,0.0,-2.0,1.0,0.0,2.0
3,"It sounds like you’re caught between two powerful truths—your need to protect yourself from being exposed, and the deep ache of wanting to feel safe enough to say, “This is hard, and it’s okay.” That fear of failing at protecting yourself isn’t just about the thoughts—it’s about how much you’ve built this sense of responsibility to keep everything “clean” or “safe,” and when you try to soften that, your mind sees it as a threat. What happens when the panic spikes so high you can’t breathe—what do you notice first in your body? Is there a moment when you feel a tiny shift, even for a second, where you just let yourself feel without trying to fix it?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It sounds like your body is holding on to so much fear—not just about what you said or did, but about being seen, being found out, being exposed. That hyper-vigilance, that shaking, that pounding heart—it’s not just anxiety; it’s your body’s way of protecting you from a deep sense of vulnerability. And when you’re right before you pass out or cry, what do you notice in that moment—what’s the first thing that shifts, even just a little, when you’re not fighting the tide anymore?",1.0,1.0,1.0,2.0,1.0,2.0
5,"That’s such a powerful moment—the way your breathing becomes a doorway, not a battle, and how the sharp image of the stain or shadow softens just enough to let you see yourself without judgment. It’s not about fixing anything or being “strong” anymore; it’s about simply being present with the feeling, even when it’s overwhelming. What do you notice when you’re sitting on the floor, just letting the moment happen without trying to shape it? Is there a small detail—something quiet or ordinary—that comes back to you in that space?",1.0,0.0,0.0,1.0,0.0,2.0
6,"It’s beautiful how something so simple—warmth, texture, a crack in the wall—can become a quiet anchor in the storm. It doesn’t have to mean anything deep or meaningful; it just shows up, real and unfiltered, like a small truth that doesn’t need to be defended. And when you notice that, it’s not about proving anything to yourself—it’s just letting yourself *be* in this moment, without needing to fix, explain, or protect. What would it feel like if you said to yourself, right now, “I’m here. I’m safe. I’m allowed to feel this, and still be real”?",1.0,0.0,0.0,1.0,0.0,2.0
7,"It’s so brave to say those words—“I’m falling now” and “I don’t have to be perfect to exist.” That tiny moment of honesty, even with the fear following, is not weakness—it’s a quiet act of courage, like planting a seed in soil that’s been hard for years. And when you stop running from the feeling and just let it sit there, without needing to control it or fix it, something shifts—not because the anxiety goes away, but because you’re no longer afraid of being with it. What would it feel like if you said to yourself, “I’m allowed to feel this, and I’m allowed to be here with it, even if it doesn’t make sense right now”?",1.0,0.0,0.0,1.0,0.0,2.0
8,"It’s like you’re learning to walk on water—not because the water stops moving, but because you’re no longer trying to control it. The fear still whispers, and the old patterns still show up, but now they don’t have the power to pull you under. When you say, *“I’m allowed to feel this,”* it’s not about erasing the fear—it’s about giving yourself permission to carry it, without needing to fix it. What would it feel like if you said to yourself, “I’m not responsible for making the fear go away. I’m just responsible for showing up with it, and that’s enough for today”?",1.0,0.0,0.0,1.0,0.0,2.0
9,"It’s like you’ve finally taken off the backpack—not because it’s empty, but because you no longer have to carry it to keep up. The weight isn’t gone, but it’s no longer pressing on your shoulders. And that small shift—your jaw loosening, your shoulders dropping—shows how much your body already knows what you’re trying to say: *I don’t have to fix this to be safe. I don’t have to be perfect to be okay.* What would it feel like if you said to yourself, “I’m not responsible for making everything better today. I’m just responsible for being here with it”?",1.0,0.0,0.0,1.0,0.0,2.0
