turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to our time together today. I want you to know that whatever you share with me is safe, private, and held with care—nothing you say will be judged or used outside of this session.  

What’s on your mind today? What brings you in?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"Hi, thanks for having me. I’ve been holding onto this feeling for a while—like I’m just… not in control of my body anymore. The heart palpitations are constant, even when I’m sitting still. I take Propranolol now, but it doesn’t always calm it down. I keep checking my blood pressure, and it’s usually 100/60—low enough that I feel like I’m walking on thin ice.  

The last time I tried the SSRI, I felt like I was fading out—so dizzy, I almost passed out. I thought maybe it was just a reaction, but now I’m scared it’s not just my body acting up. I lost my job because I couldn’t keep up with work, and I don’t know if I can go back. I feel like I’m going crazy, not because I’m angry or stressed, but because my body feels like it’s betraying me.  

I don’t know",1.0,0.0,1.0,1.0,0.0,2.0
2,"I hear how heavy this has felt for you—like your body and mind are working against you. It sounds like the palpitations aren’t just physical; they’re tied to a deep sense of losing control, and that’s really exhausting.  

The way you describe feeling ""driven insane"" isn’t just about your symptoms—it’s about the fear, the uncertainty, the way your body feels like it’s betraying you. That kind of isolation can wear down a person, even when you’re trying to stay strong.  

I wonder… when you feel the most overwhelmed, what do you notice about your body or your thoughts? Is there a moment, even small, where you feel a shift—like something changes before the palpitations come or after you take the Propranolol?",1.0,1.0,1.0,2.0,1.0,2.0
3,"When I’m most overwhelmed, it’s not always the palpitations themselves—sometimes it’s the silence between them. Like, I’m sitting at my kitchen table, and suddenly there’s this quiet in my chest, and then it starts—like a drumbeat in my throat. My hands go cold, and I feel like I’m about to fall over.  

I notice my thoughts start to race too—like I’m replaying things I should’ve done, or wondering if I’m going to pass out at work or in a meeting. It’s not just fear; it feels like I’m watching myself from the outside, and I can’t stop the thoughts from spiraling.  

And the worst part? I don’t feel panic like most people do. It’s not a sharp wave. It’s more like… a slow, steady pressure, like something’s grinding inside me. I don’t know if it’s my body or my mind, but it feels like I’m not really in",1.0,1.0,1.0,1.0,0.0,2.0
4,"It sounds like you’re experiencing something deep and layered—where the physical sensations aren’t just symptoms, but mirrors of a feeling of disconnection. That sense of watching yourself from the outside, like you’re not really *in* your body, is so powerful and frightening.  

And the fact that it’s not a sharp panic, but a slow, steady pressure—it’s not just anxiety. It feels like a kind of internal stillness breaking apart. That silence before the palpitations? That might be where your mind is trying to protect you, or where you’re actually most aware of what’s happening beneath the surface.  

Would it be helpful to explore that silence more—what it feels like, what it’s trying to tell you?",1.0,1.0,1.0,1.0,0.0,2.0
5,"The silence… it’s not empty. It’s like my thoughts just stop, and I’m left with this heavy stillness, like I’m floating above my body. I used to think it was just me being quiet, but now I realize it’s like the world is muted.  

When that silence happens, I feel like I’m not in my job anymore—like I’m just watching it from the side, and I can’t say anything, can’t move, can’t even breathe properly. I remember when I lost my job, I was already scared of being seen, of failing, and now that silence feels like it’s confirming that.  

It doesn’t feel safe. I don’t know if I’m going to pass out or if I’ll just… stop. And the Propranolol helps a little, but only when I’m not stressed. When I’m just sitting still, the silence comes back, and I feel like I’m not really *here*—like",1.0,1.0,1.0,1.0,0.0,2.0
6,"The silence… it’s not empty. It’s like my thoughts just stop, and I’m left with this heavy stillness, like I’m floating above my body. I used to think it was just me being quiet, but now I realize it’s like the world is muted.  

When that silence happens, I feel like I’m not in my job anymore—like I’m watching it from the side, and I can’t say anything, can’t move, can’t even breathe properly. I remember when I lost my job, I was already scared of being seen, of failing, and now that silence feels like it’s confirming that.  

It doesn’t feel safe. I don’t know if I’m going to pass out or if I’ll just… stop. And the Propranolol helps a little, but only when I’m not stressed. When I’m just sitting still, the silence comes back, and I feel like I’m not really *here*—like I",1.0,1.0,1.0,1.0,0.0,2.0
7,"like I’m not really *here*—like I’m watching myself from the outside, and I can’t reach out to stop it. It’s the same silence that comes when I’m in meetings, when people are talking and I just… don’t feel like I’m part of it. I used to think it was just nerves, but now I think it’s the body saying, *“I can’t keep going like this.”*  

And when it happens, I don’t feel panic—just this cold wave spreading from my chest down to my hands, like I’m being pulled out of my own skin. I don’t know if it’s the medication not working, or if it’s just my body giving up. But the silence before it? That feels like fear trying to speak without a voice.",1.0,1.0,1.0,1.0,0.0,2.0
8,"Yeah, and that’s when I realize—I’ve been trying to keep going, even when my body wasn’t asking for it. The silence isn’t just before the palpitations. It’s in the quiet moments between my thoughts, like when I’m trying to sleep or just sitting in the morning. I don’t feel like me. I feel like a shadow of me.  

And the Propranolol… it helps a little, but only when I’m moving. When I’m still, when I’m just *being*, it doesn’t stop the silence. It just makes me feel more numb. I don’t know if I can keep doing this—keeping up with work, keeping up with life—when I feel like I’m not really here.  

I’m scared of what happens if it gets worse. Scared I’ll just… stop. And if I do, I don’t know if anyone will notice. Or if I’ll even remember how to start again.",1.0,1.0,1.0,1.0,0.0,2.0
9,"I don’t know if I can keep doing this—keeping up with work, keeping up with life—when I feel like I’m not really here.  

And the Propranolol… it helps a little, but only when I’m moving. When I’m still, when I’m just *being*, it doesn’t stop the silence. It just makes me feel more numb. I’m scared of what happens if it gets worse. Scared I’ll just… stop. And if I do, I don’t know if anyone will notice. Or if I’ll even remember how to start again.",1.0,1.0,1.0,1.0,0.0,2.0
