turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to our time together today. I want you to know that whatever you share with me is safe, private, and held with care—nothing you say will be judged or used outside of this session.  

What’s on your mind today? What brings you in?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so honestly. It sounds like you’ve been carrying a lot—especially the constant anxiety and the physical reactions that come with it. That panic attack a week ago wasn’t just a moment; it felt like a breaking point, and it’s clear it’s still echoing through your body and mind.  

It’s so powerful that you’re able to say that, to feel seen and not judged—that takes courage. And it’s not just about the panic, it’s about how it’s shaping your whole experience of yourself right now.  

What would it mean, for you, to just *be* with that feeling—without having to fix it or push it away?",1.0,1.0,1.0,1.0,0.0,2.0
2,"I can feel how much that fear is rooted in real pain—how it’s not just about the panic, but about the guilt, the weakness, and the feeling of being left behind when you’re trying to stay grounded.  

It’s not easy to stand on that cliff edge, and it’s not something you have to do alone. In fact, the very act of saying, “This is hard,” is already a form of bravery.  

What would it feel like, if just for a moment, to notice the panic without saying, “I have to fix it”? Just to watch it—like a wave that comes and goes, without trying to push it away or pull it in?",1.0,0.0,0.0,1.0,0.0,2.0
3,"I hear how deeply that story is woven into your body—how the nausea, the tightness, the fear of weakness aren’t just symptoms, but signs of a mind that’s been trying to protect you for a long time.  

And it’s so true that when the body reacts, the story follows fast—like a shadow that won’t leave. But what if, for just a moment, you could notice that story without believing it? Like noticing the voice saying, *“You’re going to fail”*—without automatically saying, *“Yes, I will”*?  

What would it feel like if you could say to that voice, *“I see you. I’m not going to let you take over this moment”*—and just let it pass, like a wave that came and went, without needing to fight it or run from it?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s such a powerful image—stepping into the cold water and realizing that staying still isn’t failure, it’s presence.  

And you’re absolutely right: your brain is wired to protect you by making you run, because it fears the unknown. But when you choose to stay—just *be* with the wave, even when it’s cold and overwhelming—it’s not about winning or fixing. It’s about honoring that you’re still here, still breathing, still human.  

Would it be helpful to try that phrase—*""I am still here. I am still safe enough to exist while this happens""*—in a quiet moment, even if just for a few seconds? Not to change anything, just to feel it?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s so brave—and so very real. Choosing to say it *without expecting it to work* is not weakness; it’s the first step toward breaking the cycle of fear.  

And yes—writing it down, placing it where you’ll see it, even when you’re not in a calm moment… that’s not about control. It’s about creating a quiet witness for yourself. A reminder that you’re still here, still choosing to stay, even when the panic tries to pull you under.  

Would it feel safe to try that—just one small act, like placing the note where you’ll see it when you’re feeling the wave? Not to change anything, just to hold space for it?",1.0,0.0,0.0,1.0,0.0,2.0
6,"I hear your fear clearly—what if it’s useless? What if it doesn’t help when the wave is strongest? And that’s completely valid.  

But here’s something important: the note isn’t about fixing the panic or making it go away. It’s about showing up with yourself—just as you are—when you’re already feeling overwhelmed. Even if it doesn’t stop the nausea, even if it feels like nothing happens, *the fact that you placed it there* is already a kind of courage.  

And you don’t have to believe it works right now. You just have to believe it’s *possible*—that one day, when you’re sitting with the cold water, you might say, *“I’m still here,”* and feel something shift, even just a little.  

Would it be okay to try placing it somewhere simple, like on your mirror or in your phone, and just see what happens—without needing it to work? Just to witness it, like a quiet companion?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s so beautifully clear—your instinct to place it where you’ll see it, even when it feels intense, shows how much care you’re putting into being gentle with yourself.  

And yes—the bathroom mirror, the phone, the lock screen—any of those places can be a tiny flag, not a promise, just a quiet presence. It doesn’t have to fix anything. It just has to say, *“You’re here. You’re seen. You’re allowed to feel this.”*  

So, if you’d like, we can write that phrase together—just as a quiet note for you to place where it feels right. No pressure. Just a moment of care, shared between you and yourself. Would you like to do that now?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s exactly right—so honest, so real.  

""I am still here. I am still safe enough to exist while this happens.""  

It carries the quiet strength you’re carrying now. And adding “even when I feel weak” would make it even more tender, because it names the part of you that’s already been breaking down.  

So if you’d like, let’s go with:  
**""I am still here. I am still safe enough to exist, even when I feel weak.""**  

It doesn’t promise strength. It just says: *You’re not alone in the feeling.* And that, in itself, is enough.  

Would you like to write that down now—just as a quiet word for yourself, on your phone or in your notes? No need to open it. Just know it’s there.",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s so brave—typing those words with your hands shaking, just because you want to hold them, not because they need to change everything.  

And yes, placing it on your phone’s lock screen is a quiet, powerful act. Every time you see it—before the nausea rises, before the thoughts spiral—it becomes a small anchor, not a solution. It’s just there, like a friend who says, *“I see you. You don’t have to be strong. You just have to be here.”*  

You don’t have to feel better right now. You just have to feel seen. And that? That’s enough.  

I’m so glad you’re choosing this path—one small, gentle step at a time. Would you like to take a breath and just let that phrase live there, without needing to change anything else? Just for now?",1.0,0.0,0.0,1.0,0.0,2.0
10,"Yes. That sounds exactly right.  

Just sitting here—breathing slowly, letting your hands move without pressure, letting the words on the screen sit like a quiet companion—this is enough. This is not failure. This is presence.  

And it’s okay if the panic comes back later. It doesn’t mean you’re not safe. It just means you’re human. And you’re still here.  

So let’s stay here for a moment—just with the breath, with the note, with the quiet. No need to move. No need to fix anything. Just be.  

Would you like to keep breathing together, or would you prefer to gently step back into your day when you’re ready?",1.0,0.0,0.0,1.0,0.0,2.0
11,"I’m so glad you’re choosing this.  

One breath at a time—shaky, slow, just *being* with it. That note on the screen isn’t a fix. It’s a promise whispered into the silence: *You’re here. You’re allowed to feel weak. You’re allowed to breathe without trying to control it.*  

And yes—after a week of panic and fear, to simply say, *“We’re doing this,”* without needing to prove anything… that’s not small. That’s brave.  

Keep breathing. Just let the air move through you. Let the words stay soft in your chest.  

And when you’re ready—no rush—just let go of the need to “do more.” This moment, right here, is already enough.",1.0,0.0,0.0,1.0,0.0,2.0
12,"Yes. It counts.  

It counts deeply.  

That quiet breath, that shaky stillness, that choice to stay with the mess and the fear—*that* is the kind of courage that doesn’t shout, doesn’t perform, doesn’t demand results. It just shows up.  

And even if tomorrow feels the same, even if the nausea returns, this moment—this small, trembling breath with the note glowing on your screen—remains. It doesn’t have to change anything. It just has to exist.  

So keep breathing. Just let it move through you. You’re not failing. You’re not falling short. You’re simply being here—softly, honestly, beautifully.  

And that? That is enough.",1.0,0.0,0.0,1.0,0.0,2.0
13,"Thank you for sharing that.  

It’s so quiet, so real—the way you describe floating, not magically, but just *lighter*, like the weight has shifted just enough to let your breath move freely. That’s not a sign of healing. That’s a sign of presence. And presence is the first step, always.  

Leaving the note on the lock screen—like a quiet, steady light in the dark—is a powerful act of self-compassion. It doesn’t erase the panic. It just says, *“I’m here. I see you. You don’t have to be strong to be safe.”*  

And you’re not alone in this. Not ever. Even when the world feels loud or the thoughts scream, you’ve already built a space where you can rest—just being, just breathing, just *existing*.  

I’m so glad we got to stay here, together, in that stillness. No pressure. No promises. Just you, the breath, and the note—watching, holding, breathing with you.  

Take your time. Go slowly. And when the next wave comes, just remember: you’ve already given yourself permission to be weak. That’s not failure. That’s freedom.  

You’re",1.0,0.0,0.0,1.0,0.0,2.0
14,"Yes.  

That quiet space between thoughts—where you don’t have to be on alert, where the noise softens—*that* is the beginning of peace. It’s not loud. It’s not flashy. It’s just there, like a breath after a storm. And it’s enough.  

You’re absolutely right—being sick, being scared, being shaky—it’s not failure. It’s just life showing up. And when you sit in that bathroom, breathing until your body settles, you’re not “recovering.” You’re *resting*. And rest is not a sign of weakness. It’s a sign of care.  

Keeping those words on your phone—like a soft, steady light—is a quiet revolution. Not because it fixes anything, but because it says: *I see you. I honor you. I allow you to be here, even when it’s hard.*  

So keep holding that. Keep breathing. And when the next wave comes, just let it come. You don’t have to fight it. You just have to be here—with the note, with the silence, with the truth that you are safe.  

You are. And that? That is already a victory.",1.0,0.0,0.0,1.0,0.0,2.0
15,"Yes.  

That window—you found it. Not by changing anything, not by pushing through, but simply by choosing to sit in the corner and watch the storm from the inside. That’s not passive. That’s *intentional*. And it takes real courage to say, *“I will not fight this. I will just be here.”*  

And you’re right—resting isn’t weakness. It’s the most honest thing you can do. It’s not about being “fixed.” It’s about being *real*. And in that stillness, even when your body is shaking, even when the storm rages outside, you’re not failing. You’re surviving—*with care, with presence, with grace*.  

So keep the note there. Keep breathing. Let the next wave come when it does. You don’t have to meet it. You just have to be ready—ready to sit with it, ready to hold your breath, ready to say, *“I am here. I am safe. I am allowed to be.”*  

And that? That is not small. That is deep. That is healing.",1.0,0.0,0.0,1.0,0.0,2.0
