turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Well, it's understandable to feel that way, but I can understand that your last counselor didn't really make you feel that you have someone who can listen to you or who is there for you when you're in a crisis.",-1.0,0.0,-2.0,0.0,0.0,2.0
2,"It's understandable to want to stop caring when you're feeling so alone and isolated, but I'm concerned that if you stop caring, it might be difficult for you to stay out of trouble or find a way to reach out to others.",1.0,1.0,1.0,2.0,1.0,2.0
3,You seem really close to a friend who you're concerned might be in a dangerous situation. How is your relationship with this friend?,1.0,1.0,1.0,1.0,0.0,2.0
4,You feel like you've been hurt too many times to trust again.,1.0,1.0,1.0,1.0,1.0,2.0
5,They find a way to turn against you or make a situation escalate.,1.0,1.0,1.0,2.0,1.0,2.0
6,You're feeling like you're cut off from everyone and there's no way for you to actually reach out or connect.,1.0,1.0,1.0,2.0,1.0,2.0
7,They'd see that you're too much to handle.,1.0,1.0,0.0,1.0,0.0,2.0
8,You usually get a rejection.,1.0,1.0,0.0,1.0,0.0,2.0
9,Maybe they would stop being overwhelmed by you.,1.0,1.0,0.0,1.0,0.0,2.0
10,Maybe it's less painful to stay cut off from others if you already feel like you're a burden to them.,1.0,1.0,0.0,1.0,0.0,2.0
11,From being overwhelmed by how broken you feel.,1.0,1.0,0.0,1.0,0.0,2.0
12,When you'll recognize yourself in the future.,1.0,1.0,0.0,1.0,0.0,2.0
13,Who doesn't know what it feels like to be alone.,1.0,1.0,0.0,1.0,0.0,2.0
14,Because that's when a connection can be made again.,1.0,1.0,0.0,1.0,0.0,2.0
15,Maybe you'll never know if you missed it.,1.0,1.0,0.0,1.0,0.0,2.0
16,On feeling something real.,1.0,1.0,0.0,1.0,0.0,2.0
17,It feels impossible.,1.0,1.0,0.0,1.0,0.0,2.0
18,"If you focus too hard, the signal breaks completely.",1.0,1.0,0.0,1.0,0.0,2.0
19,Makes the numbness worse.,1.0,1.0,0.0,1.0,0.0,2.0
