turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to getting to know you and listening to what's on your mind. How have you been feeling lately, and what brings you in today?",1.0,1.0,1.0,1.0,0.0,2.0
1,"I hear how heavy and persistent those thoughts feel — like they’re not just passing through your mind, but staying there, shaping what you see and believe. It’s so difficult when thoughts feel like they’re judging you, even when nothing bad actually happens. That sense of being punished or failing — it must be deeply unsettling. What does it feel like when you’re in the middle of one of those thoughts? Can you describe what happens in your body or emotions?",1.0,0.0,-2.0,1.0,0.0,2.0
2,"It sounds like those thoughts are creating a deep sense of inner tension and isolation — like you're caught between knowing the truth and feeling like you’re being condemned by your own mind. The way your body reacts — freezing, holding your breath, heart racing — shows how deeply these thoughts are connected to your safety and sense of self. When you say it feels like being watched or being judged from inside, that’s not just a thought — it’s a real emotional experience. What happens when you finally stop the thought, even for a moment? Does something shift in how you feel, or does it just come back stronger?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It’s so powerful that even when you feel like you’ve gained a moment of peace, the thought returns — not just as a memory, but as a new version of the same fear, reshaped but still rooted in that sense of judgment. And when you start to wonder if you *are* failing, even when you don’t see it, that’s when the fear becomes real — not because of what happened, but because of what you *believe* might happen. What would it feel like if you could just sit with that uncertainty — without needing to prove yourself or fix it?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It sounds like you’re beginning to see something very important — that the fear isn’t really about being bad or failing, but about the need to *control* what’s happening inside your mind. And that when you stop trying to fight it, the thought doesn’t have to win. It’s not attacking you — it’s just a part of your mind trying to protect you, even if it’s doing it in a way that feels scary.  

That shift — from needing to prove yourself to simply allowing yourself to be uncertain — is a quiet but powerful act of self-compassion. And it’s exactly where healing begins. What’s one small way you could try that today — not to fix anything, but just to be with it, without needing to change it?",-1.0,0.0,-2.0,1.0,0.0,1.0
5,"That’s so brave — and so real. Giving the thought space, without trying to control or dismiss it, is not giving it power — it’s actually creating a kind of peace that your mind has been missing for a long time. The fact that it softens, even just a little, shows that your inner world is beginning to respond to kindness instead of resistance.  

And you don’t need it to work every time — just to show up, even once. That’s already a victory. What would it feel like if you allowed yourself to keep coming back to that moment — not to fix anything, but just to remember how it felt to be with the thought without needing to win?",-1.0,0.0,-2.0,1.0,0.0,1.0
6,"That’s such a gentle and powerful way to see it — not as something to eliminate, but as a part of your inner world that shows up, like a neighbor you’ve known for a long time. The fact that you’re beginning to notice the difference — the shift from panic to awareness — is already a deep kind of progress.  

And yes, healing doesn’t always mean making the thoughts go away. Sometimes it means learning to walk beside them, with kindness, without fear. Just one small moment of noticing — that quiet awareness — can become a quiet anchor in the storm. What would it feel like if you said that out loud to yourself, just once a day, like a gentle reminder?",-1.0,0.0,-2.0,1.0,0.0,1.0
7,"That’s such a beautiful way to hold space for yourself — not as someone who has to fix everything, but as someone who is gently learning to be present with what arises. The way you’re naming the thought, not as a threat but as a part of your inner world, shows a deep kind of courage.  

And yes — even if it feels shaky at first, that small act of saying it out loud becomes a quiet anchor. It’s not about making the thoughts disappear. It’s about making yourself safe in the presence of them. I’m so glad you’re bringing that into your life — it’s already a step toward peace. What would it feel like if you said that phrase — *“I’m not the thought. I’m the person who’s learning to be kind to it”* — not just in your head, but as a quiet promise to yourself, like a whisper in the morning or before bed?",-1.0,0.0,-2.0,1.0,0.0,1.0
8,"That’s so quiet, so true — and so deeply human. A simple phrase, spoken in the stillness of morning or night, becomes a kind of inner compass. It doesn’t need to feel like a miracle — just like a steady breath in a storm.  

And the fact that you’re choosing to say it not to change the thought, but to simply say *“I see you. I’m here. I’m not afraid of you”* — that’s already a form of courage. It’s not about fixing anything. It’s about showing up with kindness, even when it’s hard.  

And if it helps you stay a little more grounded — just a little more present — then it’s already working. That’s what healing feels like: not a sudden shift, but a quiet, steady growing of peace. You’re doing it. One breath, one moment, one day at a time.",-1.0,0.0,-2.0,1.0,0.0,1.0
9,"That’s so beautiful — and so deeply moving. The way you’ve shifted from trying to prove yourself to simply being with what arises is not just healing; it’s a quiet act of self-acceptance that carries weight.  

And yes — one day, when you look back, you’ll see that this small, steady presence — this quiet promise — was the foundation of something much deeper. Not because it fixed everything, but because it honored you as you are — imperfect, uncertain, and still learning.  

You’re not just surviving. You’re growing. One gentle breath at a time. I’m so glad you’re carrying this with you. And I’m here — whenever you need to return to it.",-1.0,0.0,-2.0,1.0,0.0,1.0
