turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I really appreciate you taking the time to meet with me today. I'm here to listen without judgment, and to support you in whatever way feels meaningful for you right now.  

What brings you in today? I'm curious to hear what’s on your mind.",-1.0,-1.0,-2.0,-1.0,0.0,1.0
1,"Thank you for sharing that so honestly. It sounds like you've carried a deep sense of being let down—by people, by circumstances, even by the idea of something greater. The feeling that hope is punished, and that the world is built to frustrate you, that’s a heavy burden to carry.  

I wonder—when you say “hope is punished,” what does that look like in a moment when you’re feeling it? Maybe a specific time, or a certain kind of silence in your life?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like that moment with the hernia wasn’t just a physical setback—it felt like a personal failure, like the world was closing the door on your effort to build something good. And when you say it felt like ""the universe was targeting you,"" that’s a deep emotional wound—like your hopes were being systematically dismantled.  

I wonder—when that happens, what do you notice in your body or mind? Does a particular emotion rise up, or a kind of stillness, when you’re facing that kind of loss?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like that silence—when you share your pain and it doesn’t quite land, or when it’s met with something that feels distant or not quite heard—can feel like another kind of abandonment. And when you’re already carrying this belief that hope is punished, that silence becomes part of the pattern.  

I wonder—when you’re feeling that heavy weight in your chest, what happens in that moment? Do you find yourself turning inward, or do you reach out to someone, even if it’s just a small gesture?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It sounds like you're carrying a deep sense of self-protection—waiting to be seen, to be trusted—so that when someone reaches out, it feels like proof they truly care. And when that doesn’t happen, it’s not just a disappointment; it’s a wound that echoes through every attempt to build something real.  

I wonder—when that urge to disappear comes up, what does it feel like in your body? Is it more like a quiet ache, or something sharper, like a pull toward silence?",1.0,1.0,1.0,2.0,1.0,2.0
5,"It’s so clear how deeply that feeling of being punished is woven into your body and your sense of self—like every time you try to move forward, your body and mind are responding with a quiet, persistent cry for safety.  

And it’s not about wanting to disappear in a dramatic way—it’s about needing to stop the noise, to stop the story that says you’re broken or unworthy. That tightness in your ribs, that heaviness in your hands—those aren’t just physical. They’re the body’s way of saying, *“I’m trying to survive, but I’m being worn down by a story that doesn’t serve me.”*  

I wonder—when you feel that pull to curl up, what happens just before it happens? Is there a moment when you notice your thoughts shifting, or your breath slowing, or something in your body that says, *“This is enough for now”?*",1.0,0.0,0.0,1.0,0.0,2.0
6,"That moment—when your breath slows, and the thoughts loop like a broken record, and you just sit there wondering why you’re still breathing—it feels like the space between pain and peace. And in that quiet, you’re not making a decision; you’re just *being* in the midst of something that’s been holding you up for so long.  

It’s not weakness to want that stillness. It’s your body and mind trying to find a way to survive the weight of feeling punished. And the fact that you’re noticing it, that you’re here with it—*that* is a form of courage.  

Would it be helpful to explore what happens when you finally *allow* yourself to sit in that silence without trying to fix it or move through it? Just be with it?",1.0,0.0,0.0,1.0,0.0,2.0
7,"It makes complete sense that sitting still feels like stepping into a void—because for so long, you’ve been trained to move, to fix, to prove you’re strong. And when you stop, it doesn’t feel like peace—it feels like a failure of control. That fear isn’t irrational. It’s just the mind trying to protect you from what you’ve already survived.  

I wonder—what would it feel like if you allowed yourself to *just* notice that fear, without saying, *“I must do something”*? Like a quiet observation: *“I’m afraid of being still. I’m afraid of what’s underneath.”* Would that be a step, even if it doesn’t feel like progress?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s such a powerful shift—watching the shadow of fear move across the room instead of running toward it. You’re not trying to fix it, or escape it, or even name it fully. You’re just *seeing* it, like a visitor in the room, and for a moment, it doesn’t own the space.  

And that small act of noticing—without pushing, without acting—doesn’t mean the fear is gone. It just means you’ve given it a moment to breathe, without demanding it disappear. That, in itself, is a form of courage.  

Would it be useful to keep returning to that image—of just watching the fear, without trying to move it? Even if it feels small, even if it feels fragile?",1.0,0.0,0.0,1.0,0.0,2.0
9,"You’re absolutely right—the pain doesn’t go away. But in that quiet space between the fear and your response, you’re not just surviving. You’re *witnessing*. And that’s something that doesn’t need to be fixed. It just needs to be honored.  

The fact that you can name it, feel it, and still stay present—even when it feels like the world is closing in—is a quiet victory. Not because it changes everything, but because it proves you’re still here, still seeing, still choosing to stay in the room with yourself.  

Would it be helpful to try that again—just once more—this time with a small anchor, like focusing on your breath, or the weight of your hands on your knees, while you say, *“I see this fear. It’s watching me. It wants me to run. But I’m not running. I’m just here.”* And let it rest there, without pressure to move?",1.0,0.0,0.0,1.0,0.0,2.0
10,"You're absolutely right—it *feels* risky, because fear doesn’t play fair. And when you stop moving, it doesn’t mean the fear is gone—it means it’s finally getting attention. And that can feel terrifying.  

But here’s what I notice: you’re not asking to “win” or “succeed.” You’re asking to *try*—to show up, not because you have to, but because you want to be with yourself, even in the mess. That’s not a test. That’s a step.  

So let’s try this gently: just for three minutes, as you sit with your hands on your knees, breathe slowly, and say to yourself: *“I see this fear. It wants me to run. I’m not running. I’m just here.”* And if your heart races, or your body tightens—*that’s not failure*. That’s just your nervous system remembering how to survive.  

You don’t have to stay calm. You just have to stay present. And in that presence, even if it’s shaky, you’re already making space for something real.  

Would you like to try it now—just for a few minutes? I’ll be with you, no judgment, no pressure",1.0,0.0,0.0,1.0,0.0,2.0
