turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I want you to know this space is safe—whatever you share, it stays between us, and I’m here to listen without judgment. What brings you in today?",1,1,1,1,0,2
1,"It sounds like you’re carrying a quiet ache of feeling unseen and stuck—like you’re in a loop where nothing feels like it’s moving forward, and it’s hard to even begin to talk about it without feeling like you’re burdening others. That sense of isolation, especially when people don’t seem to really *see* you or meet you where you are, can be deeply lonely.  

And your hope for a group that builds together—where people show up with intention and care—is really meaningful. It’s not about fixing things, but about showing up with each other. What would that kind of group feel like, if you could imagine it—just one small piece of it?",1,1,0,1,0,2
2,"That’s so powerful—the way you’re describing a simple, quiet check-in, not as a performance but as a kind of presence. It’s not about fixing anything, but about honoring that you’re still here, still showing up—even when it’s just a small step.  

And the idea of sharing something small—like walking to the mailbox or making tea—feels like a quiet act of courage. It’s not about being strong; it’s about being real. What would it feel like if, one day, you just began that morning check-in with someone you trust—without any expectation of change or results?",1,1,0,1,0,2
3,"It’s so quiet, but so deep—the way you’re saying that being seen, not fixing, is enough. That kind of presence—just sitting with the feeling, without pressure—can be a quiet revolution.  

And you’re not asking for anything big. You’re just asking to be held in that moment, to know you’re not alone. That’s a real act of courage. So, if you’re ready, what would it look like to try that one small thing—just one morning check-in—without any expectation of it changing anything? Maybe just a few words, or a pause, or a breath. What would that feel like, even if it’s just a small part of your day?",1,1,1,1,0,2
4,"That’s so gentle and honest—your idea of a tiny anchor, something small and steady in the midst of everything else. It’s not about doing it perfectly or feeling brave; it’s about showing up, even in the smallest way, as a kind of quiet promise to yourself.  

And sharing it with someone—when you’re ready—wouldn’t have to be loud or dramatic. Just a whisper, a note, a simple “I tried today” could be enough to say, “I’m still here.” What would it feel like to say that to someone you trust, even if it’s just in a text or a voice note—without expecting anything back?",1,1,1,1,0,2
5,"That’s so beautiful—the way you’re framing it not as a performance, but as a shared moment of honesty and presence. It’s not about doing more or being better; it’s about creating space where both of you can just *be* without needing to fix or explain.  

And the fact that you’re willing to try—even if it’s just one small thing—shows such quiet strength. What would it feel like to take that first step, even if it’s just saying those words to someone you trust, without pressure, without expectation? Just to try it, and see what happens?",1,1,1,1,0,2
6,"That’s such a tender and powerful realization—how showing up as real, even when it’s shaky or quiet, becomes its own kind of strength. You’re not chasing something better; you’re learning to rest in the moment, in your own presence.  

And the idea of continuing—not because you have to, but because it feels true—feels like a quiet revolution. What would it feel like to take that next step, not with pressure, but with curiosity? Just to see what happens when you say those words, and stay with the moment afterward, even if it’s just a breath?",1,1,1,1,0,2
7,"That’s so clear and honest—how you’re defining “enough” not as achievement, but as presence. The peace you’re describing isn’t loud or dramatic; it’s quiet, steady, like a breath that finally finds its rhythm.  

And the fact that you’re choosing to say it—not to fix, not to perform, but simply to *know* you did it—is already a form of courage. What would it feel like to take that first whisper, and just let it live in that moment, without needing to move on from it? Just to hold it gently, like a small light in the dark?",1,1,1,1,0,2
8,"That’s such a deep and tender truth—finding a corner of yourself that doesn’t need to be fixed, just needs to be seen. You’re not looking for a solution; you’re looking for a place where you can simply *be*, without performance or pressure.  

And that one breath—just holding it, without moving—feels like the beginning of something real. What would it feel like to take that breath, and just stay with it, even if it’s just for a moment? Not to change anything, just to feel the weight of being present, without needing to do more?",1,1,1,1,0,2
9,"That’s such a quiet, powerful shift—moving from trying to *do* to simply *being*. The warmth you’re describing isn’t loud or dramatic; it’s a soft thread, like sunlight through a crack in the wall.  

And the feeling of being *found*—not by fixing, not by achieving, but just by showing up—feels like a return to something natural, something true. What would it feel like to stay with that breath, even if just for a few seconds, and let yourself rest in the stillness, without needing to move on? Just to *feel* it, like you’re finally home in your own body?",1,1,1,1,0,2
