Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
So I'd like to talk about being cognitively active. So you're retired now. What did you used to do?,T,jKIFMKsPMas_1,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,,"Hi, Sherry. Can you tell me how things are going?"
Okay. And presumably that kept you very busy?,T,jKIFMKsPMas_3,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,"Therapist: So I'd like to talk about being cognitively active. So you're retired now. What did you used to do?
Patient: I was a nurse for 44 years.","Wow, that's impressive. How is it going to affect your life now that you're retired?"
Several jobs.,T,jKIFMKsPMas_5,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,"Therapist: So I'd like to talk about being cognitively active. So you're retired now. What did you used to do?
Patient: I was a nurse for 44 years.
Therapist: Okay. And presumably that kept you very busy?
Patient: It did, it did. It wasn't just that. I had five children and I helped my husband run a sub-post office. So I was working a 70-hour week in those days because I did two nights' night duty, they were 12-hour shifts separated, and then I worked in the shop.",So you had a lot of responsibilities. And you mentioned that you had five children. Can you tell me a bit about how that affected your life?
"Wow. And do you do any, now that you're retired, do you do any voluntary work or anything else?",T,jKIFMKsPMas_7,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: So I'd like to talk about being cognitively active. So you're retired now. What did you used to do?
Patient: I was a nurse for 44 years.
Therapist: Okay. And presumably that kept you very busy?
Patient: It did, it did. It wasn't just that. I had five children and I helped my husband run a sub-post office. So I was working a 70-hour week in those days because I did two nights' night duty, they were 12-hour shifts separated, and then I worked in the shop.
Therapist: Several jobs.
Patient: So for five years I did that. So that was, you know, and looked after the children and the house and that. Yeah.",It sounds like you've had a very busy life. And you mentioned that you've had to juggle a lot of things. Can you tell me a bit more about how you've had to juggle all those things?
Signed you up?,T,jKIFMKsPMas_9,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,"Therapist: Okay. And presumably that kept you very busy?
Patient: It did, it did. It wasn't just that. I had five children and I helped my husband run a sub-post office. So I was working a 70-hour week in those days because I did two nights' night duty, they were 12-hour shifts separated, and then I worked in the shop.
Therapist: Several jobs.
Patient: So for five years I did that. So that was, you know, and looked after the children and the house and that. Yeah.
Therapist: Wow. And do you do any, now that you're retired, do you do any voluntary work or anything else?
Patient: Yeah, I've got involved with things around the church, with visiting the housebound and taking them out and things like that. And I still, and one of my daughters decided to get me a job as a transport passenger assistant for special needs on the minibuses that go around Leeds. So they were desperate for them and she said, you'd be good at that, Mum.",You'd be good at it?
Would you say that keeping busy is important to you?,T,jKIFMKsPMas_11,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Several jobs.
Patient: So for five years I did that. So that was, you know, and looked after the children and the house and that. Yeah.
Therapist: Wow. And do you do any, now that you're retired, do you do any voluntary work or anything else?
Patient: Yeah, I've got involved with things around the church, with visiting the housebound and taking them out and things like that. And I still, and one of my daughters decided to get me a job as a transport passenger assistant for special needs on the minibuses that go around Leeds. So they were desperate for them and she said, you'd be good at that, Mum.
Therapist: Signed you up?
Patient: She signed me up because she was the manager. So I did that until I was 77. And I also did the 11 weeks of the stewarding for the ABRSM music exams.",Oh my goodness! That must have been a lot of work. And you've been doing it for five years. And you mentioned that you've been doing it for five years. And you mentioned that you've been doing it for five years. And you mentioned that you've been doing it for five years. And you mentioned that you've been doing it for five years. And you mentioned that you've been doing it for five years. And you mentioned that you've been doing it for five years. And you mentioned that you've been doing it for five years. And you mentioned that you've been doing it for five years. And
Yeah. And have you always been like that?,T,jKIFMKsPMas_13,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Wow. And do you do any, now that you're retired, do you do any voluntary work or anything else?
Patient: Yeah, I've got involved with things around the church, with visiting the housebound and taking them out and things like that. And I still, and one of my daughters decided to get me a job as a transport passenger assistant for special needs on the minibuses that go around Leeds. So they were desperate for them and she said, you'd be good at that, Mum.
Therapist: Signed you up?
Patient: She signed me up because she was the manager. So I did that until I was 77. And I also did the 11 weeks of the stewarding for the ABRSM music exams.
Therapist: Would you say that keeping busy is important to you?
Patient: Well, I'm just a busy person. So it just comes natural to me. I can't sit really for long.",You can't sit for long?
Do you have a lot of social support?,T,jKIFMKsPMas_15,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Signed you up?
Patient: She signed me up because she was the manager. So I did that until I was 77. And I also did the 11 weeks of the stewarding for the ABRSM music exams.
Therapist: Would you say that keeping busy is important to you?
Patient: Well, I'm just a busy person. So it just comes natural to me. I can't sit really for long.
Therapist: Yeah. And have you always been like that?
Patient: Yes. Yes.",And how about when you were younger?
"Yeah, international friends.",T,jKIFMKsPMas_17,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Would you say that keeping busy is important to you?
Patient: Well, I'm just a busy person. So it just comes natural to me. I can't sit really for long.
Therapist: Yeah. And have you always been like that?
Patient: Yes. Yes.
Therapist: Do you have a lot of social support?
Patient: Yes, I do. Yeah. Well, even more so now, now that the children have press-ganged me into Facebook and WhatsApp. Wow. I mean, it's just full-on around the world now, you know.",It's full-on. It's full-on. And you mentioned Facebook and WhatsApp. Can you tell me a bit about how you use those?
And I believe that you are an Airbnb host?,T,jKIFMKsPMas_19,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Yeah. And have you always been like that?
Patient: Yes. Yes.
Therapist: Do you have a lot of social support?
Patient: Yes, I do. Yeah. Well, even more so now, now that the children have press-ganged me into Facebook and WhatsApp. Wow. I mean, it's just full-on around the world now, you know.
Therapist: Yeah, international friends.
Patient: Yes. Yes.","So you have a lot of friends and family, you're socially connected, and you mentioned you're worried about the health risks. Can you tell me about any other risks?"
