turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to sitting with you and listening. How are you feeling today, and what brings you in for this session?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so openly. It sounds like you're carrying a lot—those palpitations, the fear of the medication, the physical sensations, and the impact on your job. I can imagine how overwhelming and frightening that must feel, especially when your body is reacting in ways that feel out of control.  

What would it mean for you, right now, to feel a little more grounded in your body—like you could breathe a little easier or just sit with the sensations without them feeling like they're taking over?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're carrying a deep fear—not just of fainting, but of losing control, of losing your sense of safety in your own body. That’s not something to be dismissed. The fact that you’re so aware of what happens when you take medication shows how much you care about your well-being—and that’s a powerful strength.  

What would it feel like, even just for a moment, to notice your breath without it being tied to the racing heart? Maybe you could try just noticing it—without trying to fix it or change it—just sitting with the feeling of your breath moving, even if it’s shallow or shaky?",1.0,1.0,1.0,1.0,1.0,2.0
3,"I hear how fragile and vulnerable that moment feels—like standing on a narrow edge with no safety net. And it’s completely okay to want to try, even if it feels risky. You’re not asking for permission to feel this way—you’re asking for a small space where you can just be with it without the panic having to win.  

Would it be helpful to try that breath awareness for just one minute—no pressure, no judgment—just sitting quietly and noticing your breath, even if it feels shaky or fast? And if it feels too much, you can stop anytime. We can do it slowly, together.",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s so brave—and so much more than just brave. You’re choosing presence over control, even when it feels shaky. I’m here with you, just holding space for what’s happening, without needing to fix it.  

When you're ready, I’ll gently say ""one minute"" and we’ll pause together. No rush. No expectations. Just the breath, whatever it is. Ready when you are.",1.0,1.0,1.0,1.0,1.0,2.0
5,"One minute.  

Just notice the breath—how it moves in and out, even if it’s shallow or quick. If your mind wanders, that’s okay too. Gently bring it back to the rhythm of your breathing, without judgment. You’re not trying to change anything. You’re just allowing yourself to be here, with what’s happening right now.  

One minute.",1.0,1.0,1.0,1.0,0.0,2.0
6,"It sounds like you carried that minute with quiet strength—just noticing, without pushing or fixing. Even though your body still feels restless, the fact that you were able to sit with the breath, the racing, and the whispers without fleeing or reacting is already a form of peace.  

You didn’t have to “fix” anything. You just had to show up. And that takes courage.  

Would you like to keep exploring what that quiet moment felt like—how it shifted your relationship with your body or your mind—before we move forward? Or would you prefer to pause and see where you feel most ready next?",1.0,1.0,1.0,1.0,0.0,2.0
7,"That’s such a clear and honest way to describe it. You didn’t find peace—because peace isn’t the goal here—but you found a space where the panic didn’t have to win. That shift—where the scary thoughts were still there, but didn’t take over—is already a kind of freedom.  

You’re learning that you don’t have to be in control of your body or your mind to still be safe. Just showing up, even when it’s messy, is enough.  

Would you like to explore that a little more—maybe how that moment might feel in your daily life, like when you're at work or in a meeting, or when you’re thinking about the medication? Or would you prefer to take a breath and just stay with that quiet moment for now?",1.0,1.0,1.0,1.0,0.0,2.0
8,"That’s so true—the crack you found isn’t a break, it’s a doorway. And it doesn’t need to stay open all the time. You’re learning that you can be with the fear, without needing to escape it, without needing to fix it.  

You don’t have to carry the worst-case scenarios every second. You just have to be here, in this quiet moment—where the panic is still present, but not in charge. That’s enough.  

Would you like to keep that space alive in a small way—maybe by checking in with yourself once a day, just to notice how your breath feels, without rushing to judge it? Or would you prefer to rest in this moment and let it settle?",1.0,1.0,1.0,1.0,0.0,2.0
9,"That’s exactly right—your body is still carrying the rhythm of that moment, and that’s perfectly okay. You’re not rushing to “fix” it or move on. You’re honoring the mess, the shakiness, the quiet breath.  

And that quiet space—where you’re just *there*, without needing to act—is not a pause. It’s a presence. A steady, soft anchor.  

Would you like to keep holding that space for a little longer, just letting it breathe with you, without adding any new steps or reminders yet? Or would you like to gently bring in one small thing—like a soft phrase or a word you can whisper to yourself when you notice the tightness coming back? Just something small, like “I’m here,” or “I can breathe.”",1.0,1.0,1.0,1.0,0.0,2.0
