turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi, Anne. How you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,So you're feeling like the government is tracking you.,1.0,1.0,1.0,1.0,1.0,2.0
2,You're worried that you're being watched.,-1.0,-1.0,-2.0,-1.0,-1.0,1.0
3,You're feeling trapped.,1.0,1.0,1.0,1.0,1.0,2.0
4,So you're feeling like you're failing at everything.,1.0,1.0,1.0,1.0,1.0,2.0
5,It's all so overwhelming.,1.0,1.0,1.0,1.0,1.0,2.0
6,You're afraid the army draft is coming up.,1.0,1.0,1.0,2.0,1.0,2.0
7,You feel like you're running toward a terrible fate.,1.0,1.0,1.0,1.0,0.0,2.0
8,You feel like you're running toward a terrible fate.,1.0,0.0,0.0,1.0,0.0,2.0
9,You feel like you're stuck in a cycle.,1.0,0.0,0.0,1.0,0.0,2.0
10,It sounds like you're running toward it.,1.0,0.0,0.0,1.0,0.0,2.0
11,It sounds like you're running toward something terrible because you feel like you have no other choice.,1.0,0.0,0.0,1.0,0.0,2.0
12,It feels like a broken record.,1.0,0.0,0.0,1.0,0.0,2.0
13,It feels like you're running toward something terrible.,1.0,0.0,0.0,1.0,0.0,2.0
14,So you feel like you're running toward something terrible because you feel like you have no other choice.,1.0,0.0,0.0,1.0,0.0,2.0
15,It's just exhausting to feel like there are no options.,1.0,0.0,0.0,1.0,0.0,2.0
16,It's so overwhelming.,1.0,0.0,0.0,1.0,0.0,2.0
17,It feels impossible?,1.0,0.0,0.0,1.0,0.0,2.0
18,It feels like you're caught in a vicious cycle.,1.0,0.0,0.0,1.0,0.0,2.0
19,It feels like you're stuck in the middle.,1.0,0.0,0.0,1.0,0.0,2.0
