Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Eric, I see you did the homework this week.",T,I1F4hvfRC50_1,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,,"Hi Carly, how are you doing today?"
That's great. Let me take a look at it. Why don't you walk me through this?,T,I1F4hvfRC50_3,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: Eric, I see you did the homework this week.
Patient: I did, yeah.",You did?
Exactly.,T,I1F4hvfRC50_5,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,"Therapist: Eric, I see you did the homework this week.
Patient: I did, yeah.
Therapist: That's great. Let me take a look at it. Why don't you walk me through this?
Patient: Okay. So the thing I wrote about, I heard about this job opening for a line cook at this noodle place close to my house. I thought it was something I could actually do. I ended up driving to the place and sitting in the parking lot in my car for a while trying to talk myself into going in, and I ended up just driving back home. When I got back home, I was feeling pretty sad and kind of depressed. I know you said to do these things when my mood changed.","Okay, so you did hear about a job opportunity, you drove to the place, you sat in the parking lot, you were feeling a little bit depressed, and you drove back home. You were feeling pretty sad when you got home."
"I hear you. So I think you did a great job filling out the three columns. What I'd like to do today is move on to the fourth column, which is the rational response. We want to take an alternative point of view here. To help you do that, there are a couple of questions you can ask yourself. One is, what's the evidence for the thought, and the other is, what's the evidence against the thought?",T,I1F4hvfRC50_7,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,"Therapist: Eric, I see you did the homework this week.
Patient: I did, yeah.
Therapist: That's great. Let me take a look at it. Why don't you walk me through this?
Patient: Okay. So the thing I wrote about, I heard about this job opening for a line cook at this noodle place close to my house. I thought it was something I could actually do. I ended up driving to the place and sitting in the parking lot in my car for a while trying to talk myself into going in, and I ended up just driving back home. When I got back home, I was feeling pretty sad and kind of depressed. I know you said to do these things when my mood changed.
Therapist: Exactly.
Patient: So I started trying to get some of those thought things that you wanted. I just don't think I'm going to get the job. There's no way. Why are they going to hire me? So I don't know why I should try. What's the point? It feels like everyone else is going to be more qualified than me. I haven't worked in years, I didn't graduate college. I don't want to just get rejected again.",You don't want to get rejected again. It's understandable. I can see that's been painful for you.
So which of those thoughts do you want to focus on? Because you had several there.,T,I1F4hvfRC50_9,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: That's great. Let me take a look at it. Why don't you walk me through this?
Patient: Okay. So the thing I wrote about, I heard about this job opening for a line cook at this noodle place close to my house. I thought it was something I could actually do. I ended up driving to the place and sitting in the parking lot in my car for a while trying to talk myself into going in, and I ended up just driving back home. When I got back home, I was feeling pretty sad and kind of depressed. I know you said to do these things when my mood changed.
Therapist: Exactly.
Patient: So I started trying to get some of those thought things that you wanted. I just don't think I'm going to get the job. There's no way. Why are they going to hire me? So I don't know why I should try. What's the point? It feels like everyone else is going to be more qualified than me. I haven't worked in years, I didn't graduate college. I don't want to just get rejected again.
Therapist: I hear you. So I think you did a great job filling out the three columns. What I'd like to do today is move on to the fourth column, which is the rational response. We want to take an alternative point of view here. To help you do that, there are a couple of questions you can ask yourself. One is, what's the evidence for the thought, and the other is, what's the evidence against the thought?
Patient: Okay.",So let's start with the evidence for the thought. You said you don't think you're going to get the job. What's the evidence for that?
What's the point in trying? That sounds good. So what's the evidence for the thought?,T,I1F4hvfRC50_11,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Exactly.
Patient: So I started trying to get some of those thought things that you wanted. I just don't think I'm going to get the job. There's no way. Why are they going to hire me? So I don't know why I should try. What's the point? It feels like everyone else is going to be more qualified than me. I haven't worked in years, I didn't graduate college. I don't want to just get rejected again.
Therapist: I hear you. So I think you did a great job filling out the three columns. What I'd like to do today is move on to the fourth column, which is the rational response. We want to take an alternative point of view here. To help you do that, there are a couple of questions you can ask yourself. One is, what's the evidence for the thought, and the other is, what's the evidence against the thought?
Patient: Okay.
Therapist: So which of those thoughts do you want to focus on? Because you had several there.
Patient: I think the 'what's the point in trying'.","Okay, so the 'what's the point in trying' thought. What's the evidence for that thought?"
"Well, let's get this down.",T,I1F4hvfRC50_13,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,"Therapist: I hear you. So I think you did a great job filling out the three columns. What I'd like to do today is move on to the fourth column, which is the rational response. We want to take an alternative point of view here. To help you do that, there are a couple of questions you can ask yourself. One is, what's the evidence for the thought, and the other is, what's the evidence against the thought?
Patient: Okay.
Therapist: So which of those thoughts do you want to focus on? Because you had several there.
Patient: I think the 'what's the point in trying'.
Therapist: What's the point in trying? That sounds good. So what's the evidence for the thought?
Patient: That's where all the evidence is. I'm unemployed, I'm depressed...","All right, so you're unemployed and you're depressed. What's the evidence for that?"
"Well, it sounds like you have a lot of evidence supporting the thought. Anything else?",T,I1F4hvfRC50_15,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: So which of those thoughts do you want to focus on? Because you had several there.
Patient: I think the 'what's the point in trying'.
Therapist: What's the point in trying? That sounds good. So what's the evidence for the thought?
Patient: That's where all the evidence is. I'm unemployed, I'm depressed...
Therapist: Well, let's get this down.
Patient: Unemployed, I'm depressed. I just quit anyway. That's what's happened in all my other jobs. I'd probably stop showing up. I don't think I'd do a very good job even if I went. They're just going to pick somebody else. I don't have the energy.",You don't have the energy. You don't think you could do a good job. You're unemployed and depressed. You've quit a few jobs already. You don't think you could do a good job even if you went.
Right. So let's tackle the other question. What's the evidence against the thought?,T,I1F4hvfRC50_17,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,"Therapist: What's the point in trying? That sounds good. So what's the evidence for the thought?
Patient: That's where all the evidence is. I'm unemployed, I'm depressed...
Therapist: Well, let's get this down.
Patient: Unemployed, I'm depressed. I just quit anyway. That's what's happened in all my other jobs. I'd probably stop showing up. I don't think I'd do a very good job even if I went. They're just going to pick somebody else. I don't have the energy.
Therapist: Well, it sounds like you have a lot of evidence supporting the thought. Anything else?
Patient: I think that's it. It feels like a pretty solid case to me.",It feels pretty solid. I think that's a good way to go.
"Yeah, the evidence against 'what's the point.' It's kind of tough coming up with something. A lot of people when they get depressed have difficulty coming up with evidence opposing that particular thought. It seems like you were able to come up with a lot of evidence supporting the thought. Let's see if we can put our heads together and maybe come up with some evidence against the thought. I can ask you a couple of questions that might help you. Is there a time when you weren't depressed when you went and started working?",T,I1F4hvfRC50_19,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Well, let's get this down.
Patient: Unemployed, I'm depressed. I just quit anyway. That's what's happened in all my other jobs. I'd probably stop showing up. I don't think I'd do a very good job even if I went. They're just going to pick somebody else. I don't have the energy.
Therapist: Well, it sounds like you have a lot of evidence supporting the thought. Anything else?
Patient: I think that's it. It feels like a pretty solid case to me.
Therapist: Right. So let's tackle the other question. What's the evidence against the thought?
Patient: Evidence that there is a point?","Right, there is a point. What's evidence that there is a point to the thought?"
