ID,reference,prediction,NJ,WE,RA,AL,RF,SA,AVG
Kusv2J0M19E_1,"Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.","Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.",-1,0,-2,0,0,1,-0.3333333333333333
Kusv2J0M19E_3,Yeah.,Yeah.,0,0,0,0,0,2,0.3333333333333333
Kusv2J0M19E_5,"Yeah, so it's kind of hard to hear it that way.","Yeah, so it's kind of hard to hear it that way.",1,1,1,1,0,2,1.0
Kusv2J0M19E_7,It kind of surprised you?,It kind of surprised you?,1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_9,Just a little above average.,Just a little above average.,1,1,1,1,0,2,1.0
Kusv2J0M19E_11,It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,1,1,1,1,0,2,1.0
Kusv2J0M19E_13,"Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...","Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...",0,0,-2,0,0,1,-0.16666666666666666
Kusv2J0M19E_15,"Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.","Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.",1,0,0,1,0,2,0.6666666666666666
Kusv2J0M19E_17,Yeah.,Yeah.,0,0,0,0,0,2,0.3333333333333333
Kusv2J0M19E_19,"Because getting angry, saying things to people, not thinking things through, can really put you at risk.","Because getting angry, saying things to people, not thinking things through, can really put you at risk.",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_1,"Hi Lisa, how you doing today?","Hi Lisa, how you doing today?",0,0,-2,0,0,2,0.0
L1vluZ9uHMY_3,"I'm doing well, thanks for asking. It's nice to meet you, I'm glad you could come into the agency. Could you tell me what brings you here today?","I'm doing well, thanks for asking. It's nice to meet you, I'm glad you could come into the agency. Could you tell me what brings you here today?",1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_5,All right. So were you ordered by a court or...?,All right. So were you ordered by a court or...?,0,0,0,1,0,2,0.5
L1vluZ9uHMY_7,And how long ago did the crime occur?,And how long ago did the crime occur?,0,0,0,1,0,2,0.5
L1vluZ9uHMY_9,"All right. So I'm going to try to get an idea of what's going on with you to see where you fit in in terms of treatment. So it's an assessment, so I'll be asking you some questions about your history and kind of things that you've done, any feelings you've had, thoughts you've had.","All right. So I'm going to try to get an idea of what's going on with you to see where you fit in in terms of treatment. So it's an assessment, so I'll be asking you some questions about your history and kind of things that you've done, any feelings you've had, thoughts you've had.",0,0,-2,0,0,2,0.0
L1vluZ9uHMY_11,Like diagnosing. Is that okay with you?,Like diagnosing. Is that okay with you?,-1,0,-2,0,0,2,-0.16666666666666666
L1vluZ9uHMY_13,All right. So how old are you now?,All right. So how old are you now?,1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_15,All right. So you say about a month ago you got into some trouble. Can you tell me what happened there?,All right. So you say about a month ago you got into some trouble. Can you tell me what happened there?,0,0,0,1,0,2,0.5
L1vluZ9uHMY_17,And this was a friend of yours?,And this was a friend of yours?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_19,How do things stand between you and your friend now?,How do things stand between you and your friend now?,-1,0,-1,1,0,2,0.16666666666666666
L1vluZ9uHMY_21,Have you had any other trouble with the law?,Have you had any other trouble with the law?,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_23,And who's they?,And who's they?,1,0,1,1,0,2,0.8333333333333334
L1vluZ9uHMY_25,You remember doing it?,You remember doing it?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_27,And how old were you when that happened?,And how old were you when that happened?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_29,"Were you ever treated for that, like any type of mental health treatment?","Were you ever treated for that, like any type of mental health treatment?",-1,0,-2,0,0,1,-0.3333333333333333
L1vluZ9uHMY_31,Are you aware of any diagnosis that you've been given related to mental health in the past?,Are you aware of any diagnosis that you've been given related to mental health in the past?,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_33,All right. So you got into the sounds like a fairly serious fight when you were 12 and you're 25 now. Can you tell me what's happened in terms of any other problems between 12 and 25?,All right. So you got into the sounds like a fairly serious fight when you were 12 and you're 25 now. Can you tell me what's happened in terms of any other problems between 12 and 25?,-1,-1,-2,0,-1,1,-0.6666666666666666
L1vluZ9uHMY_35,Any other thefts or assaults or anything?,Any other thefts or assaults or anything?,-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_37,"All right. And how much danger were the people that you were fighting? Like, did you seriously hurt them or...?","All right. And how much danger were the people that you were fighting? Like, did you seriously hurt them or...?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_39,All right. How many times did that happen where you seriously hurt somebody?,All right. How many times did that happen where you seriously hurt somebody?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_41,"Can you explain what happened, like what caused the fight?","Can you explain what happened, like what caused the fight?",-1,0,-2,1,0,2,0.0
L1vluZ9uHMY_43,What are your feelings about that?,What are your feelings about that?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_45,Because of the way she looked at you?,Because of the way she looked at you?,1,1,0,1,0,2,0.8333333333333334
L1vluZ9uHMY_47,Do you ever have any feelings of guilt or remorse about that?,Do you ever have any feelings of guilt or remorse about that?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_49,Have you ever apologized to any of the people that were hurt?,Have you ever apologized to any of the people that were hurt?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_51,"Oh, so in some of these situations, apologizing was kind of required?","Oh, so in some of these situations, apologizing was kind of required?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_53,So you apologized to them but you didn't really mean it? Or what were you thinking?,So you apologized to them but you didn't really mean it? Or what were you thinking?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_55,Were you successful in getting out of trouble?,Were you successful in getting out of trouble?,-1,0,-2,0,0,2,-0.16666666666666666
L1vluZ9uHMY_57,You say that with a little pride. Is it something you take pride in? Being able to get out of trouble?,You say that with a little pride. Is it something you take pride in? Being able to get out of trouble?,-1,-1,-2,1,1,2,0.0
L1vluZ9uHMY_59,So that's like something you look at as like a skill that you have?,So that's like something you look at as like a skill that you have?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_61,"Have you ever for the theft type activities, you ever felt any guilt or remorse there?","Have you ever for the theft type activities, you ever felt any guilt or remorse there?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_63,It's kind of the same thing?,It's kind of the same thing?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_65,Were you ever the victim of a crime?,Were you ever the victim of a crime?,0,0,0,1,0,2,0.5
L1vluZ9uHMY_67,"Do you feel that you're good in working with people, like in terms of social skills?","Do you feel that you're good in working with people, like in terms of social skills?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_69,So you're effective at managing relationships to get what you want?,So you're effective at managing relationships to get what you want?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_71,How would you describe your mood most of the time?,How would you describe your mood most of the time?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_73,How often does that happen?,How often does that happen?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_75,All right. Does that irritability ever lead to or has ever led to some of the aggressiveness you've...?,All right. Does that irritability ever lead to or has ever led to some of the aggressiveness you've...?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_77,So you're more likely to be aggressive when you've been irritable for a while?,So you're more likely to be aggressive when you've been irritable for a while?,1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_79,When was the last time you were involved in a physical fight?,When was the last time you were involved in a physical fight?,1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_81,About five years ago?,About five years ago?,1,0,1,1,0,2,0.8333333333333334
L1vluZ9uHMY_83,What do you think has caused that to stop?,What do you think has caused that to stop?,1,0,1,1,0,2,0.8333333333333334
L1vluZ9uHMY_85,What type of things?,What type of things?,1,0,1,1,0,2,0.8333333333333334
L1vluZ9uHMY_87,So the stealing's more gratifying than the fighting?,So the stealing's more gratifying than the fighting?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_89,"So irritable and any other emotions, any other feelings?","So irritable and any other emotions, any other feelings?",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_91,All right. You have a job?,All right. You have a job?,-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_93,Can you tell me about your work performance and your experience there?,Can you tell me about your work performance and your experience there?,0,0,-2,1,0,2,0.16666666666666666
L1vluZ9uHMY_95,You show up most of the time?,You show up most of the time?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_97,How would your employer describe you as an employee?,How would your employer describe you as an employee?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_99,"All right. So in terms of your feelings about missing work, that's not too worrisome for you?","All right. So in terms of your feelings about missing work, that's not too worrisome for you?",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_101,How many jobs have you had?,How many jobs have you had?,1,1,1,1,1,2,1.1666666666666667
