Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi Jason, how are you doing today?",T,UxCT6zVPk7A_1,0.0,0.0,-2.0,0.0,0.0,2.0,0,0,-2,0,0,2,,"Hi, Carly. I'm Angie. How are you doing today? How things been going since we last met? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the"
You're good?,T,UxCT6zVPk7A_3,0.0,0.0,-2.0,0.0,0.0,2.0,0,0,0,1,0,2,"Therapist: Hi Jason, how are you doing today?
Patient: I'm here.","Hi, Carly. I'm your counselor today. Can you tell me how things are going? How things went last week? How things are going this week? How things are going this week? How things are going this week? How things are going this week? How things are going this week? How things are going this week? How things are going this week? How things are going this week? How things are going this week? How things are going this week? How things are going this week? How things are going this week? How things are going this week? How things are going this week? How things are going this"
You're here?,T,UxCT6zVPk7A_5,0.0,0.0,0.0,0.0,0.0,2.0,-1,0,-2,0,0,1,"Therapist: Hi Jason, how are you doing today?
Patient: I'm here.
Therapist: You're good?
Patient: I'm here, that's, that's all I can say, I'm just here.","Hi, I'm Dr. Bob. How are you doing today? How things been going? How things been going since the last time we met? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been"
What's been going on?,T,UxCT6zVPk7A_7,0.0,0.0,0.0,0.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: Hi Jason, how are you doing today?
Patient: I'm here.
Therapist: You're good?
Patient: I'm here, that's, that's all I can say, I'm just here.
Therapist: You're here?
Patient: Yes.","Hi, I'm Dr. Bob. How are you doing today? How things been going? How things been going since the last time we met? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been going? How things been"
Do you know what you're charged with?,T,UxCT6zVPk7A_9,-1.0,-1.0,-2.0,0.0,0.0,1.0,1,1,1,1,1,2,"Therapist: You're good?
Patient: I'm here, that's, that's all I can say, I'm just here.
Therapist: You're here?
Patient: Yes.
Therapist: What's been going on?
Patient: So I've been made to come in and talk to you because something happened on the bus and I might have said something to somebody and they're just like, oh you can't say that, so they actually said, oh we're going to take you to jail. From jail they just brought me here.","So you were on the bus, you said something, somebody said something to you, and then they took you in?"
The government? Do you have anyone specific?,T,UxCT6zVPk7A_11,1.0,0.0,0.0,1.0,0.0,2.0,1,0,1,1,0,2,"Therapist: You're here?
Patient: Yes.
Therapist: What's been going on?
Patient: So I've been made to come in and talk to you because something happened on the bus and I might have said something to somebody and they're just like, oh you can't say that, so they actually said, oh we're going to take you to jail. From jail they just brought me here.
Therapist: Do you know what you're charged with?
Patient: They didn't explain anything. The government never explains anything. They just don't want me to understand what's going on because they just want to keep me held in captivity.",What do you know about the charges?
And how long have they been wanting to do this to you?,T,UxCT6zVPk7A_13,1.0,0.0,-2.0,0.0,0.0,2.0,1,1,1,1,1,2,"Therapist: What's been going on?
Patient: So I've been made to come in and talk to you because something happened on the bus and I might have said something to somebody and they're just like, oh you can't say that, so they actually said, oh we're going to take you to jail. From jail they just brought me here.
Therapist: Do you know what you're charged with?
Patient: They didn't explain anything. The government never explains anything. They just don't want me to understand what's going on because they just want to keep me held in captivity.
Therapist: The government? Do you have anyone specific?
Patient: No, it's the entire government. Entire government.",Okay. And what do you know about the government? Tell me. Tell me everything you know about the government. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell me everything. Tell
Always there?,T,UxCT6zVPk7A_15,1.0,1.0,1.0,1.0,0.0,2.0,-1,-1,-2,-1,0,1,"Therapist: Do you know what you're charged with?
Patient: They didn't explain anything. The government never explains anything. They just don't want me to understand what's going on because they just want to keep me held in captivity.
Therapist: The government? Do you have anyone specific?
Patient: No, it's the entire government. Entire government.
Therapist: And how long have they been wanting to do this to you?
Patient: All my life. They've done this all my life. They, they're always listening, they're always around, they're always there.",And how do you know that? How do you know that they're listening?
You've been taking medications?,T,UxCT6zVPk7A_17,1.0,1.0,1.0,1.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: The government? Do you have anyone specific?
Patient: No, it's the entire government. Entire government.
Therapist: And how long have they been wanting to do this to you?
Patient: All my life. They've done this all my life. They, they're always listening, they're always around, they're always there.
Therapist: Always there?
Patient: Always there. Like for example, they're in the lights right now. They're listening to everything that we're talking about, so that's the reason why I really can't talk about what happened on the bus because they're just going to use that against me and then just lock me up again and make me take more meds.",Okay. So you feel like they're listening to you right now?
Do you know what they want to do with that information?,T,UxCT6zVPk7A_19,-1.0,-1.0,-2.0,0.0,0.0,1.0,1,1,1,1,1,2,"Therapist: And how long have they been wanting to do this to you?
Patient: All my life. They've done this all my life. They, they're always listening, they're always around, they're always there.
Therapist: Always there?
Patient: Always there. Like for example, they're in the lights right now. They're listening to everything that we're talking about, so that's the reason why I really can't talk about what happened on the bus because they're just going to use that against me and then just lock me up again and make me take more meds.
Therapist: You've been taking medications?
Patient: Yes, I take the medication because if I don't take the medication, the government comes and takes me away and puts me into a hospital where they force-feed me the medication and then the lights are always on and they could always hear everything that I'm saying and what I'm thinking and what I'm going to do.",Okay. And how about the medication that you're taking? How about the side effects of thates?
