turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,It's clear you're struggling with a lot. How have things been in general?,1.0,0.0,1.0,1.0,0.0,2.0
2,You feel like you're stuck in a situation where you have very little control.,-1.0,-1.0,-2.0,-1.0,-1.0,1.0
3,"It's understandable that you'd feel guilty for being upset, but it's clear that you're feeling a lot of pressure from your husband and you feel like you can't find a way out.",-1.0,0.0,-2.0,1.0,0.0,2.0
4,"You're doing a lot for your family, and it's clear that you're feeling very overwhelmed.",1.0,1.0,1.0,1.0,1.0,2.0
5,It's very understandable that it's hard to feel good when you're running so hard and being pushed so hard at the same time.,1.0,1.0,1.0,1.0,1.0,2.0
6,It's understandable that it would be hard to find a way out if you feel completely stuck and trapped.,1.0,1.0,1.0,1.0,1.0,2.0
7,It seems like you're stuck in a very difficult situation where you're feeling completely overwhelmed and trapped.,1.0,1.0,0.0,1.0,0.0,2.0
8,"You've been wanting to die for a while, but it's clear that you're also very much alive and aware of how difficult it is to be a mother, wife, and employee all at the same time.",1.0,1.0,0.0,1.0,0.0,2.0
9,"You know, deep down, you know that you're not strong enough to let go.",1.0,1.0,0.0,1.0,0.0,2.0
10,"You're exhausted, irritable, and you're feeling very alone in your struggle.",1.0,1.0,0.0,1.0,0.0,2.0
11,"You're caught in a vicious cycle where your depression is making it hard for your husband to function, and the way you try to fix it is making things worse.",1.0,1.0,0.0,1.0,0.0,2.0
12,"Sometimes it seems like you're in a place where you want to stop trying to control the situation and just let it go, but it's hard to know where that is.",1.0,1.0,0.0,1.0,0.0,2.0
13,"It's hard to imagine how you could do it, but it seems like you have some thoughts about stopping work or taking a break.",1.0,1.0,0.0,1.0,0.0,2.0
14,"You're trapped in a situation where your attempts to fix it make it worse, and your attempts to stop make you feel guilty.",1.0,1.0,0.0,1.0,0.0,2.0
15,It's a constant struggle to balance your own well-being with the needs of your family and work.,1.0,1.0,0.0,1.0,0.0,2.0
16,"You're completely exhausted and you're trying to survive another night with all the pressures of work, home, and your relationship.",1.0,1.0,0.0,1.0,0.0,2.0
17,"It's clear that you're struggling with a lot, and it's affecting all areas of your life.",1.0,1.0,0.0,1.0,0.0,2.0
18,You're both in a place where you're hyper-aware of each other's pain and trying to navigate around it.,1.0,1.0,0.0,1.0,0.0,2.0
19,You're trapped in a loop where your exhaustion and stress are affecting your home and work life.,1.0,1.0,0.0,1.0,0.0,2.0
