turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,The red spots on your arm?,1.0,0.0,0.0,1.0,0.0,2.0
2,"You feel like you're in a state of constant hypervigilance, right? It's very scary. And the thought of a bat bite can be very distressing. I can understand how you would be anxious if you saw something that looked like a bat bite.",1.0,0.0,-2.0,1.0,0.0,2.0
3,"You feel like you're losing control of your own mind. It's very frightening. I can understand that if you feel like you're losing control, it's very scary and difficult to be able to control your own mind. But if I look at you, you seem very much in control of your situation right now. It seems like you're in a state of hypervigilance, but you seem to be able to assess that in a way that's very clear.",-1.0,-1.0,-2.0,1.0,-1.0,1.0
4,"You're assessing the situation in a way that seems very logical and detached, almost as if you're looking at it from a distance. But that's where I feel like we're missing something. I feel like there's a part of you that is screaming with fear and anxiety, but you're trying to be very logical and very detached about it. I think that's where a lot of the anxiety is coming from, because it seems to me that you're trying to stay detached and logical, but you're also trying to stay in control of a situation that seems to be spiraling out of control.",1.0,1.0,1.0,2.0,1.0,2.0
5,"Sometimes it seems like you're not in control of your own mind. It's very frightening. And it's understandable. It does seem like you're in a state of constant hypervigilance. It's very difficult to function when you feel like you're always in a state of emergency. I can imagine how exhausting it must be for you to feel like your body is on high alert all the time, even when there's no clear threat.",1.0,1.0,1.0,2.0,1.0,2.0
6,"Sometimes it seems like if you just stop and breathe hard enough, if you can just imagine a way out of this, you can stop the anxiety and the panic. I can understand that. But it's very difficult to try to stop and breathe when you're in a state of constant hypervigilance, where your heart is racing, your hands are shaking, and you feel like you're already in a state of emergency. It's very difficult to try to stop and take a breath.",1.0,0.0,0.0,1.0,0.0,2.0
7,"You're stuck in a cycle where you know you need to stop and slow down, but the more you try to control it or analyze it, the more you panic and your breathing becomes worse. It's very difficult to break that cycle when you feel like you're being attacked by a threat that's all around you, and your logical attempts to control it make it seem even more dangerous.",1.0,0.0,0.0,1.0,0.0,2.0
8,"The irony is that the more you try to control it, the more it controls you. I feel like you're right in that moment. You're trying to force yourself to stop and breathe, but your body feels like it's already in a state of emergency, and that's where you're feeling trapped and guilty for not being able to stop it.",1.0,0.0,0.0,1.0,0.0,2.0
9,"It feels like a vicious cycle, a feedback loop that's making it worse. I can understand that. It's very difficult to try to control a situation where you know you're in a state of hypervigilance and your body is reacting with fear and anxiety, but the more you try to control it, the more it seems to control you. And you're right, it does feel like a vicious cycle.",1.0,0.0,0.0,1.0,0.0,2.0
10,"It feels like you're running on a treadmill where you're trying to move forward, but the ground is closing in. I can understand that. It's very difficult to try to move forward in a situation where you feel like you're being attacked by something invisible, and the more you try to prove to yourself that you're in control, the more evidence you seem to create in your own mind that proves you're losing control.",1.0,0.0,0.0,1.0,0.0,2.0
11,"The enemy is your own logical, reality-based response being overridden by this intense anxiety and panic response. I can understand that. It's very difficult to try to move forward when you feel like you're being attacked by a monster in the room, and you're trying to run from that monster while the more you try to escape, the more the monster seems to be following you.",1.0,0.0,0.0,1.0,0.0,2.0
12,"If you admit you might be spiraling into a state of anxiety or panic, it feels like you're admitting weakness or failure. And that makes you feel guilty, like you're selfish for being anxious when your daughter is being sick and you're trying to take care of her.",1.0,0.0,0.0,1.0,0.0,2.0
