turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to this conversation. I want you to know that whatever you share with me—no matter how small or big—will be held with care, respect, and confidentiality. How have you been feeling lately, and what’s been on your mind that you’d like to talk about today?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so openly—I can feel how deeply this is affecting you, and I want you to know that your pain is real, and it’s okay to carry it. It sounds like you’ve been carrying a lot of internal tension, and that panic attack was just a breaking point for something that had been building. I’m here with you, and I’m listening without judgment.  

What would it mean to you, right now, if we could just sit with this feeling together—without trying to fix it right away? Is there one thing you’d like to explore more, or a part of this that feels most heavy to carry?",1.0,1.0,-2.0,1.0,0.0,2.0
2,"It sounds like you're carrying a profound sense of being overwhelmed—like the world is too loud and too heavy to bear. And that hopelessness isn’t just a feeling; it’s a deep ache that’s been sitting there, growing louder with every passing moment.  

I want you to know that it’s completely valid to feel this way, and that your pain isn’t a failure of willpower or strength—it’s a signal that something important in you is struggling to breathe. Would it be helpful to gently explore what that hopelessness feels like, in your body, when it comes up? Or if there’s a particular moment—something small or quiet—that feels most true to that feeling?",1.0,1.0,1.0,1.0,1.0,2.0
3,"I can feel how deeply that moment was felt—like your body was trying to protect itself, and your mind was caught in a loop of fear. That tightness in your chest and the churning in your stomach? That’s not just a reaction—it’s your body’s way of saying, *“I can’t keep going like this.”*  

And the fact that you noticed it, that you stayed with it, that you described it so clearly—that’s already a form of courage. Would it be helpful to just stay with that moment for a little while, as if you’re sitting with it like a friend who’s been through something hard? Maybe you could notice how your breath moves, even if it’s shallow, and just let yourself feel that tension without pushing it away?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s so powerful—your ability to notice the breath, the tightness, the nausea, without trying to fix it, is already a quiet act of strength. And yes, it’s true: when you stop pushing, when you stop telling yourself to “calm down,” the body often begins to soften, even if it takes time.  

Would it be okay to just stay with that right now—this quiet, heavy space—without adding anything else? Just let your breath move, even if it’s shallow, and know that this feeling, this storm, doesn’t have to be the end of you. It’s just part of what you’re carrying, and you’re not alone in it.",1.0,0.0,0.0,1.0,0.0,2.0
5,"Thank you for being here—your presence in this moment is already a gift. I can feel how deeply you’re allowing yourself to be with the tightness, the stillness, the quiet ache. It’s not about fixing anything right now. It’s about showing up with your whole self, without judgment or pressure.  

And in that showing up, something gentle is beginning to unfold—like a breath that doesn’t have to be strong to be real, or a feeling that doesn’t have to be gone to be valid.  

Would you like to stay with this for a little longer, just as it is? Or would you like to gently shift toward something else—like naming one small thing that’s been true in this moment, even if it’s just a small breath or a quiet feeling?",1.0,0.0,0.0,1.0,0.0,2.0
6,"I’m so glad you’re allowing this space to hold you—your heart still racing, your chest still tight, but no longer trying to push it away. That quiet presence, that willingness to just *be* in the mess, is already a form of healing.  

And yes, we’ll stay here—just breathing, together, without needing to fix, name, or move. You’re not carrying this alone. You’re simply being held.  

Would you like to stay like this for a little longer, or would you like to gently bring in one small thing—something small, quiet, and true—that you’ve noticed in this moment, even if it’s just a breath or a feeling?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s so deep and so true—your ability to notice the shift from a screaming tightness to a heavy blanket, from urgency to stillness, is already a quiet victory. And that quiet sense of *being here*, even when everything feels broken, is not fragile—it’s powerful.  

We’ll keep breathing together, just as you are. No rush, no fixing, just presence. In this stillness, you’re not just surviving—you’re being seen, and that is enough.  

Would you like to stay in this space a little longer, or would you like to gently bring in one small thing—the kind of thing that might feel like a thread of light in this moment? Even if it’s just a breath, a sensation, or a thought that’s been there all along?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s such a beautiful, quiet truth—the realization that *you are allowed to be scared*—and how it feels like a crack of light in the dark. It doesn’t need to be big or loud to be meaningful. It just needs to be true, and you’ve already found it.  

And in that small space of permission—*you can be afraid, and still be okay*—something shifts. Not because you’ve fixed anything, but because you’ve finally let yourself be in the fullness of it, without needing to perform.  

Would you like to keep holding onto that feeling of being allowed to be afraid, or would you like to gently name one small sensation—like a breath, a sound, or a temperature—that feels grounded in this moment, just to keep the thread of light visible?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s so gentle and so true—your fear isn’t an attack, it’s just a part of you, like a breath or a heartbeat. And by naming that permission—*you are allowed to be afraid*—you’re not just surviving. You’re creating space for yourself to exist fully, without needing to prove you’re strong.  

Would you like to notice one small sensation right now—something quiet, like the cool air on your arms, or the way your feet rest on the floor? Just one thing, without trying to fix it or make it better. Just noticing it, like it’s a quiet gift from the world, saying, *“You’re here.”*",1.0,0.0,0.0,1.0,0.0,2.0
10,"That’s so beautiful—those small sensations, the cool air on your arms, the quiet weight of your feet on the floor—they’re not insignificant. They’re like quiet invitations from the world to say, *“You are here. You are real. You are not just in your thoughts.”*  

And in that, you’re already anchored—not by strength, not by fixing, but by simply noticing. That’s enough. That’s deeply enough.  

Would you like to stay with that anchor just a little longer, or would you like to gently bring in one more small thing—something new, or something you’ve already noticed—that feels like a quiet thread of presence in this moment?",1.0,0.0,0.0,1.0,0.0,2.0
11,"That’s such a quiet, powerful truth—the safety that comes not from fixing or being ""okay,"" but from simply being seen, even when you’re broken. That feeling—soft, invisible, like a breath of warmth—doesn’t need to be loud or strong to be real.  

And in that, you’re not just holding onto sensations. You’re holding onto belonging. You’re saying, *“I am not alone in this.”*  

Would you like to stay with that quiet sense of being seen, or would you like to gently name one more small thing—the kind of thing that might feel like a quiet promise from this moment, even if it’s just a breath, a shift in your body, or a thought that’s been there all along?",1.0,0.0,0.0,1.0,0.0,2.0
12,"That’s such a gentle and profound shift—your shoulders dropping, not because you’re weak, but because you’ve finally let gravity do its work. And that warmth spreading from your chest into your stomach? It’s not just a physical sensation—it’s a quiet sign that your body is remembering how to breathe, how to rest, how to *receive* something gentle.  

You’re not fixing anything. You’re just showing up, and in showing up, your body is beginning to trust itself again.  

Would you like to stay with that warmth, or would you like to gently name one more small thing—something quiet, present, and true—that’s happening right now, just as it is?",1.0,0.0,0.0,1.0,0.0,2.0
13,"That breath—slow, steady, just *there*—is a quiet revolution. It’s not about fixing the past or escaping the fear. It’s about returning to the rhythm of your own body, one breath at a time.  

And in that rhythm, you’re not just breathing—you’re remembering how to belong to yourself, how to be present, how to carry this moment without needing to fight it.  

Would you like to keep resting in that breath, or would you like to gently notice one more small thing—something simple, like the way your fingers feel on the table, or the way your heart still beats, steady and quiet, like it’s just doing its job?",1.0,0.0,0.0,1.0,0.0,2.0
14,"That’s such a tender, grounded truth—the way your fingertips touch the table, warm and slightly damp, solid and real. It’s not about strength or control. It’s about connection.  

And in that small contact—your fingers meeting the surface—there’s a quiet promise: *You are here. You are present. You are not alone in this moment.*  

The world is holding you up, not because you did anything, but because you simply showed up, and you allowed yourself to feel.  

Would you like to keep resting in that contact, or would you like to gently bring in one more small thing—something quiet, like the way your neck feels now, or the way your eyes are open, or the stillness between your breaths?",1.0,0.0,0.0,1.0,0.0,2.0
15,"That’s so true—the softness of your eyes, open and tired, not fighting, just *being*. And that gentle release in your neck? It’s not weakness—it’s surrender, and in that surrender, your body is finally allowing itself to rest.  

It feels like someone quiet and steady has been holding space for you all along—not with words, not with fixing, but simply by being *present*, just like this.  

Would you like to stay with that softness in your eyes and the quiet weight in your neck, or would you like to gently notice one more small thing—something gentle, like the way your jaw is releasing, or the way your lips are resting, or the stillness in your chest between breaths?",1.0,0.0,0.0,1.0,0.0,2.0
16,"That’s such a quiet, beautiful release—the way your jaw softens, the lips gently parted, warm and open. It’s not about strength or control. It’s about returning to the natural shape of your body, the way it was before it was trying to hold everything together.  

And underneath it all—that stillness, that softness—you’re not just relaxing. You’re remembering how to be *you*, not the version you were trying to protect yourself from.  

Would you like to stay with that softness, or would you like to gently notice one more small thing—something quiet, like the way your breath still flows, or the way your hands are resting, or the way your heart is still beating, steady and quiet?",1.0,0.0,0.0,1.0,0.0,2.0
17,"That’s such a quiet, powerful truth—the way your hands rest, heavy but grounded, no longer racing or trying to hold anything. The slight tremor you noticed? It wasn’t a flaw. It was a signal of how much you’ve been carrying, and now, simply by staying here, it’s beginning to settle.  

And in that stillness—your hands resting, warm and quiet—there’s a kind of belonging. Not because everything is fixed, but because you’re finally allowed to be present, even when your body still remembers what it’s been through.  

Would you like to keep resting in that stillness, or would you like to gently notice one more small thing—something tender, like the way your fingers are touching the fabric of the chair, or the way your palms feel slightly warm against your thighs, or the way your breath still moves, slow and steady?",1.0,0.0,0.0,1.0,0.0,2.0
18,"That’s such a tender, ordinary miracle—the way your fingertips trace the fabric, not with force, but with gentle curiosity. And that warmth in your palms, steady and quiet, like two pieces of paper pressed together? It’s not just physical. It’s emotional. It’s the body saying, *I’m here. I’m safe. I’m not alone.*  

You didn’t have to fix anything. You just had to *notice*. And in noticing, your hands—once restless, once trembling—became a quiet anchor.  

Would you like to stay in that gentle touch, or would you like to gently bring in one more small thing—something soft, like the way your breath still flows, or the way your toes feel on the floor, or the way your shoulders are now resting, no longer holding the weight?",1.0,0.0,0.0,1.0,0.0,2.0
19,"That drop in your shoulders—so gentle, so quiet—feels like the first true breath of peace after years of holding everything up. It’s not just relaxation. It’s release. A quiet surrender to the fact that you don’t have to carry the world on your back anymore.  

And in that stillness, the weight of it all becomes something you can feel, not fight. It’s not gone. It’s just no longer pulling you forward.  

Would you like to stay in that gentle release, or would you like to gently notice one more small thing—something tender, like the way your spine is now straightening, or the way your breath is flowing deeper, or the way your eyes are still soft, open, and quiet?",1.0,0.0,0.0,1.0,0.0,2.0
