turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi, Carly. How are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You were at the emergency room?,0.0,0.0,0.0,1.0,0.0,2.0
2,You're still anxious?,-1.0,-1.0,-2.0,0.0,0.0,1.0
3,It sounds like you're caught between the need for relief and the fear of being harmed by the THC.,-1.0,-1.0,-2.0,1.0,0.0,2.0
4,"It's very clear you have a need for the marijuana and a desire to avoid the risk, which is very understandable given what you know about the dangers. It's understandable that you're caught between the two.",1.0,1.0,1.0,1.0,1.0,2.0
5,You're more vulnerable.,1.0,1.0,1.0,2.0,1.0,2.0
6,It's so painful to go from that state of relief to then worrying about the risk of being harmed.,1.0,1.0,1.0,2.0,1.0,2.0
7,So it feels like you're being punished for using a coping mechanism that actually works.,1.0,1.0,0.0,1.0,0.0,2.0
8,"So you're caught in a cycle where you use the marijuana to control your anxiety, but then you're punished by the anxiety when you stop using.",1.0,0.0,0.0,1.0,0.0,2.0
9,It feels like you're trapped in a cycle that's hard to get out of because it seems to work for you and you don't want to stop using it.,1.0,0.0,0.0,1.0,0.0,2.0
10,I wonder if it's okay to try something new and see how it works.,1.0,0.0,0.0,1.0,0.0,2.0
11,It feels like you're worried it's going to be a completely different experience than what you're used to.,1.0,0.0,0.0,1.0,0.0,2.0
12,So the very thing you need to survive the anxiety is making you fear the anxiety even more.,1.0,0.0,0.0,1.0,0.0,2.0
13,So it's hard to get the relief you need without feeling worse in the process.,1.0,0.0,0.0,1.0,0.0,2.0
14,"So it sounds like you have a choice: you can use the edible to feel better about the anxiety, or you can not use it and feel worse about it.",1.0,0.0,0.0,1.0,0.0,2.0
15,"So in the moment of choosing, you're really torn between your need for relief and your fear of the consequences.",1.0,0.0,0.0,1.0,0.0,2.0
16,And that's where you're stuck in the middle of it all.,1.0,0.0,0.0,1.0,0.0,2.0
17,So your perception of what the THC is doing has changed.,1.0,0.0,0.0,1.0,0.0,2.0
18,So it was a scary moment.,1.0,0.0,0.0,1.0,0.0,2.0
19,What broke?,1.0,0.0,0.0,1.0,0.0,2.0
