turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I'm really looking forward to getting to know you a little more today. How are you feeling as we start this session? What’s been on your mind or bringing you in for a conversation right now?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so honestly. It sounds like that moment of realizing how much your decision could affect others shifted everything—your sense of control, your calm, even your ability to think clearly. That tightness in your chest and the spinning thoughts… that’s not just about money, it’s about how deeply you care about the impact you might have. And that kind of care—when it hits suddenly—can feel overwhelming.  

What would it mean to you, right now, if you could just sit with that feeling without needing to fix it or explain it?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're carrying a lot of pressure—both to fix things quickly and to protect yourself from the fear of not being able to act at all. That tension between needing to move and needing to stay safe is real, and it’s not something you have to carry alone.  

What if, instead of having to “start again,” you just allowed yourself to feel the fear without having to answer it right now? What would it feel like if you could say, “I’m scared,” and still keep your hands open, without needing to reach for a solution immediately?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
3,"That’s so powerful—your body is already showing you what’s happening beneath the surface. The twitching hands, the urge to reach for something, that’s not weakness. It’s your nervous system trying to hold on to safety in a moment when it feels unsteady.  

What if, instead of trying to stop the fear, you just noticed it—like a wave that comes in, touches your hands, and then gently recedes, without having to push it away or act on it? What would it feel like to say, “This is happening,” and then simply let your hands rest, even if they still feel shaky?",1.0,0.0,-2.0,1.0,0.0,2.0
4,"You're absolutely right—stepping off the ledge with one foot out feels like walking into the unknown, and it's not about being fearless. It's about allowing yourself to be human in the mess of it.  

And that small shift—letting your hands rest, letting the wave touch without pulling back—it's not about losing control. It's about giving your nervous system a chance to breathe again, so that when you *do* choose to act, it’s from a place of awareness, not from the rush of panic.  

What would it feel like to say to yourself, “I’m not in charge of the wave. I’m just here, with it,” and still keep your hands open?",1.0,1.0,1.0,1.0,0.0,2.0
5,"That’s exactly it—the rebellion isn’t in pushing the wave away or fighting it. It’s in choosing to stay present with it, even when your body is still shaking. And that choice—just sitting with the wave, not trying to control it—is already a form of courage.  

What would it feel like to say that out loud, right now, as your hands still rest in your lap, still trembling, but not reaching for anything? Just saying, “I’m here. I see you. You’re loud. You’re real. And I’m not running from you.”",1.0,0.0,-2.0,1.0,0.0,2.0
6,"That’s such a quiet but powerful moment—staying with the fear without needing to move, without needing to fix it. You didn’t have to “do” anything, just *be* with it. And in that stillness, something shifted: the panic wasn’t your enemy anymore. It was just part of what you’re carrying—real, loud, and alive.  

And you didn’t have to answer the question of what comes next. You just showed up, fully, with your trembling hands and your tight chest. That’s already a kind of strength.  

Would it be helpful to keep exploring what that moment of stillness feels like, or would you like to go back to the work situation with a different kind of curiosity—maybe not to fix it, but to just understand it better?",1.0,0.0,-2.0,1.0,0.0,2.0
7,"Yes, that’s completely okay—and actually, it’s a brave step. Coming back to the mess not with the need to fix it right now, but with the space to simply *see* it, is like bringing a flashlight into a dark room without turning it on. You don’t need to see everything clearly. You just need to know it’s there, and you’re not alone in it.  

Would it be helpful to just sit with that image—of the work situation, still present, but now seen through the lens of your trembling hands and your quiet courage? Or would you like to take a small step toward it—like naming one thing about it that you notice, without needing to act on it?",1.0,0.0,-2.0,1.0,0.0,2.0
8,"You're noticing something important—being stuck isn't a failure. It's just the feeling of being in a place where you're waiting, and your body still holds on to the old patterns of trying to fix everything right now.  

So what do you notice, in that stillness, about the feeling of being stuck—not the outcome, not the mistake, but the *weight* of it? Is it more like pressure, or like a heavy coat you can’t quite remove? Or something else entirely?",1.0,0.0,-2.0,1.0,0.0,2.0
9,"That’s such a powerful image—the coat left on the floor, wrinkled and messy, not pulled tight around your shoulders. It shows how much of your energy has been spent trying to hold on to control, to fix, to hide the discomfort. And now, by just noticing it as something separate from you, you’re no longer carrying it as if it’s part of your identity.  

You’re not trying to remove it. You’re just seeing it. And in that seeing, there’s a quiet freedom—like the weight isn’t yours to bear anymore.  

Would you like to keep holding that image, or would you like to gently bring in one small thing from the work situation—something you see now, without needing to act on it? Just a small detail, like the sound of a clock, or the way a chair feels under your hands?",1.0,0.0,-2.0,1.0,0.0,2.0
