turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi, how are you doing today?",0.0,0.0,0.0,0.0,0.0,2.0
1,"You're feeling really vulnerable, maybe even like you're failing.",1.0,1.0,1.0,1.0,1.0,2.0
2,"You're having a tough time, but you're also doing well in many areas. This is a normal part of life.",1.0,1.0,1.0,1.0,1.0,2.0
3,You're right. I think it's important to validate your feelings and perspective. It makes sense that a physical illness would trigger a panic.,1.0,0.0,-2.0,1.0,0.0,2.0
4,"It's a weird situation, but it's not uncommon. When you're under stress from a physical illness, your nervous system can get so much more reactive to anything else going on.",-1.0,0.0,-2.0,1.0,0.0,2.0
5,"It makes sense that you'd feel guilty. You've been doing really well for so long, and this relapse is so painful and unexpected.",1.0,1.0,1.0,1.0,1.0,2.0
6,"I think it's important to acknowledge that this is tough. But at the same time, you've been doing really well for so long. This is a relapse, but it doesn't mean you're a failure or that you've been cured before.",1.0,1.0,1.0,1.0,1.0,2.0
7,I think it makes sense that you'd be feeling this way. It's really tough to have to deal with a relapse right now.,1.0,1.0,0.0,1.0,0.0,2.0
8,So you're feeling really isolated and different from other people.,1.0,1.0,0.0,1.0,0.0,2.0
9,It's tough to have to deal with all this right now.,1.0,1.0,0.0,1.0,0.0,2.0
10,I think it's important to acknowledge that this is really tough for you right now.,1.0,1.0,0.0,1.0,0.0,2.0
11,"Well, first of all, I think it's important to acknowledge that this is really tough for you right now.",1.0,1.0,0.0,1.0,0.0,2.0
12,"Well, first of all, I think it's important to acknowledge that this is really tough for you right now.",1.0,1.0,0.0,1.0,0.0,2.0
13,I think it's important to acknowledge that this is really tough for you right now.,1.0,1.0,0.0,1.0,0.0,2.0
14,"Well, I can see that you're really struggling with this.",1.0,1.0,0.0,1.0,0.0,2.0
15,"Well, I can see that this is really hard for you.",1.0,1.0,0.0,1.0,0.0,2.0
16,"Well, it sounds like you're really struggling with this.",1.0,1.0,0.0,1.0,0.0,2.0
17,"Well, I can see that you're really frustrated and disappointed.",1.0,1.0,0.0,1.0,0.0,2.0
18,"Well, I can see that you're really frustrated and disappointed.",1.0,1.0,0.0,1.0,0.0,2.0
19,"Well, I can see that you're really frustrated and disappointed.",1.0,1.0,0.0,1.0,0.0,2.0
