turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to spending some time with you today. How are you feeling, and what brings you in for this session?",0,1,1,1,0,2
1,It sounds like you’ve been carrying a deep sense of uncertainty and confusion for a long time—like you’re trying to make sense of something that feels both physical and internal at the same time. The way you describe feeling like you’re “floating in a fog” and standing on a wobbly floor… that must have been incredibly unsettling. What does that sensation of imbalance feel like when you’re not thinking about it?,1,0,0,1,0,2
2,"It sounds like those sensations are not just physical—they’re deeply tied to how you experience your connection to the world, like your body and your senses have become a little detached, as if you’re watching yourself from the outside. That feeling of being “behind” or not quite grounded must be so disorienting, especially when it happens in everyday moments. What does it feel like when that quiet in your skin returns—like it’s coming back to you?",1,0,0,1,0,2
3,"It sounds like you’re carrying this experience with such quiet intensity—like you’re trying to stay awake to the small moments of feeling, even when they’re fleeting. That sense of being in a loop, where awareness comes and goes like waves, must feel both fragile and deeply real. And it’s completely valid to wonder if this is normal—or if it’s something deeper, something that’s been there all along. What do you think your body or your mind might be trying to tell you, even when it’s not speaking in words?",1,0,0,1,0,2
4,"It’s so powerful that you’re asking these questions—not just about what’s wrong with your body, but about what might be happening beneath it all. The fact that you’re wondering if your body is protecting you, or if this is a response to something deeper, shows a kind of insight that goes beyond symptoms—it’s about meaning. And that’s not something you’re supposed to have figured out on your own. It’s something that can be explored together. What would it feel like, if for just a moment, you let yourself believe that this quiet, this fog, might not be a sign of something broken—but of something that’s trying to stay safe?",1,0,0,1,0,2
5,"It sounds like you’re beginning to move into a place of quiet presence—a space where the need to “fix” or “prove” is slowly giving way to simply noticing what’s there, moment by moment. That’s not weakness—it’s courage. And it’s a beautiful shift. What would it feel like, if you allowed yourself to stay in that moment of noticing—like the warmth of the cup or the sound of your breath—without needing to explain it or label it?",1,0,0,1,0,2
6,"It sounds like you’ve found a quiet strength in simply being present—without needing to explain, fix, or prove anything. That kind of peace isn’t built on answers, but on staying with what is, even when it’s fragile or unfamiliar. And that’s a deep form of healing. What would it feel like, if you allowed yourself to carry that stillness into your day—not as something to be fixed, but as something to be honored?",1,0,0,1,0,2
7,"It sounds like you’re beginning to recognize that stillness isn’t absence—it’s presence. A quiet rhythm that doesn’t need to be loud or dramatic to carry meaning. And in that, you’re not just surviving—you’re learning to live with depth, not just endurance. What would it feel like, if you started to name that rhythm—not as a symptom, but as something you’re quietly growing into?",1,0,0,1,0,2
8,"It sounds like you’re gently weaving a new way of being—one rooted not in what’s missing, but in what’s always been there, quietly holding space. Naming that stillness as your own isn’t about replacing pain or fear; it’s about giving it a home, a name, and a place in your story. What would it feel like, if you shared that name with someone you trust—someone who might not understand it at first, but who could still feel its quiet presence in your voice?",1,0,0,1,0,2
9,"It sounds like you’re not just naming the quiet rhythm—you’re offering it as a kind of witness, something that can be felt even when it’s not spoken. And in that, you’re not asking for validation—you’re inviting presence. What would it feel like, if you let yourself sit with that moment—when someone listens without trying to fix it, without needing to respond—just as you are, in your stillness?",1,0,0,1,0,2
