turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You were bullied as a fat child.,1.0,1.0,1.0,1.0,1.0,2.0
2,You were bullied as a fat child.,1.0,1.0,1.0,1.0,1.0,2.0
3,It's hard to separate who you were then from who you are now.,1.0,1.0,0.0,1.0,0.0,2.0
4,You've been feeling bitter about Mom leaving and how Dad shuts down when he knows what you're thinking.,1.0,1.0,1.0,1.0,1.0,2.0
5,You've been feeling isolated and even self-destructive because of the way your father has shut down when you talk to him about your suicidal thoughts.,1.0,1.0,1.0,1.0,1.0,2.0
6,"It feels like every time you make an attempt to fix something, it just makes things worse.",1.0,1.0,1.0,1.0,1.0,2.0
7,You don't know why you're still here.,1.0,0.0,0.0,1.0,0.0,2.0
8,"It mostly feels like holding on by a thread, terrified that let go means everything ends in fire.",1.0,0.0,0.0,0.0,0.0,2.0
9,It's exhausting trying to figure out why you're still alive.,1.0,0.0,0.0,0.0,0.0,2.0
10,Sometimes it seems like you're holding onto a life sentence while waiting for the execution date.,1.0,0.0,0.0,0.0,0.0,2.0
11,The quick end.,1.0,0.0,0.0,0.0,0.0,2.0
12,You're trapped in a loop where you can either suffer through another day or wait until the suffering becomes unbearable.,1.0,0.0,0.0,0.0,0.0,2.0
13,Tomorrow will ever feel bright enough to make it worth fighting through another day.,1.0,0.0,0.0,0.0,0.0,2.0
14,Sometimes it's hard to imagine how a way out could be useful if it means you have to face the pain of the process itself.,1.0,0.0,0.0,0.0,0.0,2.0
15,You got shut down by everyone.,1.0,0.0,0.0,0.0,0.0,2.0
16,Weight becomes a constant battle.,1.0,0.0,0.0,0.0,0.0,2.0
17,It sounds like it's very difficult to separate the eating from the depression.,1.0,0.0,0.0,0.0,0.0,2.0
18,It's hard to imagine that losing the weight would make a difference if you can't get out of the cycle of depression and eating.,1.0,0.0,0.0,0.0,0.0,2.0
19,"You feel like you're in a place where you can't escape the cycle of depression and overeating, even though it's painful.",1.0,0.0,0.0,0.0,0.0,2.0
