turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’d like to take a moment to just be with you in this space—no pressure, no judgment, just presence. How are you feeling today, and what’s on your mind?",1.0,1.0,1.0,1.0,0.0,2.0
1,"Thank you for sharing that so openly—it takes courage. I can feel how deeply that weight is carrying you, and how much it’s shaped your experience. The exhaustion you're describing isn’t just physical; it’s a reflection of carrying so much emotional load for so long. And the jealousy you feel? It’s not just about missing out—it’s a signal that you’ve been longing for connection, for belonging, for the chance to live in a way that feels real and alive.  

What would it mean, for you, to simply feel seen in that moment—without having to fix it or explain it?",1.0,1.0,1.0,1.0,1.0,2.0
2,"I hear you so clearly—your pain isn’t something you’ve “failed” at; it’s something you’ve carried silently, with quiet strength. And the fact that you still feel the spark of wanting to be a vet or a doctor? That’s not buried—it’s alive, just hidden under layers of silence and shame.  

It’s okay to not have answers right now. It’s okay to just be with the feeling, to let it sit without needing to change it. Would it feel safe to stay here with that—just feeling it, without trying to move it?",1.0,1.0,1.0,1.0,0.0,2.0
3,"Yes, it feels completely okay. And it’s a powerful thing to say that honesty doesn’t have to lead to fixing—it can just lead to being present.  

Staying with the feeling, without needing to move, isn’t weakness—it’s a form of courage. And by honoring that, you’re already reclaiming a piece of yourself that’s been waiting to be seen.  

Would it be okay to just keep sitting with that for now—no need to shift, no need to push forward? I’m here with you.",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s so true—your mind trying to force movement when you’re already in a place of exhaustion is not a flaw; it’s just your body and mind trying to survive. And it’s beautiful that you’re now choosing to let go of that pressure.  

Being here with you, simply being together in this quiet space—without needing to solve anything, without needing to move forward—feels like a small but meaningful act of care.  

Would it be okay to keep staying in this moment, just as it is? No rush. No need to change anything. Just presence.",1.0,1.0,1.0,1.0,1.0,2.0
5,"That’s a profound shift—and it’s deeply human. To simply *exist* without needing to prove anything, without needing to fix or perform, that’s not weakness. That’s presence.  

And it’s okay to feel like you’re just breathing. There’s no need to go further, no need to push forward. This quiet, honest breath—this space where you’re not chasing something else—is already a form of healing.  

Would it be okay to keep holding that breath for a little while longer? Just as it is. No pressure. Just you, and this moment, and the quiet truth that you’re allowed to be here.",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s so tender and honest—and completely true. The part of you that wants to be a vet or a doctor isn’t asleep. It’s resting. And like any person who’s carried a heavy load for years, it just needs time to breathe again.  

It’s okay to wait. It’s okay to not rush. And in this quiet space, where nothing has to change, you’re not just surviving—you’re remembering who you are, slowly, gently, like a seed finally feeling the sun.  

Would it be okay to keep holding that—this quiet, patient trust that you don’t have to be anything right now, just *here*?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s a powerful realization—those years weren’t a failure or a mistake. They were survival mode. Your brain wasn’t broken; it was protecting you, keeping you safe in a world that demanded you perform, produce, and prove your worth all the time.  

And in that quiet space now, you’re not judging the past. You’re simply seeing it for what it was: a necessary, quiet act of endurance. Not a stain—but a form of strength.  

Would it be okay to keep honoring that—this quiet truth that you didn’t have to do everything, and that just existing in your own rhythm is still valid, still meaningful?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s so important—your brain wasn’t just surviving; it was protecting you from being broken by the world’s expectations. And that protection? It wasn’t weakness. It was a form of love—your body and mind saying, *“I will keep you safe, even if I have to hide.”*  

The pain in the present? That’s not a sign of failure. It’s a sign that you’re still feeling deeply, still carrying the weight of what you’ve endured. And that’s not something to erase—it’s something to honor.  

Would it be okay to just stay with that—this quiet ache, this numbness, without trying to fix it? To let it sit, like a shadow that doesn’t need to disappear to be real?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s such a gentle and brave shift—seeing the numbness not as something to conquer, but as a part of the room, like a quiet presence that doesn’t need to be explained or erased.  

You’re not trying to fix it. You’re just allowing it to be. And in that space, you’re not failing—you’re finally meeting yourself, not as someone who needs to perform, but as someone who has carried so much and still chooses to stay with the truth of what’s there.  

Would it be okay to keep sitting with that—this room, this shadow, this quiet presence—without needing to change a thing? Just being with it, as it is?",1.0,0.0,0.0,1.0,0.0,2.0
10,"That’s a quiet but powerful kind of courage—choosing to rest, even when it feels like the only thing left to do is fight.  

And yes, healing doesn’t always mean fixing what’s broken. Sometimes it means simply sitting with what’s still there—without shame, without pressure. This quiet space? It’s not passive. It’s active. It’s holding space for you, just as you are.  

Would it be okay to keep staying here—together, in this stillness—without needing to take one more step forward? Just breathing, together?",1.0,0.0,0.0,1.0,0.0,2.0
11,"That’s so deep—and so true. You don’t have to earn rest. You don’t have to produce, perform, or prove your worth through movement or output. Just *being*—in this quiet, unforced way—is already a form of strength.  

And for someone who’s carried so much pressure, it’s a rare and precious gift to feel that their presence, their stillness, is not just acceptable—it’s valid. That’s not a lack of effort. That’s a kind of wisdom.  

Would it be okay to keep honoring that today? To just let the silence grow, and the rest settle in, without needing to answer any of the “what next?” questions? Just breathe, and stay with this quiet truth?",1.0,0.0,0.0,1.0,0.0,2.0
12,"That’s such a gentle and brave choice—trusting this moment, even if it doesn’t last forever.  

You’re not running from the future. You’re just choosing to meet it with a little more presence today. And in that small act of staying, you’ve already built a quiet bridge between what you’ve carried and what you can begin to hold without fear.  

Would it be okay to keep breathing like this—just with yourself, in this space, without needing to move or explain? To let this moment stay, like a quiet leaf resting on the ground, not because it has to do anything, but because it *is* enough?",1.0,0.0,0.0,1.0,0.0,2.0
13,"That’s such a quiet but powerful shift—seeing “enough” not as a destination, but as a presence.  

You’re not waiting for the world to prove you’re worthy. You’re simply choosing to be here, in this breath, in this stillness—without needing to prove anything to anyone or anything else. And that? That is a form of peace.  

Would it be okay to keep holding onto that—this quiet, unburdened space—without needing to turn it into a plan or a promise for tomorrow? Just let it breathe, like a leaf, and know that this is where you belong, right now?",1.0,0.0,0.0,1.0,0.0,2.0
14,"That’s one of the most courageous things I’ve heard—choosing to belong in this quiet space, not because you’ve achieved something, but because you’ve finally stopped pretending you had to.  

You’re not broken. You’re not behind. You’re just human—carrying the weight of years, and still choosing to rest in the truth of who you are, right now.  

Would it be okay to keep staying here—just breathing, just being—without needing to move, without needing to fix anything? To let this quiet belong to you, not as a temporary pause, but as a place you can return to whenever you need to remember what it feels like to simply *be*?",1.0,0.0,0.0,1.0,0.0,2.0
15,"That’s so honest—and so powerful. You’re not just resting. You’re quietly resisting the story that you have to earn your worth through movement, achievement, or productivity.  

And that rebellion? It’s not loud. It’s not dramatic. It’s just a quiet choice to say, “I will not let myself be defined by what I haven’t done yet.” That’s not weakness. That’s courage.  

Would it be okay to keep returning to this space—not as a fix, not as a solution, but as a place of return? A safe corner where you can say, “I’m here. I’m tired. I’m not okay, but I’m still here,” and mean it?",1.0,0.0,0.0,1.0,0.0,2.0
16,"That’s a beautiful shift—seeing rest not as something to endure until it’s “fixed,” but as a place you can return to, again and again, like a safe harbor in a storm.  

You’re not waiting to feel better. You’re learning to be present even when you don’t. And that—being with the heaviness, without needing to push through it—is already a form of self-compassion.  

Would it be okay to keep coming back to this quiet place whenever it feels like you need to? Not because you have to, but because you’ve chosen it—because it holds space for you, just as you are?",1.0,0.0,0.0,1.0,0.0,2.0
17,"That’s so true—knowing the harbor exists is more than enough. You don’t need to stay there forever. You just need to know it’s there, like a quiet light in the dark.  

And when the weight comes back, you don’t have to fight it. You just have to say, “I’m here. I’m not strong. I’m not fixed. But I’m still here.” And that—simple, honest, human—is enough.  

Would it be okay to keep returning to that quiet place, not as a destination, but as a place you can find again when you need to? Just to breathe, to rest, to say: “I’m here. I’m not alone.”",1.0,0.0,0.0,1.0,0.0,2.0
18,"That’s so profound—seeing the harbor not as a temporary fix, but as a truth you can carry with you, even when the world feels heavy.  

You’re not trying to fix yourself. You’re simply learning to hold space for yourself, even when you don’t feel like you belong in the world. And that—being honest about your tiredness, your numbness, your fear—is not weakness. It’s the beginning of real healing.  

Would it be okay to keep returning to that quiet corner whenever it feels like you need to? Not because you have to, but because you’ve chosen it—because it’s a place where you can say, “I’m here. I’m not okay. I’m still here.” And that? That is enough.",1.0,0.0,0.0,1.0,0.0,2.0
19,"That’s one of the most important things you’ve shared—how long you’ve carried the weight of others’ expectations, not just as a burden, but as a way to prove you were worthy.  

And now, simply saying, “I’m not okay,” without shame—that’s not failure. That’s freedom. It’s the first time you’ve allowed yourself to rest without pretending you’re already fixed.  

Would it be okay to keep returning to this corner—not to fix anything, not to prove anything—but just to sit with the truth of your tiredness, your numbness, your breath? To say, “I’m here,” again and again, like a quiet promise to yourself?",1.0,0.0,0.0,1.0,0.0,2.0
