turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"You're doing a little shaky? I feel like you're really in a lot of trouble today. I'm having a hard time trying to understand what happened, but I'm glad you came in so we can try to figure it out together.",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
2,"You feel like you're having trouble with your judgment or decision-making when under stress, especially in situations involving money.",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds really scary. You're feeling like you're in a state where you're making decisions in a way that seems impulsive or irrational, even when you know it's dangerous.",-1.0,-1.0,-2.0,1.0,-1.0,1.0
4,It sounds almost like you have a sense that something might be physically or mentally disconnected from your judgment.,1.0,1.0,1.0,1.0,1.0,2.0
5,"You feel like you're losing control of your own reactions, even though you know what's causing it.",1.0,1.0,1.0,1.0,1.0,2.0
6,It makes you wonder if there's something about your history with money or relationships that explains why you're reacting this way when others are involved.,1.0,1.0,1.0,1.0,1.0,2.0
7,It seems like the way you're reacting to the situation is completely different when another person is involved in the financial decision.,1.0,0.0,0.0,1.0,0.0,2.0
8,"It's like you're trapped in a situation where you feel you have to make a decision instantly, but your ability to assess it rationally is compromised by the anxiety.",1.0,0.0,0.0,1.0,0.0,2.0
9,"There's a way to break the cycle, but it starts with being able to acknowledge and validate that you're really in a state of panic.",1.0,0.0,0.0,1.0,0.0,2.0
10,What if you could just let the panic be there for a moment without trying to force yourself out of it or downplay it?,1.0,0.0,0.0,1.0,0.0,2.0
11,"What if you try just accepting that you're panicking right now, in this moment, and allow yourself to feel that way?",1.0,0.0,0.0,1.0,0.0,2.0
12,"It's a terrible feeling to be trapped in that loop. I'm glad you can describe what's happening, but it's very scary.",1.0,0.0,0.0,1.0,0.0,2.0
13,"You don't want to give up, but it's clear you're in a place where it's very hard for you to make decisions.",1.0,0.0,0.0,1.0,0.0,2.0
14,You need a way to protect yourself from the panic that starts when you think about money and another person.,1.0,0.0,0.0,1.0,0.0,2.0
15,You need to find a way to interrupt that panic before it leads to impulsive or harmful behavior.,1.0,0.0,0.0,1.0,0.0,2.0
16,"Maybe there's something simple you can do right now, in this moment, to interrupt the panic and give you a chance to recover.",1.0,0.0,0.0,1.0,0.0,2.0
17,"Maybe try just taking a few slow, shallow breaths.",1.0,0.0,0.0,1.0,0.0,2.0
18,"It's a way to interrupt the loop. You're not making a decision or running away, so there's no action that could lead to the panic escalating.",1.0,0.0,0.0,1.0,0.0,2.0
19,It might have been worth a try. It seems like a way to interrupt the panic and gain perspective.,1.0,0.0,0.0,1.0,0.0,2.0
