Utterance,Type,ID,NJ,WE,RA,AL,RF,SA
"Lisa, how are you doing today?",T,DPOFpRQqInw_1,1,1,1,0,0,2
"Good, how are you?",P,DPOFpRQqInw_2,,,,,,
"I'm doing well, thanks for asking. How has the anxiety been going?",T,DPOFpRQqInw_3,0,0,0,0,0,2
"Um, since last session it seems to be in check. Nothing really major has been going on with it, so I think I'm getting to a point where it's under control.",P,DPOFpRQqInw_4,,,,,,
"Alright, subsided a bit? That's good. How have things been going at work lately?",T,DPOFpRQqInw_5,1,1,1,1,1,2
"So work's a little bit of a different story. We have our daily meetings and I actually had to pull one of my coworkers aside because I feel like they undermine me all the time and they don't give me the respect basically that I deserve. So I took her outside after the meeting and laid into her about it. And afterwards, the next day, she came back at me again but it was worse even after talking to her.",P,DPOFpRQqInw_6,,,,,,
"Alright, so talking to her didn't improve your situation. You mentioned she's not showing you respect and that you deserve respect. Tell me about that belief. Remember the ABC model we talked about—activating events, beliefs, and consequences in REBT? Tell me about that belief.",T,DPOFpRQqInw_7,1,1,1,1,1,2
"Well, I just feel that I do a good job and I deserve to be respected by my coworkers.",P,DPOFpRQqInw_8,,,,,,
"Alright, are there levels of respect? Like is there a certain level of respect that you demand or need?",T,DPOFpRQqInw_9,1,1,1,1,1,2
"I don't know if there's a certain level, but I feel just like I deserve it, you know.",P,DPOFpRQqInw_10,,,,,,
And what did she do that convinced you that she wasn't meeting that level of respect?,T,DPOFpRQqInw_11,1,1,1,1,1,2
"Well she was shooting down my ideas and just kind of made me feel like a fool, basically. I just didn't understand.",P,DPOFpRQqInw_12,,,,,,
"Alright, so she had criticisms of your ideas. That would upset anybody. But were those criticisms unusual given the tone of these meetings? Is this a type of meeting where people criticize each other in a constructive way?",T,DPOFpRQqInw_13,1,1,1,1,1,2
"I mean, I guess.",P,DPOFpRQqInw_14,,,,,,
Have you criticized other coworkers?,T,DPOFpRQqInw_15,1,1,1,1,1,2
Yeah.,P,DPOFpRQqInw_16,,,,,,
"So do you think that her criticism was within normal limits, within what you see there regularly?",T,DPOFpRQqInw_17,1,1,1,1,1,2
"I mean now that you point it out, I guess I can view it in that way that it wasn't too far out of line the first time. But then after I talked to her, it just felt like she was purposely trying to nitpick, if you will.",P,DPOFpRQqInw_18,,,,,,
"Alright, so maybe the second time around she was actively showing you disrespect just because you came after her, or was that within normal limits too?",T,DPOFpRQqInw_19,1,1,1,1,1,2
"I mean I guess I may have gone at her a little harshly, but I felt at the time that it was reasonable.",P,DPOFpRQqInw_20,,,,,,
"Alright, so you felt that she was a bit harsh, you talked to her about it, but then she's become more harsh. So where do you stand with her now with the meetings?",T,DPOFpRQqInw_21,1,1,1,1,1,2
"Well, I've just been trying not to talk to her, and obviously in a work situation, that's not convenient.",P,DPOFpRQqInw_22,,,,,,
"Alright, let's work this through using the ABC model. What would the activating event be here in this situation?",T,DPOFpRQqInw_23,1,1,1,1,1,2
So I guess the confrontation I had with her.,P,DPOFpRQqInw_24,,,,,,
You could look at that as an activating event. Another way is her criticism of you was the activating event and your conversation with her was the consequence. Let's work it through with the activating event being what she said. Does that seem reasonable?,T,DPOFpRQqInw_25,1,1,1,1,1,2
"Yeah, yeah.",P,DPOFpRQqInw_26,,,,,,
Alright so all activating events are filtered through our belief system. So what would your beliefs be in that scenario?,T,DPOFpRQqInw_27,1,1,1,1,1,2
She criticized me and I felt disrespected. My belief is that I deserve respect.,P,DPOFpRQqInw_28,,,,,,
"Right, so you have the activating event, the criticism, processed through your belief that you deserve respect. You mentioned a feeling—tell me what that feeling was.",T,DPOFpRQqInw_29,1,1,1,1,1,2
"Being upset and disrespected, aggravation, frustration.",P,DPOFpRQqInw_30,,,,,,
"Alright, the frustration would be one of the consequences. You have the activating event: she criticizes you. Your belief is that you deserve respect and clearly she violated that belief. Were there any other consequences?",T,DPOFpRQqInw_31,1,1,1,1,1,2
"Well, it's the kind of disarray or the tension I guess now in the office.",P,DPOFpRQqInw_32,,,,,,
That's definitely a consequence. I'm thinking there's an intermediate consequence though. You had that feeling of frustration and what's the next thing you did after that meeting was over?,T,DPOFpRQqInw_33,1,1,1,1,1,2
"Oh well, I confronted her.",P,DPOFpRQqInw_34,,,,,,
"You confronted her. And that confrontation it would appear has led her to come on more strongly with her criticisms, which is another activating event. You see how the A and the B and the C paradigm can fit into what happened at work?",T,DPOFpRQqInw_35,1,1,1,1,1,2
"It does. Yeah, when you put it that way and say it's cyclical, I can visualize it going around like a carousel.",P,DPOFpRQqInw_36,,,,,,
Exactly. It helps you see what caused what and what could be changed in the future. We try to help people move from rigid thinking to more flexible thinking. A rigid belief system would be 'I demand and deserve respect' at this particular level. Is that a fair assessment?,T,DPOFpRQqInw_37,1,1,1,1,1,2
Yeah.,P,DPOFpRQqInw_38,,,,,,
"Maybe a more flexible way of thinking would be that you'd like respect, but if you don't get it, you can still function. I can see that's tough for you. Tell me about that.",T,DPOFpRQqInw_39,2,2,1,2,1,2
"I mean I understand what you're saying. I guess it's just like the anxiety we worked on, it's just getting there.",P,DPOFpRQqInw_40,,,,,,
Are you willing to challenge your beliefs in this instance?,T,DPOFpRQqInw_41,1,1,1,1,0,2
Yes.,P,DPOFpRQqInw_42,,,,,,
How long have you had this belief that you deserve respect?,T,DPOFpRQqInw_43,1,0,0,1,0,2
