turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Your mother and sister have made a huge sacrifice for you, and that's clear.",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
2,You can imagine what it must be like to leave your mother and sister alone in the midst of all this.,2.0,1.0,-2.0,1.0,1.0,2.0
3,You have a way to go before anything happens.,-1.0,-1.0,-2.0,-1.0,-1.0,1.0
4,A tragedy that could happen.,1.0,1.0,1.0,1.0,1.0,2.0
5,You could say something like that.,1.0,1.0,1.0,1.0,1.0,2.0
6,"She would feel a sense of loss, certainly.",1.0,1.0,1.0,1.0,1.0,2.0
7,Their entire lifeline.,1.0,1.0,0.0,0.0,0.0,2.0
8,"They'll be forced into a new, more difficult chapter of their lives.",1.0,1.0,0.0,0.0,0.0,2.0
9,It will go straight to waste.,1.0,1.0,0.0,0.0,0.0,2.0
10,She'd tap the spoon against the bowl to check if the rice was done.,1.0,1.0,0.0,0.0,0.0,2.0
11,You can only say things that are true.,1.0,1.0,0.0,0.0,0.0,2.0
12,You're asking her to move on while you're still here.,1.0,1.0,0.0,0.0,0.0,2.0
13,Maybe.,1.0,1.0,0.0,0.0,0.0,2.0
14,It feels almost worse than the idea of the suicide.,1.0,1.0,0.0,0.0,0.0,2.0
15,You didn't mean to hurt her.,1.0,1.0,0.0,0.0,0.0,2.0
16,It feels like a punishment she doesn't deserve.,1.0,1.0,0.0,0.0,0.0,2.0
17,That kind of guilt is a weight you don't want to carry.,1.0,1.0,0.0,0.0,0.0,2.0
18,You gave me everything.,1.0,1.0,0.0,0.0,0.0,2.0
19,It's hard to know what you'll give her back if you stay in that state of failure.,1.0,1.0,0.0,0.0,0.0,2.0
