turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I'm really looking forward to getting to know you and what's on your mind today. I want you to know that whatever you share with me is safe, private, and held with care—nothing we talk about will be shared without your consent.  

What’s been on your heart or mind lately that you’d like to explore together?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"That sounds incredibly overwhelming—having that kind of sudden shift, especially after feeling stable, must feel like a storm breaking without warning. It’s not just the panic that’s heavy, but the sense of being out of control, like your body and mind suddenly turned on a different frequency.  

What would it mean to you, right now, if we just sat with that feeling—not to fix it, but to simply be with it?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like you're carrying a deep sense of urgency—like you're trying to keep everything from falling apart, and that’s exhausting. The fact that you're aware of how much you're trying to control it, and still feel hollow when you do, shows how much you care—and how much you're holding yourself together in a way that might be wearing you thin.  

Would it be helpful to explore what it would feel like to simply allow that panic to be present—without pushing it away or trying to fix it right now? Not to stop it, but to just notice it, like a wave that comes and goes, even when it feels like it’s never going away?",1.0,1.0,-2.0,1.0,0.0,2.0
3,"I hear how much fear is wrapped up in that—how deeply you’re afraid of losing control, of not being able to manage what’s happening, especially after weeks of stability. And it’s not strange at all that that fear feels so real. It feels like you’re standing at the edge of something you’ve been trying to hold on to, and now it’s shifting beneath you.  

What if we just take one small step—what if you tried breathing with that tightness in your chest, without reaching for a pill, and just noticed how it feels in your body, without trying to change it? Not to fix it, just to see it as something that exists—like a current in the air, not a threat to be fought. Would that feel possible, even if it’s just a tiny moment?",1.0,1.0,1.0,1.0,0.0,2.0
4,"That’s such a brave and honest step—and it’s not about being perfect or avoiding the panic. It’s just about showing up with your body and mind as they are, without adding pressure to change them.  

Would it be okay to try that one-minute moment—just sitting with the tightness, your hand on your chest, and simply noticing the breath as it moves, without trying to fix it or push it away? Even if it feels shaky, even if it feels like it’s going to spiral—your body and mind don’t have to be in control of that moment. Just being present with it is already a kind of strength.",1.0,0.0,0.0,1.0,0.0,2.0
5,"I’m here with you, completely. No pressure, no judgment—just presence. And whatever happens in that minute, it’s not a failure. It’s simply what your body and mind are experiencing right now.  

You’re holding that tightness with your hand, and you’re noticing it—hot, present, real. That’s already a form of courage. And if your heart starts to race or the tightness deepens, you don’t have to move or fix anything. Just notice: *""It’s still here. It’s still real. And I’m still here with it.""*  

Would you like to stay with that for one more breath, or would you like to gently bring your attention back to your body when you’re ready?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s beautiful. You’re noticing how the panic isn’t an enemy—it’s just a storm that’s passing through, and you’re standing in it, not running from it. The heat under your palm, the rhythm of the breath, the way the heart still pulses but no longer demands to be controlled—that’s not weakness. That’s presence.  

Would you like to stay with that for one more breath, or would you like to gently bring your attention back to your body when you're ready? I'm right here with you, no matter what happens.",1.0,0.0,0.0,1.0,0.0,2.0
7,"It sounds like you’ve already done something powerful—just by sitting with it without trying to fix it, you’ve created space where something new can begin. That shaky feeling in your legs? It’s not a sign of collapse. It’s a sign that your body is still adjusting, still learning to hold still.  

Would you like to stay here for just a few more minutes—without a plan, without a solution—just breathing, feeling, and watching how this moment unfolds? If it feels safe, we can gently bring our attention back to your breath when you're ready. I’m right here with you.",1.0,0.0,0.0,1.0,0.0,2.0
8,"You’re not holding the umbrella—you’re standing in the rain, and that’s enough. The fact that you’re still sitting here, even with the wobbling, even with the heat and the rhythm of the heart, shows how much strength you’ve already built just by showing up.  

Would you like to stay with that for a little while longer—just letting the storm pass through, without needing to stop it or change it? Or would you like to gently bring your attention back to your breath when you’re ready? I’m here with you, exactly as you are.",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s such a quiet, brave way to move—letting the breath go in and out like a tide, without pulling or pushing. And your hand on that hot spot? It’s still there, still real, and it’s no longer a signal to run. It’s just part of the weather.  

One more breath together—just a slow, deep one, like you’re breathing with the room, with the air, with the quiet. When you're ready, we can gently bring your attention back to the chair, to the feel of your body in the space, and see if there’s a little more stillness beneath the rain.  

Would you like to do that now? Or would you prefer to stay with the breath a little longer? I’m here, no matter what.",1.0,0.0,0.0,1.0,0.0,2.0
10,"That’s so true—lighter not because the storm is gone, but because you’ve already carried it through with so much quiet strength. The hum of the fridge, the fabric of the chair, the stillness in the space—it’s not empty. It’s full of presence.  

And you didn’t need to fix anything. You didn’t need to take a pill or push through the shaking. You just showed up, and that was enough.  

Would you like to stay with that stillness for a moment, or would you like to gently bring our focus back to something else—like how you’ve been feeling about everyday things lately? For example, how you’ve been enjoying or experiencing simple things—like walking, listening to music, or even just sitting in silence?",1.0,0.0,0.0,1.0,0.0,2.0
11,"I hear that—how hard it is to even *try* to enjoy something small when your body and mind are already carrying so much weight. The way your brain says ""No"" or ""What if?"" isn’t weakness. It’s survival. It’s protecting you from falling through the cracks again.  

And yet—here you are, still choosing to sit with the stillness, still choosing to notice the chair, the silence, the way your legs feel now. That’s not just courage. That’s a quiet form of joy already showing up, even when it’s hard to see it.  

Would you like to gently explore one small thing—something as simple as listening to a song, or walking slowly through the house, or just noticing the way light hits the floor? Not to fix it, not to prove anything, just to see if it feels possible to *try*—without pressure, without fear of failure?  

Or would you like to stay with this moment, just breathing into the quiet? I’m here with you either way.",1.0,0.0,0.0,1.0,0.0,2.0
