Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
Well hello Susan.,T,iBp75KNuLb8_1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,,"Hi, Carly. I'm Angie. How are you doing today? How things been going since we last met? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the"
Good to see you today.,T,iBp75KNuLb8_3,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: Well hello Susan.
Patient: Hello.","Hi, Carly. I'm Kathleen. How are you doing today? How things been going since we last met? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the"
So tell me what brings you in?,T,iBp75KNuLb8_5,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Well hello Susan.
Patient: Hello.
Therapist: Good to see you today.
Patient: Thanks.","Hi, I'm Kathleen. How are you doing today? How things been going since we last met? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session"
"Okay, so tell me what that looks like for you, anxiety in those situations.",T,iBp75KNuLb8_7,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,"Therapist: Well hello Susan.
Patient: Hello.
Therapist: Good to see you today.
Patient: Thanks.
Therapist: So tell me what brings you in?
Patient: Well, I have an anxiety issue. There are a lot of things that make me anxious and I gotta do something different because I'm really not functioning at the level I need to be functioning. My anxiety just really impacts a lot of my life. So I need help with managing it.","Okay, so you have anxiety and it's interfering with your life. How long has it been interfering? How bad is it? And what kind of things are you anxious about? Tell me about it."
"So is it physical, or is it a lot of thoughts in your head?",T,iBp75KNuLb8_9,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Good to see you today.
Patient: Thanks.
Therapist: So tell me what brings you in?
Patient: Well, I have an anxiety issue. There are a lot of things that make me anxious and I gotta do something different because I'm really not functioning at the level I need to be functioning. My anxiety just really impacts a lot of my life. So I need help with managing it.
Therapist: Okay, so tell me what that looks like for you, anxiety in those situations.
Patient: Driving here on the interstate, I'm just panicking constantly about the cars. I've had a couple of accidents and I'm constantly thinking people are about to hit me. In school, I get really anxious when I take a test. I know the information, but I sit down and I can't recall because I'm so anxious about the test.","Okay, so you're anxious before the test and during the test? And you know the material?"
And what are the thoughts going on in your head?,T,iBp75KNuLb8_11,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: So tell me what brings you in?
Patient: Well, I have an anxiety issue. There are a lot of things that make me anxious and I gotta do something different because I'm really not functioning at the level I need to be functioning. My anxiety just really impacts a lot of my life. So I need help with managing it.
Therapist: Okay, so tell me what that looks like for you, anxiety in those situations.
Patient: Driving here on the interstate, I'm just panicking constantly about the cars. I've had a couple of accidents and I'm constantly thinking people are about to hit me. In school, I get really anxious when I take a test. I know the information, but I sit down and I can't recall because I'm so anxious about the test.
Therapist: So is it physical, or is it a lot of thoughts in your head?
Patient: Yeah, it's a lot of thoughts in my head and it is very physical. I get sweaty palms, my heart starts racing, I get tense.","Okay, so it's a lot of physical symptoms and a lot of thoughts in your head. And how about the time? How about the time it takes you to get from point A to point B?"
"And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?",T,iBp75KNuLb8_13,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,"Therapist: Okay, so tell me what that looks like for you, anxiety in those situations.
Patient: Driving here on the interstate, I'm just panicking constantly about the cars. I've had a couple of accidents and I'm constantly thinking people are about to hit me. In school, I get really anxious when I take a test. I know the information, but I sit down and I can't recall because I'm so anxious about the test.
Therapist: So is it physical, or is it a lot of thoughts in your head?
Patient: Yeah, it's a lot of thoughts in my head and it is very physical. I get sweaty palms, my heart starts racing, I get tense.
Therapist: And what are the thoughts going on in your head?
Patient: When I'm in the car, I think I'm gonna get hit. If I'm taking a test, it's like, okay, I gotta do well on this test. I gotta remember this. And I just kind of freeze because I'm panicking that I can't remember.","Okay. So you're panicking that you can't remember? And what happens to you when you can't remember? Tell me about that. Tell me about the experience. Tell me about the thoughts. Tell me about the physical sensations. Tell me about the time in the car when you're thinking, 'I'm going to get hit.' Tell me about the test-taking experience when you're thinking, 'I can't remember this.' Tell me about the experience of being stuck in the car and thinking, 'I'm going to get hit.' Tell me about the experience of taking a test and thinking, 'I can't remember this"
So it sounds like we might need to find something that helps you in the moment.,T,iBp75KNuLb8_15,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: So is it physical, or is it a lot of thoughts in your head?
Patient: Yeah, it's a lot of thoughts in my head and it is very physical. I get sweaty palms, my heart starts racing, I get tense.
Therapist: And what are the thoughts going on in your head?
Patient: When I'm in the car, I think I'm gonna get hit. If I'm taking a test, it's like, okay, I gotta do well on this test. I gotta remember this. And I just kind of freeze because I'm panicking that I can't remember.
Therapist: And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?
Patient: I know I could perform better if I wasn't so anxious. It wouldn't take me as long. The anxiety subsides after the situation is over, just like in the car when I get off the interstate.","Okay, so it doesn't interfere with the test, it just makes it harder to perform? And you know that if you were to take it out, you could perform better? And you know that you're anxious before the test?"
"Okay, well would you like to learn a skill?",T,iBp75KNuLb8_17,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: And what are the thoughts going on in your head?
Patient: When I'm in the car, I think I'm gonna get hit. If I'm taking a test, it's like, okay, I gotta do well on this test. I gotta remember this. And I just kind of freeze because I'm panicking that I can't remember.
Therapist: And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?
Patient: I know I could perform better if I wasn't so anxious. It wouldn't take me as long. The anxiety subsides after the situation is over, just like in the car when I get off the interstate.
Therapist: So it sounds like we might need to find something that helps you in the moment.
Patient: Yeah, I want something at the time to help me in the moment because these are things that I can't avoid. I've got to do these group settings with kids at work. I can't change them, so I gotta figure out how to deal with it better.","Okay, so you want to work on it now? We can talk about it and see what we can do. If it's okay, I'll get you in to see a counselor here. We can talk about it, see how it fits into your life, and figure out the best way to help you."
"Okay, well there is something called grounding. Have you heard of that?",T,iBp75KNuLb8_19,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?
Patient: I know I could perform better if I wasn't so anxious. It wouldn't take me as long. The anxiety subsides after the situation is over, just like in the car when I get off the interstate.
Therapist: So it sounds like we might need to find something that helps you in the moment.
Patient: Yeah, I want something at the time to help me in the moment because these are things that I can't avoid. I've got to do these group settings with kids at work. I can't change them, so I gotta figure out how to deal with it better.
Therapist: Okay, well would you like to learn a skill?
Patient: Yeah, I am eager to learn something that can make a difference.","Okay, great. So we have a few options here. We can do some breathing exercises, we can do some muscle relaxation, we can do some visualization, or we can do a thought record. Which of those sounds most appealing to you? And if you have a choice, which one would you pick?"
