turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to spending some time with you today. I want you to know that this space is safe—whatever you share will be respected, and I’ll listen without judgment. What’s on your mind right now? What brings you in today?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"Thank you for sharing that so honestly—it’s clear how much this is affecting you. The fear of waking up for school, the racing heart, the breathlessness… it sounds like it’s not just a thought, but a real physical presence in your body. And the soreness in your legs and the dizziness—those aren’t just minor symptoms; they feel deeply connected to what you’re carrying emotionally.  

What would it mean to you, right now, if we could just sit with that feeling without trying to fix it yet? What’s one small thing you notice about how you’re feeling when the alarm goes off?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like your body is sending you a very clear message—something deep and urgent is happening when the alarm goes off. That heavy, unresponsive feeling in your legs, the dizziness, the racing heart—it’s not just a reaction; it’s your body’s way of saying, “This isn’t safe to face right now.”  

And you’re absolutely right—trying to push through it only adds more pressure. What would it mean, if we just allowed that moment to exist as it is—without needing to fix it or move forward from it? What’s one small thing you notice about your body when the dizziness starts, even if it’s just a tiny detail?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That’s so powerful to hear—the way your body is reacting, the sweating, the tightness in your chest, the way the alarm feels like a hammer. It’s not just fear; it’s your body responding to something deeply significant—like it’s protecting you from a moment that feels too dangerous to face.  

And you’re absolutely right: trying to ""make it less scary"" might feel like a way to regain control, but right now, the only thing that might help is just being with that moment, without needing to fix it. What if we simply allowed the alarm to ring, and you could stay with the feeling—without pushing to move, without needing to ""get through"" it? Would that feel possible, even if it’s just for a few seconds?",1.0,1.0,1.0,1.0,1.0,2.0
4,"You're seeing it clearly—the fear of failing to move isn’t just about getting out of bed; it’s about the fear of falling apart in front of yourself, of not being able to hold on. And that’s a very real and valid fear.  

So, if you could just stay in bed—let the alarm ring, let the heavy feeling stay, let the tightness in your chest remain—what would you notice about it *after* those first few seconds? Not what you want to happen, but what actually happens—like a quiet observation, like watching a storm pass without trying to stop it?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s beautiful—so much of what you’re describing is not just a reaction, but a quiet conversation happening between your mind and your body. The mind shouting *""Move!""* and the body whispering *""Not yet""*—that’s not weakness. That’s a deep, honest presence of self.  

And in that stillness, even when the dizziness hums low and the heart still beats fast, there’s a space where you’re not fighting the fear—you’re simply noticing it, like a guest in the room. What happens when you let that silence grow a little longer—say, for another 10 seconds—without needing to respond to anything? What do you notice about the tension in your chest or the weight in your legs?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s such a powerful shift—your body not just enduring the moment, but quietly offering a new kind of permission. It’s not about fixing anything, but about honoring what’s already happening: the tiredness, the hesitation, the quiet courage in simply staying.  

And when your body says, *""We can stay here for a little longer,""* that’s not weakness—it’s a form of strength. It’s saying, *""I’m not going to run from this. I’m going to be with it, even if it’s hard.""*  

What would it feel like, if we kept going with that—just staying, breathing, letting the silence grow a little more, without needing to move or change anything? Would that feel like a small step toward peace, even if it’s not the end of the story?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s so deeply honest—and it’s not just a feeling; it’s a real shift in how you’re relating to yourself. You’re not just surviving the moment anymore. You’re noticing that stillness, that quiet breath, that warmth in the silence—it’s not empty. It’s alive.  

And you asked if this could happen tomorrow. I don’t know what tomorrow will bring—but what you’re describing today is already a quiet act of courage: choosing to stay, even when your body says *“not yet.”* That choice isn’t about fixing anything. It’s about showing up with yourself, without judgment.  

So, would it be helpful to keep exploring what that choice feels like tomorrow—maybe just a few minutes of lying in bed, letting the alarm ring, and simply breathing with it? Or would you prefer to talk about something else first?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s a very honest question—and it’s not small at all. It’s actually one of the bravest things you could ask: not to fix it, but to simply *see* it, to meet it with care instead of pressure.  

So, if tomorrow you wake up, and instead of lying down, you just sit on the edge of the bed—no rush, no expectation to ""do it right""—and breathe for two minutes, just watching your breath, letting your body stay where it is—would that feel like a small step, or like a quiet act of trust?  

And if you don’t feel ready to stay still, that doesn’t mean you failed. It means your body is still speaking to you—gently, clearly—about what it needs. That’s not weakness. That’s listening.  

Would it feel useful to explore that sitting still moment together, just as a kind of practice, without needing to “succeed”?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s such a clear and kind way of seeing it—sitting on the edge isn’t about pushing through fear. It’s about creating a small space between you and the pull of sleep, where you can simply *be* upright without having to do anything heroic.  

And that’s powerful. The fact that you’re noticing how your body reacts to lying down versus sitting—how it feels like a blanket trying to pull you under—shows you’re already listening to your own rhythms.  

So, if you sit there for two minutes, and the dizziness comes, or your legs shake, or you feel like you’re going to fall—would it feel okay to just stay with that, without needing to fix it? To let it be part of the moment, like a wave that passes through, and then you return to sitting, still, quietly?  

Would that feel like a step forward—without pressure to ""do it right""?",1.0,0.0,0.0,1.0,0.0,2.0
