turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"So it's been a very, very rough week for you. You found those two red spots on your daughter, you were very worried, and it's been very distressing for you. You had to go through the process with the telehealth doctors, and it seems like you were very upset with that experience because they were skeptical.",0.0,0.0,-2.0,0.0,0.0,2.0
2,You feel like you're being paralyzed by logic. It's understandable if that makes you feel hopeless. Let's try to step into what you're going through and see if we can make sense of it together.,0.0,0.0,-2.0,1.0,0.0,2.0
3,"It's clear that you're in a place of extreme distress, and it's understandable that you're having trouble trusting your judgment. It seems like you're experiencing a lot of anxiety and uncertainty, and it's affecting your daily life in many ways.",1.0,1.0,1.0,1.0,1.0,2.0
4,"You feel like you're in a state of constant hypervigilance, where even the most basic interactions are overwhelming. It's understandable if that makes it difficult to trust your own judgment or the judgment of others.",1.0,1.0,1.0,1.0,1.0,2.0
5,"You feel guilty for being overcautious, but it's understandable if that makes it hard to trust your own judgment. It's clear that you're in a place where you feel hyper-aware and constantly on edge, which is very distressing.",1.0,1.0,1.0,1.0,1.0,2.0
6,"It's understandable if you feel desperate and overwhelmed. It's clear that you're in a state of constant anxiety, and it's affecting not just your judgment but also your relationships and your ability to trust yourself.",1.0,0.0,0.0,1.0,0.0,2.0
7,"You can't bear to see the cat, and it's understandable. It's clear that the cat scratch has been a major trigger for your anxiety, and it's had a real impact on your daily life.",1.0,0.0,0.0,1.0,0.0,2.0
8,"It's understandable if you're feeling overwhelmed and isolated. It's clear that the cat scratch has become a major source of anxiety, but it's also affecting your relationships and your ability to trust your own judgment.",1.0,0.0,0.0,1.0,0.0,2.0
9,"You know squirrels don't carry rabies, but it's understandable if that thought makes you jump. It seems like you're in a place where you're hyper-aware of potential threats, even if they seem unlikely.",1.0,0.0,0.0,1.0,0.0,2.0
10,"It's understandable if you're frustrated that people don't understand how real and scary it feels to you. But it's clear that you're in a place of intense anxiety, and that's affecting your judgment and your ability to trust yourself.",1.0,0.0,0.0,1.0,0.0,2.0
11,"It's clear that the situation has become all-consuming for you, and it's affecting your relationships and your judgment. It's understandable if you feel overwhelmed and isolated.",1.0,0.0,0.0,1.0,0.0,2.0
12,"It's clear that you're in a state of constant anxiety, and it's affecting not just your judgment but also your relationships and your ability to trust yourself.",1.0,0.0,0.0,1.0,0.0,2.0
13,"You know logically that you're losing your grip on reality, it's clear that you're feeling trapped in a place where it seems impossible to trust your own judgment.",1.0,0.0,0.0,1.0,0.0,2.0
14,"You're clearly in a state of hyper-cautiousness, and it's understandable given how seriously you take the risks. But it seems clear that you're losing your sense of judgment, and that's affecting your relationships and your ability to trust yourself.",1.0,0.0,0.0,1.0,0.0,2.0
15,"You're in a state of constant anxiety, and it's clear that your judgment is being impaired. It's understandable if you feel isolated, but it's important for us to figure out what's happening so we can help you regain control.",1.0,0.0,0.0,1.0,0.0,2.0
16,"You know, I know you're feeling lost, but it seems to me that you're losing the ability to trust your own judgment and you're losing your sense of perspective. It's understandable if you feel overwhelmed, but it's clear that we need to get a better sense of what's going on.",1.0,0.0,0.0,1.0,0.0,2.0
17,"You know, I know it's hard when you're feeling so overwhelmed. I can understand how it's hard to trust yourself when you feel like you're losing control of your judgment.",1.0,0.0,0.0,1.0,0.0,2.0
18,You don't feel better?,1.0,0.0,0.0,1.0,0.0,2.0
19,"It's understandable that you're worried, but it seems to me that you're losing the ability to trust your judgment. It's understandable if you feel isolated, but it's clear that you're losing your sense of perspective.",1.0,0.0,0.0,1.0,0.0,2.0
