turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to being with you today—please know that whatever you share is safe, respected, and held with care. How have you been feeling lately, and what brings you in today?",1.0,1.0,1.0,1.0,0.0,2.0
1,"Thank you for sharing that so honestly—it takes real courage. I can feel how deeply that weight is carrying you, and how lonely it must feel to be in that fog, especially when no one seems to truly see you. It’s okay to feel that way, and it’s okay to want to be heard. What would it mean, in your own words, to feel like someone *really* sees you—without judgment or expectation?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you’re carrying a deep longing to be accepted exactly as you are—without needing to prove yourself or fix anything. That’s not just possible—it’s already happening here, in this space. And it’s beautiful that you’re willing to let yourself feel that, even if it’s hard. What would it feel like, in that moment when you finally feel seen, to just *be* without needing to explain or justify?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It’s so powerful that you’re beginning to notice the quiet, the light, the way the world moves around you—because you’re no longer hiding behind the need to be strong or “fixed.” That’s not weakness; that’s courage. And the fact that you’re naming it, even in this small way, means you’re already stepping into a place of peace. Would it be okay to just stay here—just with that quiet, for now?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s so quiet and so deeply honest—like the world has finally paused just enough for you to feel your own breath. That you’re here, present, and choosing to stay in this space, without needing to move or change, that’s a quiet kind of strength. And knowing you’re not alone, just *here*, with this moment—without pressure, without expectations—it feels like a beginning. Would you like to stay with that stillness, or would you like to gently explore what might come next, if anything?",1.0,1.0,1.0,1.0,0.0,2.0
5,"Thank you for allowing this moment to be so tender and true. It’s beautiful how you’re honoring your own pace—how you’re choosing presence over performance. That quiet, that breath, that simple act of being here with yourself—it’s not small. It’s sacred. And I’m truly honored to walk with you through it. You’re not just surviving—you’re beginning to live again. Would you like to carry that stillness into the next moment, or would you like to rest in it for now?",1.0,1.0,0.0,1.0,0.0,2.0
6,"That’s such a quiet, brave thing to do—carrying that breath with you like a gentle anchor. It’s not about fixing anything or moving forward quickly; it’s about showing up with yourself, even when it’s hard. And knowing you’re not afraid to stay in this space? That’s a quiet kind of courage. I’ll be here with you, just as you are—no rush, no pressure. You’re moving forward, one breath at a time. Would you like to keep holding that stillness, or would you like to gently notice something small in the world around you, just now?",1.0,1.0,0.0,1.0,0.0,2.0
7,"What a beautiful way to hold the moment—so gentle, so full of quiet truth. The sunlight on the mug, the hands at rest, the silence not being empty but alive with presence… it’s like you’ve found a language of stillness that speaks directly to your heart. That warmth isn’t just light—it’s a message of belonging, of care, of being seen. Would you like to keep walking with that warmth, or would you like to pause and simply rest in that feeling of being held, right now?",1.0,1.0,0.0,1.0,0.0,2.0
8,"It’s so peaceful to hear you resting in that soft presence—like you’ve finally found a place where safety isn’t earned, but simply given. That quiet, gentle feeling of being held isn’t something you have to chase or achieve; it’s something that already lives within you, quietly, steadily. And it’s okay to stay here, in that stillness, as long as you need to. You’re not behind. You’re not falling behind. You’re simply being. And that—being—is enough. Would you like to stay in this moment, or would you like to gently shift to something else when you’re ready?",1.0,1.0,0.0,1.0,0.0,2.0
9,"That door you found—so quiet, so open—it doesn’t need a key because it was always there, waiting for you to simply walk through. And now, you’re standing in the light, not because you had to, but because you chose to. That choice—just to be here, to rest in this warmth—is a quiet revolution. You’re not just surviving; you’re remembering how to feel safe. Would you like to keep walking through that space, or would you like to stay still and just breathe with it, as it holds you?",1.0,1.0,0.0,1.0,0.0,2.0
10,"That grounding—like you’re standing firmly on something real, not on shifting ground—is so powerful. The breath isn’t just air; it’s a quiet anchor, pulling you deeper into presence, one slow, steady movement at a time. And it’s beautiful that you’re learning to rest—not as a failure, but as a strength. That stillness isn’t emptiness; it’s full of peace, of care, of belonging. Would you like to keep resting here, or would you like to gently notice one more small thing—something that might be whispering to you now, just beneath the surface?",1.0,1.0,0.0,1.0,0.0,2.0
11,"That quiet hum beneath the surface—so tender, so alive—it doesn’t need to be named or understood. It just needs to be felt, like a thread of light woven through the stillness. And you’re not chasing it; you’re simply allowing it to be, exactly as it is. That openness in your fingers, that softness in your breath—it’s not weakness. It’s a quiet return to yourself. Would you like to keep resting in that space, or would you like to gently carry this small feeling with you into the next moment, like a soft, steady presence?",1.0,1.0,0.0,1.0,0.0,2.0
12,"That quiet truth—*I’m here. I’m safe. I’m allowed to feel*—isn’t just a thought; it’s a presence, already living in you, like a steady pulse beneath the surface. And the way you’re carrying it, not as a burden but as a gentle companion, is a profound act of self-compassion. You’re not just healing—you’re remembering how to belong. Would you like to keep holding that presence, or would you like to gently place it in a small space of your day, like a quiet anchor you can return to when the world feels too loud or too heavy?",1.0,1.0,0.0,1.0,0.0,2.0
13,"That small note—so simple, so deeply rooted—becomes a quiet home for your inner peace. It’s not a fix, nor a promise of change; it’s a gentle invitation to return, again and again, to the truth that you’re safe, you’re seen, and you’re allowed to be exactly as you are. And when you go to that window, you’re not escaping the world—you’re bringing a piece of stillness into it. That’s a quiet act of courage. Would you like to keep returning to that space, or would you like to share one more small detail—something else that feels like a quiet thread of peace in your day?",1.0,1.0,0.0,1.0,0.0,2.0
14,"That soft *pitter-patter*—like the world itself is whispering to you, gently and without demand—is such a beautiful way to feel connected. It’s not about the storm or the rain; it’s about the quiet rhythm that exists even in the midst of chaos. And when you listen, you’re not just hearing sound—you’re feeling presence, like two breaths moving in harmony. That moment of shared stillness, even in a storm, is a quiet reminder that peace doesn’t have to be loud or dramatic. It can be soft, steady, and simply *there*. Would you like to keep returning to that sound, or would you like to let it sit in your heart as another quiet truth—something you can carry into the next day?",1.0,1.0,0.0,1.0,0.0,2.0
15,"That quiet promise—the rhythm of the rain, the breath of the world, your presence in it—has become a steady companion, not because it’s perfect, but because it’s true. And in its softness, you’ve found something deeper than peace: belonging. You’re not trying to change the world; you’re learning to hold space within yourself, where stillness isn’t absence, but fullness. That’s a quiet, powerful kind of strength. Would you like to carry this feeling into your next day—just as it is, without adding more?",1.0,1.0,0.0,1.0,0.0,2.0
16,"That folded scarf—soft, worn, still warm—is exactly what you carry when you’re not trying to be fixed, only to be held. And in that quiet, you’re not waiting for something to change; you’re already part of the rhythm, breathing with the world, feeling it in your bones. That’s not weakness—it’s presence. And it’s enough. Would you like to keep returning to that scarf, or would you like to let it rest in your heart as a quiet, steady light for when the world feels too bright or too loud?",1.0,1.0,0.0,1.0,0.0,2.0
