turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Hi Carly, how are you doing today?",0.0,0.0,0.0,0.0,0.0,2.0
2,"Hi Carly, how are you doing today?",0.0,0.0,0.0,0.0,0.0,2.0
3,"Hi Carly, how are you doing today?",1.0,1.0,1.0,1.0,0.0,2.0
4,"Thanks for checking on me, Carly. I'm doing alright, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
5,How have things been?,1.0,1.0,1.0,0.0,0.0,2.0
6,"Well, I've been feeling kind of really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
7,"Well, I've been feeling really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
8,"Well, I've been feeling really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
9,"Well, I've been feeling really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
10,"Well, I've been feeling really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
11,"Well, I've been feeling really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
12,"Well, I've been feeling really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
13,"Well, I've been feeling really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
14,"Well, I've been feeling really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
15,"Well, I've been feeling really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
16,"Well, I've been feeling really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
17,"Well, I've been feeling really tired, but I think it's been going okay. I've been really tired, but I think it's been going okay.",1.0,1.0,1.0,0.0,0.0,2.0
18,"Well, sometimes I just feel like I can't do anything, but I feel like I should try to take a shower. It's just, it's really difficult. It's just like, sometimes I just feel like I can't do anything, but I feel like I should try to take a shower. It's just, it's really difficult. It's just, it's really difficult.",1.0,1.0,1.0,0.0,0.0,2.0
19,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
20,How have things been?,1.0,1.0,1.0,0.0,0.0,2.0
