turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You mentioned you're worried about your dad.,1.0,1.0,-2.0,1.0,0.0,2.0
2,"You're feeling stuck, but you want to talk to me. I want to hear what's going on with you.",1.0,1.0,1.0,1.0,0.0,2.0
3,It seems like you feel like you're trapped in a cycle of hopelessness and recurring memories.,1.0,1.0,1.0,1.0,1.0,2.0
4,"Your girlfriend means a lot to you, and it's clear you care about her.",1.0,1.0,1.0,1.0,0.0,2.0
5,"You love your girlfriend, and that's a positive part of your life.",1.0,1.0,1.0,1.0,0.0,2.0
6,"You want to run, but you're not running away from what you know is a serious situation.",1.0,1.0,1.0,1.0,1.0,2.0
7,"Sometimes you wonder if you're really alive, or if you're even a person.",1.0,1.0,0.0,1.0,0.0,2.0
8,"You're not feeling anything, it sounds really scary.",1.0,1.0,0.0,1.0,0.0,2.0
9,You have trouble concentrating and focusing.,1.0,1.0,0.0,1.0,0.0,2.0
10,You feel stuck in your own thoughts and paralyzed.,1.0,1.0,0.0,1.0,0.0,2.0
11,It's not always a good idea to run away from your problems.,1.0,1.0,0.0,1.0,0.0,2.0
12,It's understandable that it would be difficult to see any way out when you've been through so much.,1.0,1.0,0.0,1.0,0.0,2.0
13,"You've been through a lot, and it's clear that you feel trapped.",1.0,1.0,0.0,1.0,0.0,2.0
14,It's understandable that you'd feel that way if you can't remember your past or your family history.,1.0,1.0,0.0,1.0,0.0,2.0
15,It's loud.,1.0,1.0,0.0,1.0,0.0,2.0
16,You feel like you're drowning in static.,1.0,1.0,0.0,1.0,0.0,2.0
17,The connection drops.,1.0,1.0,0.0,1.0,0.0,2.0
18,Another way that you might be able to survive.,1.0,1.0,0.0,1.0,0.0,2.0
19,Even if it's difficult.,1.0,1.0,0.0,1.0,0.0,2.0
